item,corpus,gt_id,pred_id,combined_score,decision
P043,external_test_desalination,Maintenance_Tech | Normal_Production | Visual inspection only,SOPROV4HIGHP-014,0.7856,TP (counted as found)
P044,external_test_sulfuric_acid,R006,3.2,0.5326,REJECTED (below threshold)
P045,external_test_biogas,R14,SOPBDG003MID-007,0.8636,TP (counted as found)
P046,external_test_sulfuric_acid,R044,SOPSAESD005-003,0.6392,TP (counted as found)
P047,dev_production_line,RULE-THR-CAF01-HUM-CRIT,SOP002ALARMT-023,0.8554,TP (counted as found)
P048,external_test_desalination,[OP-SD-001] The main feed breaker must be tripped immediately if catastrophic seal failure occurs.,OP-SD-001,0.4589,REJECTED (below threshold)
P049,external_test_sulfuric_acid,R056,4.4,0.4817,REJECTED (below threshold)
P050,dev_production_line,MAINT-07,SOP001OPERAT-008,0.6789,TP (counted as found)
P051,external_test_desalination,"[OP-ST-003] During startup, the permeate bypass valve must remain fully open, and the brine reject flow must be logged every 10 minutes.",OP-ST-003,0.617,TP (counted as found)
P052,external_test_sulfuric_acid,R007,3.3,0.338,REJECTED (below threshold)
P053,external_test_desalination,[OP-ST-002] The anti-scalant dosing pump must be energized and verified active prior to raw water valve actuation.,OP-ST-002,0.3637,REJECTED (below threshold)
P054,external_test_desalination,[OP-ST-001] The high-pressure intake pump must ramp up at a maximum rate of 0.5 bar per minute to prevent membrane telescoping.,OP-ST-001,0.3035,REJECTED (below threshold)
P055,external_test_biogas,R47,SOPBDG003MID-017,0.8855,TP (counted as found)
P056,external_test_sulfuric_acid,R015,SOPSAOP002-008,0.7858,TP (counted as found)
P057,external_test_desalination,FQ-01 | Turbidity | NTU | 0.0 | 0.5 | Backwash multimedia filters | 30 mins,SOPROV4HIGHP-004,0.9361,TP (counted as found)
P058,dev_production_line,MAINT-08,MAINT-08,0.8973,TP (counted as found)
P059,external_test_desalination,[OP-SD-001] The main feed breaker must be tripped immediately if catastrophic seal failure occurs.,OP-SD-001,0.4263,REJECTED (below threshold)
P060,dev_production_line,RULE-RND01-02b,SOP001OPERAT-009,0.5342,REJECTED (below threshold)
