item,gt_text_compared,pred_text_compared,human_same_rule
P049,3.1 | Pre-Startup Checks | All safety interlocks tested and enabled with no active trips.,PreStartupRequirement | SAP2 | All safety interlocks tested and enabled with no active trips.,
P050,MaintenanceRule | CHM01_CHEMICALSTORAGE | CHM01_CHEMICALSTORAGE_TMP | TMP | TMP >20°C for >10 min | Emergency ventilation; notify safety officer | CRITICAL | °C,StationDependency | CHM01_CHEMICALSTORAGE | Chemical Storage | HVAC | Hazardous materials - safety critical,
P051,high-pressure intake pump | ramp rate | bar per minute | [OP-ST-001] The high-pressure intake pump must ramp up at a maximum rate of 0.5 bar per minute to prevent membrane telescoping.,RampUpLimit | must ramp up at a maximum rate of 0.5 bar per minute to prevent membrane telescoping,
P052,3.3 | Pre-Startup Checks | Acid circulation pump P-107A available and seal flush water flowing. | P-107A,PreStartupRequirement | available and seal flush water flowing,
P053,main feed breaker | tripped immediately if catastrophic seal failure occurs | [OP-SD-001] The main feed breaker must be tripped immediately if catastrophic seal failure occurs.,EmergencyReaction | must be tripped immediately if catastrophic seal failure occurs,
P054,anti-scalant dosing pump | energized and verified active prior to raw water valve actuation | [OP-ST-002] The anti-scalant dosing pump must be energized and verified active prior to raw water valve actuation.,StartupRequirement | must be energized and verified active prior to raw water valve actuation,
P055,AccessRestriction | Flare area | FLR-601 | Flare operation status | flare in operation (flame detected) | 15-metre radius exclusion zone enforced; no entry without explicit Shift Supervisor authorisation | 15.0 | m,AccessRestriction | in operation (flame detected) | explicit authorisation from the Shift Supervisor | 15-metre radius | FLR-601,
P056,5.0 | Normal Operating Parameters | Trip at 4700 kg/h: close sulfur feed valve XV-101 and initiate automatic water wash of burner. | 4700 | kg/h | XV-101 | trip at 4700 kg/h,OperatingLimit | High alarm at 4500 kg/h | Trip at 4700 kg/h: close sulfur feed valve XV-101 and initiate automatic water wash of burner | Low alarm at 3500 kg/h | Maintain 3800-4200 kg/h | FIC-101 Sulfur feed flow,
P057,Maintenance_Tech | Startup | No access | Maintenance_Tech | Startup | No access,AccessAuthorization | No access | Startup | Maintenance_Tech,
P058,MaintenanceRule | RND01_RDLAB | RND01_RDLAB_HUM | HUM | HUM DRIFT >10%RH over 60 min | Activate dehumidifier; check HVAC drain | HIGH | %RH,PredictiveMaintenanceTrigger | RND01_RDLAB | HUM | Activate dehumidifier; check HVAC drain | HUM DRIFT >10%RH over 60 min | HIGH,
P059,"permeate bypass valve | remain fully open | [OP-ST-003] During startup, the permeate bypass valve must remain fully open, and the brine reject flow must be logged every 10 minutes.","DiagnosticProcedure | When permeability declines unexpectedly, process engineers conduct membrane autopsies on sacrificial elements",
P060,OperationalRule | RND01_RDLAB | RND01_RDLAB_HUM | HUM | HUM above 75%RH (CRITICAL) | Suspend sensitive experiments and inspect HVAC system | CRITICAL | 75.0 | 65.0 | 25.0 | 35.0 | %RH,StationDependency | R&D; Lab | RND01_RDLAB | HVAC | Precision experiments - climate sensitive,
