item,gt_text_compared,pred_text_compared,human_same_rule
P011,"permeate bypass valve | remain fully open | [OP-ST-003] During startup, the permeate bypass valve must remain fully open, and the brine reject flow must be logged every 10 minutes.","DiagnosticProcedure | When permeability declines unexpectedly, process engineers conduct membrane autopsies on sacrificial elements",
P012,OperationalRule | ST02_SEALING | ST02_SEALING_CUR | CUR | CUR increase >1.5 A above nominal sustained >5 min | Schedule maintenance | WARNING | 15.0 | 13.5 | 9.5 | 11.0 | A,RecurringDuty | ST02_SEALING | CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance.,
P013,"2.2 | Responsibilities | The Field Operator is responsible for physical rounds, sampling, and verification of local gauge readings. | Field Operator","PersonnelResponsibility | responsible for physical rounds, sampling, and verification of local gauge readings",
P014,"ThresholdRule | WRH01_WAREHOUSE | WRH01_WAREHOUSE_TMP | TMP | Temperature critical thresholds: CRIT_LO=-1.0°C, WARN_LOW=0.5°C, nominal=4.0±0.5°C, WARN_HI=8.0°C, CRIT_HI=12.0°C | Activate backup refrigeration; notify QC | CRITICAL | 12.0 | 8.0 | -1.0 | 0.5 | °C",StationDependency | ST02_SEALING | Production Area | ST01 | Feeds ST03; thermal fault → ST04 speed reduction,
P015,anti-scalant dosing pump | energized and verified active prior to raw water valve actuation | [OP-ST-002] The anti-scalant dosing pump must be energized and verified active prior to raw water valve actuation.,StartupSequenceRequirement | The anti-scalant dosing pump must be energized and verified active prior to raw water valve actuation.,
P016,AccessRule | Cafeteria | Monitoring only - occupant comfort | persons,StationDependency | CAF01_CAFETERIA | Cafeteria | HVAC | Occupant comfort - food safety,
P017,3.0 | Automatic Trip Scenarios | Stop acid pump P-107; close acid valve XV-301 | P-107 / XV-301,AutomaticReaction | Stop acid pump P-107; close acid valve XV-301 | FI-401 ≤ 500 m³/h | 2 minutes | Verify pump stopped and valve closed; check pump mechanical seal | Low acid circulation flow,
P018,high-pressure intake pump | ramp rate | bar per minute | [OP-ST-001] The high-pressure intake pump must ramp up at a maximum rate of 0.5 bar per minute to prevent membrane telescoping.,RampUpLimit | must ramp up at a maximum rate of 0.5 bar per minute to prevent membrane telescoping,
P019,3.0 | Automatic Trip Scenarios | AI-301 ≥ 50 ppm SO₂ | 50 | ppm SO₂ | AI-301,AutomaticReaction | SAP2 | Initiate stack emergency scrubber; trip sulfur feed | AI-301 ≥ 50 ppm SO₂ | 1 minute | Evacuate downwind area; sound site alarm; notify Environmental Manager | High SO₂ concentration in stack,
P020,"MaintenanceTrigger | Digester Agitator | VIB-301 | RMS vibration | >7.1 mm/s continuously for >15 minutes | auto-generate Urgent maintenance work order, address within 24 hours | Urgent | 7.1 | mm/s","MaintenanceTrigger | AGT-301 | maintenance work order shall be auto-generated with priority ""Urgent"", to be addressed within 24 hours | RMS vibration exceeds 7.1 mm/s for more than 15 minutes continuously | VIB-301",
P021,OperationalRule | ST03_LABELLING | ST03_LABELLING_CNT | CNT | CNT below 100 pcs/min (CRITICAL) | Halt labelling; inspect label path | CRITICAL | 140.0 | 130.0 | 100.0 | 110.0 | pcs/min,StationDependency | ST03_LABELLING | Production Area | ST02 | Feeds ST04_PACKAGING,
P022,OperationalRule | RND01_RDLAB | RND01_RDLAB_HUM | HUM | HUM above 75%RH (CRITICAL) | Suspend sensitive experiments and inspect HVAC system | CRITICAL | 75.0 | 65.0 | 25.0 | 35.0 | %RH,StationDependency | R&D; Lab | RND01_RDLAB | HVAC | Precision experiments - climate sensitive,
P023,ConfinedSpaceProcedure | Digester tanks | Entry permit | entry required | permit mandatory,EntryRestriction | FLR-601 | not permitted without explicit authorisation from the Shift Supervisor,
P024,"ThresholdRule | RND01_RDLAB | RND01_RDLAB_HUM | HUM | Humidity critical thresholds: CRIT_LO=25.0%RH, WARN_LOW=35.0%RH, nominal=50.0±1.0%RH, WARN_HI=65.0%RH, CRIT_HI=75.0%RH | Suspend experiments; inspect HVAC system | CRITICAL | 75.0 | 65.0 | 25.0 | 35.0 | %RH",AlarmThreshold | RND01_RDLAB | HUM | 75.0 | 25.0 | Suspend experiments; inspect HVAC system | 50.0 ± 1.0 | %RH | 65.0 | 35.0,
P025,"2.2 | Responsibilities | The Field Operator is responsible for physical rounds, sampling, and verification of local gauge readings. | Field Operator","PersonnelDuty | responsible for physical rounds, sampling, and verification of local gauge readings",
P026,"permeate bypass valve | remain fully open | [OP-ST-003] During startup, the permeate bypass valve must remain fully open, and the brine reject flow must be logged every 10 minutes.",DiagnosticProcedure | process engineers conduct membrane autopsies on sacrificial elements | When permeability declines unexpectedly,
P027,"AlarmControlResponse | FLR-601 | Flame Temperature | <850 C | DCS inhibits waste gas feed, triggers alarm | 850.0 | C","OperatingLimit | If <850C, DCS inhibits waste gas feed and triggers alarm. | Flare | - | 850 | Flame Temperature | FLR-601 | C",
P028,ScheduledTask | Flare | FLR-601 | Time elapsed | every 168 hours | flare ignition test conducted; result logged in shift log | 168.0 | hours,RecurringDuty | test and result (success/failure) must be logged in the shift log by the maintenance technician | weekly (every 168 hours) | flare ignition system,
P029,ScheduledTask | Flare | FLR-601 | Time elapsed | every 168 hours | flare ignition test conducted; result logged in shift log | 168.0 | hours,"RecurringDuty | The test and result (success/failure) must be logged in the shift log by the maintenance technician | [91, 92, 93] | weekly (every 168 hours) | flare ignition system",
P030,ScheduledTask | Flare | FLR-601 | Time elapsed | every 168 hours | flare ignition test conducted; result logged in shift log | 168.0 | hours,"RecurringDuty | [90, 91, 92, 93] | flare ignition system | weekly (every 168 hours) | test and result (success/failure) must be logged in the shift log by the maintenance technician",
P031,OperationalRule | ST02_SEALING | ST02_SEALING_CUR | CUR | CUR increase >1.5 A above nominal sustained >5 min | Schedule maintenance | WARNING | 15.0 | 13.5 | 9.5 | 11.0 | A,RecurringDuty | ST02_SEALING | schedule maintenance | CUR increase >1.5 A above nominal sustained >5 min,
P032,main feed breaker | tripped immediately if catastrophic seal failure occurs | [OP-SD-001] The main feed breaker must be tripped immediately if catastrophic seal failure occurs.,EmergencyShutdownProcedure | The main feed breaker must be tripped immediately if catastrophic seal failure occurs.,
P033,OperationalRule | CHM01_CHEMICALSTORAGE | CHM01_CHEMICALSTORAGE_HUM | HUM | HUM above 45%RH | Activate desiccant system; inspect storage containers for leaks | WARNING | 60.0 | 50.0 | 15.0 | 20.0 | %RH,StationDependency | Production Area | ST01_FILLING | - | Feeds ST02_SEALING,
P034,NormalOperatingLimit | FLR-601 | Flame Temperature | shall be at or above minimum | 850.0 | C,AccessRequirement | FLR-601 | not permitted without explicit authorisation from the Shift Supervisor,
P035,AccessRule | technician role - CRITICAL alarm acknowledgment | Must acknowledge within 2 minutes | MANDATORY | min,AcknowledgmentTime | technician | 2.0 | 10.0,
P036,MaintenanceTrigger | H2S Scrubber | H2S-901 | Differential pressure | >25 mbar | DCS generates maintenance request to replace scrubber media | 25.0 | mbar,"MaintenanceTrigger | DCS shall generate a maintenance request to replace the media | differential pressure across the H2S scrubber H2S-901 exceeds 25 mbar | H2S-901 | scrubber may remain in service, but the alert indicates imminent bypass",
P037,"AlarmControlResponse | Biogas system | GAS-701 | CH4 concentration | <40% vol | Alarm escalates to Critical, plant siren activates | Critical | 40.0 | % vol","AutomaticReaction | If CH4 drops below 40% vol, the alarm escalates to Critical and the plant siren activates.",
P038,"brine reject flow | logged every 10 minutes | [OP-ST-003] During startup, the permeate bypass valve must remain fully open, and the brine reject flow must be logged every 10 minutes.",StartupOperationalRequirement | every 10 minutes | fully open,
P039,AccessRule | manager role - CRITICAL alarm acknowledgment | Must acknowledge within 5 minutes | MANDATORY | min,OccupancyLimit | Main Entrance | Monitoring only | 8.0,
P040,OperationalRule | CHM01_CHEMICALSTORAGE | CHM01_CHEMICALSTORAGE_HUM | HUM | HUM above 45%RH | Activate desiccant system; inspect storage containers for leaks | WARNING | 60.0 | 50.0 | 15.0 | 20.0 | %RH,StationDependency | ST01_FILLING | Production Area | - | Feeds ST02_SEALING,
P041,"3.0 | Scheduled Maintenance Intervals | Overhaul (replace mechanical seal, impeller wear rings) every 8,000 operating hours or 12 months, whichever first; performed by Maintenance Fitter. | 8000 / 12 | operating hours / months | Acid circulation pump P-107A | Maintenance Fitter","RecurringMaintenanceDuty | Acid circulation pump P-107A | Overhaul (replace mechanical seal, impeller wear rings) every 8,000 operating hours or 12 months, whichever first; performed by Maintenance Fitter.",
P042,OperationalRule | ST04_PACKAGING | ST04_PACKAGING_VIB | VIB | VIB > 0.35 mm/s (CRITICAL) | Emergency stop; inspect bearings | CRITICAL | 0.35 | 0.2 | 0.01 | 0.02 | mm/s,AutomaticReaction | ST04_PACKAGING | VIB > 0.35 mm/s (CRITICAL) - emergency stop; inspect bearings.,
P043,"7.1 | Shift Handover and Logging | The outgoing CRO shall complete the Shift Handover Log (form OP-LOG-001) and verbally brief the incoming CRO on current operating status, alarms, and maintenance activities. | CRO","ProceduralRequirement | shall complete the Shift Handover Log (form OP-LOG-001) and verbally brief the incoming CRO on current operating status, alarms, and maintenance activities",
P044,"5.2 | Permit Requirements | Confined space entry into the converter vessel or absorption tower requires a confined space permit, atmospheric testing, and a standby person. | confined space entry","PermitRequirement | requires a confined space permit, atmospheric testing, and a standby person | Confined space entry into the converter vessel or absorption tower",
P045,ConfinedSpaceProcedure | Digester tanks | Entry permit | entry required | permit mandatory,AccessRestriction | FLR-601 | No personnel entry is permitted without explicit authorisation from the Shift Supervisor,
P046,AccessRule | operator role - CRITICAL alarm acknowledgment | Must acknowledge within 3 minutes | MANDATORY | min,FaultPropagationRule | A fault at any station propagates downstream unless the line is halted | ST01_FILLING → ST02_SEALING → ST03_LABELLING → ST04_PACKAGING,
P047,2.3 | Responsibilities | The Shift Supervisor has authority to approve deviations from normal operating targets and to authorise interlock bypasses. | Shift Supervisor,PersonnelDuty | has authority to approve deviations from normal operating targets and to authorise interlock bypasses,
P048,3.0 | Automatic Trip Scenarios | Pressure switch PS-501 ≤ 4.0 bar | 4.0 | bar | PS-501,AutomaticReaction | All control valves fail to safe position per P&ID | Pressure switch PS-501 ≤ 4.0 bar | 5 minutes | Verify valve positions; shut down plant manually if needed | Loss of instrument air,
P049,3.0 | Automatic Trip Scenarios | AI-301 ≥ 50 ppm SO₂ | 50 | ppm SO₂ | AI-301,AutomaticReaction | High SO₂ concentration in stack | Initiate stack emergency scrubber; trip sulfur feed | AI-301 ≥ 50 ppm SO₂ | 1 minute | Evacuate downwind area; sound site alarm; notify Environmental Manager | High SO₂ concentration in stack,
P050,3.3 | Pre-Startup Checks | Acid circulation pump P-107A available and seal flush water flowing. | P-107A,PreStartupRequirement | available and seal flush water flowing,
P051,"ThresholdRule | ST04_PACKAGING | ST04_PACKAGING_VIB | VIB | Vibration critical thresholds: 0.01 mm/s (CRIT_LO), 0.02 mm/s (WARN_LO), 0.12±0.005 mm/s (NOMINAL), 0.2 mm/s (WARN_HI), 0.35 mm/s (CRIT_HI) | E-STOP; inspect main bearing | CRITICAL | 0.35 | 0.2 | 0.01 | 0.02 | mm/s",SensorThreshold | ST04_PACKAGING | VIB | 0.35 | 0.01 | E-STOP; inspect main bearing | 0.12 ± 0.005 | mm/s | 0.2 | 0.02,
P052,high-pressure intake pump | ramp rate | bar per minute | [OP-ST-001] The high-pressure intake pump must ramp up at a maximum rate of 0.5 bar per minute to prevent membrane telescoping.,RampRateLimit | The high-pressure intake pump must ramp up at a maximum rate of 0.5 bar per minute to prevent membrane telescoping.,
P053,"ThresholdRule | WRH01_WAREHOUSE | WRH01_WAREHOUSE_TMP | TMP | Temperature critical thresholds: CRIT_LO=-1.0°C, WARN_LOW=0.5°C, nominal=4.0±0.5°C, WARN_HI=8.0°C, CRIT_HI=12.0°C | Activate backup refrigeration; notify QC | CRITICAL | 12.0 | 8.0 | -1.0 | 0.5 | °C",SensorThreshold | TMP | 12.0 | -1.0 | Activate backup refrigeration; notify | 4.0 ± 0.5 | WRH01_WAREHOUSE | °C | 8.0 | 0.5,
P054,"Membrane Feed Pressure | pressure | bar | 50.0 | 60.0 | 52.0 | 58.0 | shutdown at critical trip | [OP-AL-001] Membrane Feed Pressure requires strict monitoring against a target of 55.0 bar. A low-tier alert triggers at 52.0 bar, while a critical low trip occurs at 50.0 bar. A high-tier alert sounds at 58.0 bar, and a critical high trip forces shutdown at 60.0 bar.",OperationalLimit | low-tier alert; critical low trip; high-tier alert; critical high trip | forces shutdown | Membrane Feed Pressure | 55.0 bar | 52.0 bar; 50.0 bar; 58.0 bar; 60.0 bar,
P055,2.1 | Responsibilities | The CRO shall immediately execute the actions listed for each trip scenario. | CRO,PersonnelResponsibility | The CRO shall immediately execute the actions listed for each trip scenario.,
P056,main feed breaker | tripped immediately if catastrophic seal failure occurs | [OP-SD-001] The main feed breaker must be tripped immediately if catastrophic seal failure occurs.,EmergencyReaction | must be tripped immediately if catastrophic seal failure occurs,
P057,AccessRule | supervisor role - CRITICAL alarm acknowledgment | Must acknowledge within 1 minute | MANDATORY | min,StationDependency | SRV01_SERVERROOM | Server Room | HVAC | SCADA control; failure → line halt,
P058,"5.1 | Sulfuric Acid Spill Control | If a spill is detected, the Field Operator shall immediately isolate the source and activate the containment sump pump. | Field Operator | spill detected",ManualProcedure | If a spill is detected | Field Operator | immediately isolate the source and activate the containment sump pump.,
P059,AccessRule | operator role - WARNING alarm acknowledgment | Must acknowledge within 15 minutes | MANDATORY | min,AcknowledgmentTime | operator | 3.0 | 15.0,
P060,"Membrane Feed Pressure | pressure | bar | 50.0 | 60.0 | 52.0 | 58.0 | shutdown at critical trip | [OP-AL-001] Membrane Feed Pressure requires strict monitoring against a target of 55.0 bar. A low-tier alert triggers at 52.0 bar, while a critical low trip occurs at 50.0 bar. A high-tier alert sounds at 58.0 bar, and a critical high trip forces shutdown at 60.0 bar.",OperationalLimit | low-tier alert; critical low trip; high-tier alert; critical high trip forces shutdown | Membrane Feed Pressure | 55.0 bar | 52.0 bar; 50.0 bar; 58.0 bar; 60.0 bar,
