fromId,toId,type,ruleRef
N0082,N0004,authorized_for,
N0082,N0006,authorized_for,
N0082,N0007,authorized_for,
N0082,N0008,authorized_for,
N0083,N0002,authorized_for,
N0083,N0003,authorized_for,
N0083,N0004,authorized_for,
N0083,N0006,authorized_for,
N0083,N0007,authorized_for,
N0083,N0008,authorized_for,
N0084,N0002,authorized_for,
N0084,N0003,authorized_for,
N0084,N0004,authorized_for,
N0084,N0006,authorized_for,
N0084,N0007,authorized_for,
N0084,N0008,authorized_for,
N0085,N0002,authorized_for,
N0085,N0003,authorized_for,
N0085,N0004,authorized_for,
N0085,N0006,authorized_for,
N0085,N0007,authorized_for,
N0085,N0008,authorized_for,
N0086,N0002,authorized_for,
N0086,N0003,authorized_for,
N0086,N0004,authorized_for,
N0086,N0006,authorized_for,
N0086,N0007,authorized_for,
N0086,N0008,authorized_for,
N0087,N0002,authorized_for,
N0087,N0003,authorized_for,
N0087,N0004,authorized_for,
N0087,N0006,authorized_for,
N0087,N0007,authorized_for,
N0087,N0008,authorized_for,
N0088,N0002,authorized_for,
N0088,N0003,authorized_for,
N0088,N0004,authorized_for,
N0088,N0006,authorized_for,
N0088,N0007,authorized_for,
N0088,N0008,authorized_for,
N0089,N0002,authorized_for,
N0089,N0003,authorized_for,
N0089,N0004,authorized_for,
N0089,N0006,authorized_for,
N0089,N0007,authorized_for,
N0089,N0008,authorized_for,
N0090,N0002,authorized_for,
N0090,N0003,authorized_for,
N0090,N0004,authorized_for,
N0090,N0006,authorized_for,
N0090,N0007,authorized_for,
N0090,N0008,authorized_for,
N0091,N0002,authorized_for,
N0091,N0003,authorized_for,
N0091,N0004,authorized_for,
N0091,N0006,authorized_for,
N0091,N0007,authorized_for,
N0091,N0008,authorized_for,
N0091,N0005,authorized_for,
N0092,N0002,authorized_for,
N0092,N0003,authorized_for,
N0092,N0004,authorized_for,
N0092,N0006,authorized_for,
N0092,N0007,authorized_for,
N0092,N0008,authorized_for,
N0092,N0005,authorized_for,
N0093,N0002,authorized_for,
N0093,N0003,authorized_for,
N0093,N0004,authorized_for,
N0093,N0006,authorized_for,
N0093,N0007,authorized_for,
N0093,N0008,authorized_for,
N0093,N0005,authorized_for,
N0094,N0002,authorized_for,
N0094,N0003,authorized_for,
N0094,N0004,authorized_for,
N0094,N0006,authorized_for,
N0094,N0007,authorized_for,
N0094,N0008,authorized_for,
N0094,N0005,authorized_for,
N0095,N0002,authorized_for,
N0095,N0003,authorized_for,
N0095,N0004,authorized_for,
N0095,N0006,authorized_for,
N0095,N0007,authorized_for,
N0095,N0008,authorized_for,
N0095,N0005,authorized_for,
N0096,N0002,authorized_for,
N0096,N0003,authorized_for,
N0096,N0004,authorized_for,
N0096,N0006,authorized_for,
N0096,N0007,authorized_for,
N0096,N0008,authorized_for,
N0096,N0005,authorized_for,
N0097,N0002,authorized_for,
N0097,N0003,authorized_for,
N0097,N0004,authorized_for,
N0097,N0006,authorized_for,
N0097,N0007,authorized_for,
N0097,N0008,authorized_for,
N0097,N0005,authorized_for,
N0098,N0002,authorized_for,
N0098,N0003,authorized_for,
N0098,N0004,authorized_for,
N0098,N0006,authorized_for,
N0098,N0007,authorized_for,
N0098,N0008,authorized_for,
N0098,N0005,authorized_for,
N0099,N0002,authorized_for,
N0099,N0003,authorized_for,
N0099,N0004,authorized_for,
N0099,N0006,authorized_for,
N0099,N0007,authorized_for,
N0099,N0008,authorized_for,
N0099,N0005,authorized_for,
N0100,N0002,authorized_for,
N0100,N0003,authorized_for,
N0100,N0004,authorized_for,
N0100,N0006,authorized_for,
N0100,N0007,authorized_for,
N0100,N0008,authorized_for,
N0100,N0005,authorized_for,
N0101,N0002,authorized_for,
N0101,N0003,authorized_for,
N0101,N0004,authorized_for,
N0101,N0006,authorized_for,
N0101,N0007,authorized_for,
N0101,N0008,authorized_for,
N0101,N0005,authorized_for,
N0102,N0002,authorized_for,
N0102,N0003,authorized_for,
N0102,N0004,authorized_for,
N0102,N0006,authorized_for,
N0102,N0007,authorized_for,
N0102,N0008,authorized_for,
N0102,N0005,authorized_for,
N0103,N0002,authorized_for,
N0103,N0003,authorized_for,
N0103,N0004,authorized_for,
N0103,N0006,authorized_for,
N0103,N0007,authorized_for,
N0103,N0008,authorized_for,
N0103,N0005,authorized_for,
N0104,N0002,authorized_for,
N0104,N0003,authorized_for,
N0104,N0004,authorized_for,
N0104,N0006,authorized_for,
N0104,N0007,authorized_for,
N0104,N0008,authorized_for,
N0104,N0005,authorized_for,
N0105,N0061,involves,
N0105,N0002,detected_in,
N0106,N0074,involves,
N0106,N0004,detected_in,
N0107,N0063,involves,
N0107,N0002,detected_in,
N0108,N0089,involves,
N0108,N0007,detected_in,
N0109,N0095,involves,
N0109,N0006,detected_in,
N0110,N0062,involves,
N0110,N0002,detected_in,
N0111,N0077,involves,
N0111,N0008,detected_in,
N0112,N0076,involves,
N0112,N0004,detected_in,
N0113,N0087,involves,
N0113,N0003,detected_in,
N0114,N0065,involves,
N0114,N0002,detected_in,
