action,anomalyType,causedBy,critHi,critLo,csiSubject,dept,description,durationMin,durationSec,endTs,eventId,gtId,label,line,magnitude,name,nodeId,nominalValue,personId,priority,role,ruleId,sensorType,severity,shift,sourceRule,startTs,stationType,timestamp,type,unit,warnHi,warnLo,zone
,CORRELATED,ST02_SEALING_CUR_DRIFT,,,,,,60,,2026-01-08T10:30:00,,GT-0008,AnomalyEvent,,-0.15,,N0047,,,,,,,WARNING,,RULE_SPD_THRESHOLD_WARNING,2026-01-08T09:30:00,,,,,,,
,OUT_OF_RANGE,,,,,,,25,,2026-01-09T07:55:00,,GT-0009,AnomalyEvent,,-18,,N0048,,,,,,,CRITICAL,,RULE_CNT_THRESHOLD_CRITICAL,2026-01-09T07:30:00,,,,,,,
,OUT_OF_RANGE,,,,,,,45,,2026-01-09T08:45:00,,GT-0010,AnomalyEvent,,7.0,,N0049,,,,,,,CRITICAL,,RULE_TMP_THRESHOLD_CRITICAL,2026-01-09T08:00:00,,,,,,,
,DRIFT,,,,,,,180,,2026-01-09T13:00:00,,GT-0011,AnomalyEvent,,6.0,,N0050,,,,,,,CRITICAL,,RULE_TMP_THRESHOLD_CRITICAL,2026-01-09T10:00:00,,,,,,,
,DRIFT,,,,,,,90,,2026-01-09T13:00:00,,GT-0012,AnomalyEvent,,18.0,,N0051,,,,,,,WARNING,,RULE_HUM_THRESHOLD_WARNING,2026-01-09T11:30:00,,,,,,,
,SPIKE,,,,,,,1,,2026-01-09T13:01:00,,GT-0013,AnomalyEvent,,0.45,,N0052,,,,,,,CRITICAL,,RULE_VIB_THRESHOLD_CRITICAL,2026-01-09T13:00:00,,,,,,,
Inspect and lubricate main bearing,,,,,,,,,,,,,Maintenance,,,,N0053,,,HIGH,,MAINT-01,,,,,,,,,,,,
Inspect sealing jaw alignment,,,,,,,,,,,,,Maintenance,,,,N0054,,,HIGH,,MAINT-02,,,,,,,,,,,,
Replace TEN sensor,,,,,,,,,,,,,Maintenance,,,,N0055,,,MEDIUM,,MAINT-03,,,,,,,,,,,,
Inspect inlet filter and pump,,,,,,,,,,,,,Maintenance,,,,N0056,,,MEDIUM,,MAINT-04,,,,,,,,,,,,
Activate secondary cooling,,,,,,,,,,,,,Maintenance,,,,N0057,,,CRITICAL,,MAINT-05,,,,,,,,,,,,
Inspect compressor; notify QC,,,,,,,,,,,,,Maintenance,,,,N0058,,,CRITICAL,,MAINT-06,,,,,,,,,,,,
Activate emergency ventilation; notify safety officer,,,,,,,,,,,,,Maintenance,,,,N0059,,,CRITICAL,,MAINT-07,,,,,,,,,,,,
Activate dehumidifier; check HVAC drain,,,,,,,,,,,,,Maintenance,,,,N0060,,,HIGH,,MAINT-08,,,,,,,,,,,,
,,,,,soggetto 1,Production,,,,,,,Person,,,,N0061,,P001,,operator,,,,Morning,,,,,,,,,
,,,,,soggetto 2,Production,,,,,,,Person,,,,N0062,,P002,,operator,,,,Afternoon,,,,,,,,,
,,,,,soggetto 3,Production,,,,,,,Person,,,,N0063,,P003,,operator,,,,Morning,,,,,,,,,
,,,,,soggetto 4,Production,,,,,,,Person,,,,N0064,,P004,,operator,,,,Afternoon,,,,,,,,,
,,,,,soggetto 5,Production,,,,,,,Person,,,,N0065,,P005,,operator,,,,Morning,,,,,,,,,
,,,,,soggetto 6,Production,,,,,,,Person,,,,N0066,,P006,,operator,,,,Afternoon,,,,,,,,,
,,,,,soggetto 7,Production,,,,,,,Person,,,,N0067,,P007,,operator,,,,Morning,,,,,,,,,
,,,,,soggetto 8,Production,,,,,,,Person,,,,N0068,,P008,,operator,,,,Afternoon,,,,,,,,,
,,,,,soggetto 9,Production,,,,,,,Person,,,,N0069,,P009,,operator,,,,Morning,,,,,,,,,
,,,,,soggetto 10,Production,,,,,,,Person,,,,N0070,,P010,,operator,,,,Afternoon,,,,,,,,,
,,,,,soggetto 11,Production,,,,,,,Person,,,,N0071,,P011,,operator,,,,Morning,,,,,,,,,
,,,,,soggetto 12,Production,,,,,,,Person,,,,N0072,,P012,,operator,,,,Afternoon,,,,,,,,,
,,,,,soggetto 13,Production,,,,,,,Person,,,,N0073,,P013,,operator,,,,Morning,,,,,,,,,
,,,,,soggetto 14,Production,,,,,,,Person,,,,N0074,,P014,,operator,,,,Afternoon,,,,,,,,,
,,,,,soggetto 15,Production,,,,,,,Person,,,,N0075,,P015,,operator,,,,Morning,,,,,,,,,
,,,,,soggetto 16,Production,,,,,,,Person,,,,N0076,,P016,,operator,,,,Afternoon,,,,,,,,,
,,,,,soggetto 17,Production,,,,,,,Person,,,,N0077,,P017,,operator,,,,Morning,,,,,,,,,
,,,,,soggetto 18,Production,,,,,,,Person,,,,N0078,,P018,,operator,,,,Afternoon,,,,,,,,,
,,,,,soggetto 19,Production,,,,,,,Person,,,,N0079,,P019,,operator,,,,Morning,,,,,,,,,
,,,,,soggetto 20,Production,,,,,,,Person,,,,N0080,,P020,,operator,,,,Afternoon,,,,,,,,,
,,,,,soggetto 21,IT,,,,,,,Person,,,,N0081,,P021,,technician,,,,Morning,,,,,,,,,
,,,,,soggetto 22,IT,,,,,,,Person,,,,N0082,,P022,,technician,,,,Afternoon,,,,,,,,,
,,,,,soggetto 23,IT,,,,,,,Person,,,,N0083,,P023,,technician,,,,Morning,,,,,,,,,
,,,,,soggetto 24,IT,,,,,,,Person,,,,N0084,,P024,,technician,,,,Afternoon,,,,,,,,,
,,,,,soggetto 25,IT,,,,,,,Person,,,,N0085,,P025,,technician,,,,Morning,,,,,,,,,
,,,,,soggetto 26,IT,,,,,,,Person,,,,N0086,,P026,,technician,,,,Afternoon,,,,,,,,,
,,,,,soggetto 27,IT,,,,,,,Person,,,,N0087,,P027,,technician,,,,Morning,,,,,,,,,
,,,,,soggetto 28,IT,,,,,,,Person,,,,N0088,,P028,,technician,,,,Afternoon,,,,,,,,,
,,,,,soggetto 29,IT,,,,,,,Person,,,,N0089,,P029,,technician,,,,Morning,,,,,,,,,
,,,,,soggetto 30,IT,,,,,,,Person,,,,N0090,,P030,,technician,,,,Afternoon,,,,,,,,,
,,,,,soggetto 31,Operations,,,,,,,Person,,,,N0091,,P031,,supervisor,,,,Morning,,,,,,,,,
,,,,,soggetto 32,Operations,,,,,,,Person,,,,N0092,,P032,,supervisor,,,,Afternoon,,,,,,,,,
,,,,,soggetto 33,Operations,,,,,,,Person,,,,N0093,,P033,,supervisor,,,,Morning,,,,,,,,,
,,,,,soggetto 34,Operations,,,,,,,Person,,,,N0094,,P034,,supervisor,,,,Afternoon,,,,,,,,,
,,,,,soggetto 35,Operations,,,,,,,Person,,,,N0095,,P035,,supervisor,,,,Morning,,,,,,,,,
,,,,,soggetto 36,Operations,,,,,,,Person,,,,N0096,,P036,,supervisor,,,,Afternoon,,,,,,,,,
,,,,,soggetto 37,Operations,,,,,,,Person,,,,N0097,,P037,,supervisor,,,,Morning,,,,,,,,,
,,,,,soggetto 38,Operations,,,,,,,Person,,,,N0098,,P038,,supervisor,,,,Afternoon,,,,,,,,,
,,,,,soggetto 39,Management,,,,,,,Person,,,,N0099,,P039,,manager,,,,Morning,,,,,,,,,
,,,,,soggetto 40,Management,,,,,,,Person,,,,N0100,,P040,,manager,,,,Afternoon,,,,,,,,,
,,,,,soggetto 41,Management,,,,,,,Person,,,,N0101,,P041,,manager,,,,Morning,,,,,,,,,
,,,,,soggetto 42,Management,,,,,,,Person,,,,N0102,,P042,,manager,,,,Afternoon,,,,,,,,,
,,,,,soggetto 43,Security,,,,,,,Person,,,,N0103,,P043,,security,,,,Morning,,,,,,,,,
,,,,,soggetto 44,Security,,,,,,,Person,,,,N0104,,P044,,security,,,,Afternoon,,,,,,,,,
,,,,,,,Operator fall on production line,,30,,SE-001,,SafetyEvent,,,,N0105,,P001,,,,,CRITICAL,,,,,2026-01-06T09:00:00,FALL,,,,Production Area
,,,,,,,Operator fall in warehouse,,30,,SE-002,,SafetyEvent,,,,N0106,,P014,,,,,CRITICAL,,,,,2026-01-06T17:00:00,FALL,,,,General Warehouse
,,,,,,,Operator stationary >5 min on production line,,300,,SE-003,,SafetyEvent,,,,N0107,,P003,,,,,WARNING,,,,,2026-01-07T01:00:00,IMMOBILITY,,,,Production Area
,,,,,,,Technician fall in R&D Lab,,30,,SE-004,,SafetyEvent,,,,N0108,,P029,,,,,CRITICAL,,,,,2026-01-07T09:00:00,FALL,,,,R&D Lab
,,,,,,,Supervisor stationary >5 min in Chemical Storage,,300,,SE-005,,SafetyEvent,,,,N0109,,P035,,,,,WARNING,,,,,2026-01-07T17:00:00,IMMOBILITY,,,,Chemical Storage
,,,,,,,Operator fall on production line (afternoon shift),,30,,SE-006,,SafetyEvent,,,,N0110,,P002,,,,,CRITICAL,,,,,2026-01-07T22:00:00,FALL,,,,Production Area
,,,,,,,Operator stationary >5 min in Cafeteria,,300,,SE-007,,SafetyEvent,,,,N0111,,P017,,,,,WARNING,,,,,2026-01-08T09:00:00,IMMOBILITY,,,,Cafeteria
,,,,,,,Operator fall in warehouse (afternoon),,30,,SE-008,,SafetyEvent,,,,N0112,,P016,,,,,CRITICAL,,,,,2026-01-08T17:00:00,FALL,,,,General Warehouse
,,,,,,,Technician stationary >5 min in Server Room,,300,,SE-009,,SafetyEvent,,,,N0113,,P027,,,,,WARNING,,,,,2026-01-08T22:00:00,IMMOBILITY,,,,Server Room
,,,,,,,Operator fall on production line,,30,,SE-010,,SafetyEvent,,,,N0114,,P005,,,,,CRITICAL,,,,,2026-01-09T01:00:00,FALL,,,,Production Area
