run_id,base_exp_id,model,paradigm,run_n,level,reasoning_native,total_rules,sop_files,errors,duration_sec,avg_rule_sec,avg_llm_turns,temperature,prompt_tokens,completion_tokens,total_tokens,tokens_per_rule
qwen-qwen-2_5-7b-instruct_few_shot_static_run1,qwen-qwen-2_5-7b-instruct_few_shot_static,qwen/qwen-2.5-7b-instruct,few_shot_static,1,0,False,58,4,0,135.37,2.334,1.0,0,5970,7838,13808,238.1
qwen-qwen-2_5-7b-instruct_graph_informed_run1,qwen-qwen-2_5-7b-instruct_graph_informed,qwen/qwen-2.5-7b-instruct,graph_informed,1,0,False,51,4,0,126.18,2.4742,1.0,0,5378,6610,11988,235.1
qwen-qwen-2_5-7b-instruct_cot_basic_run1,qwen-qwen-2_5-7b-instruct_cot_basic,qwen/qwen-2.5-7b-instruct,cot_basic,1,1,False,60,4,0,112.21,1.8701,1.0,0,4938,6664,11602,193.4
qwen-qwen-2_5-7b-instruct_cot_structured_run1,qwen-qwen-2_5-7b-instruct_cot_structured,qwen/qwen-2.5-7b-instruct,cot_structured,1,1,False,65,4,0,117.16,1.8024,1.0,0,5198,6947,12145,186.8
qwen-qwen-2_5-7b-instruct_pre_act_run1,qwen-qwen-2_5-7b-instruct_pre_act,qwen/qwen-2.5-7b-instruct,pre_act,1,1,False,60,4,0,122.86,2.0477,1.0,0,5034,6522,11556,192.6
qwen-qwen-2_5-7b-instruct_self_consistency_run1,qwen-qwen-2_5-7b-instruct_self_consistency,qwen/qwen-2.5-7b-instruct,self_consistency,1,2,False,58,4,0,434.98,7.4997,3.0,0.3,14658,19721,34379,592.7
gemma3-4b_naive_run1,gemma3-4b_naive,gemma3:4b,naive,1,0,False,90,4,0,47.63,0.5292,1.0,0,5104,11559,16663,185.1
gemma3-4b_few_shot_static_run1,gemma3-4b_few_shot_static,gemma3:4b,few_shot_static,1,0,False,62,4,0,40.96,0.6606,1.0,0,6264,9765,16029,258.5
gemma3-4b_graph_informed_run1,gemma3-4b_graph_informed,gemma3:4b,graph_informed,1,0,False,81,4,0,47.72,0.5891,1.0,0,5636,11950,17586,217.1
gemma3-4b_cot_basic_run1,gemma3-4b_cot_basic,gemma3:4b,cot_basic,1,1,False,73,4,0,43.48,0.5956,1.0,0,5156,10621,15777,216.1
gemma3-4b_cot_structured_run1,gemma3-4b_cot_structured,gemma3:4b,cot_structured,1,1,False,75,4,0,40.92,0.5456,1.0,0,5436,10193,15629,208.4
gemma3-4b_pre_act_run1,gemma3-4b_pre_act,gemma3:4b,pre_act,1,1,False,90,4,0,44.42,0.4935,1.0,0,5252,11039,16291,181.0
gemma3-4b_self_consistency_run1,gemma3-4b_self_consistency,gemma3:4b,self_consistency,1,2,False,81,4,0,756.77,9.3428,3.0,0.3,15312,33403,48715,601.4
gemma3-4b_reflexion_run1,gemma3-4b_reflexion,gemma3:4b,reflexion,1,2,False,81,4,0,109.38,1.3504,2.0,0,35046,24047,59093,729.5
gemma3-4b_reflexion_guided_run1,gemma3-4b_reflexion_guided,gemma3:4b,reflexion_guided,1,2,False,54,4,0,168.72,3.1244,3.0,0,55518,35954,91472,1693.9
gemma3-4b_react_abox_run1,gemma3-4b_react_abox,gemma3:4b,react_abox,1,3,False,80,4,0,48.43,0.6054,1.0,0,5872,11785,17657,220.7
gemma3-12b_naive_run1,gemma3-12b_naive,gemma3:12b,naive,1,0,False,65,4,0,83.44,1.2837,1.0,0,5104,8317,13421,206.5
gemma3-12b_few_shot_static_run1,gemma3-12b_few_shot_static,gemma3:12b,few_shot_static,1,0,False,65,4,0,99.22,1.5265,1.0,0,6264,10139,16403,252.4
gemma3-12b_graph_informed_run1,gemma3-12b_graph_informed,gemma3:12b,graph_informed,1,0,False,77,4,0,100.25,1.302,1.0,0,5636,10559,16195,210.3
gemma3-12b_cot_basic_run1,gemma3-12b_cot_basic,gemma3:12b,cot_basic,1,1,False,85,4,0,100.86,1.1866,1.0,0,5156,11049,16205,190.6
gemma3-12b_cot_structured_run1,gemma3-12b_cot_structured,gemma3:12b,cot_structured,1,1,False,77,4,0,99.73,1.2953,1.0,0,5436,10585,16021,208.1
gemma3-12b_pre_act_run1,gemma3-12b_pre_act,gemma3:12b,pre_act,1,1,False,84,4,0,128.62,1.5311,1.0,0,5252,11849,17101,203.6
gemma3-12b_self_consistency_run1,gemma3-12b_self_consistency,gemma3:12b,self_consistency,1,2,False,65,4,0,294.69,4.5337,3.0,0.3,15312,27325,42637,656.0
gemma3-12b_reflexion_run1,gemma3-12b_reflexion,gemma3:12b,reflexion,1,2,False,85,4,0,264.26,3.1089,2.0,0,32678,23588,56266,662.0
gemma3-12b_reflexion_guided_run1,gemma3-12b_reflexion_guided,gemma3:12b,reflexion_guided,1,2,False,89,4,0,448.0,5.0338,3.0,0,52898,38229,91127,1023.9
gemma3-12b_react_abox_run1,gemma3-12b_react_abox,gemma3:12b,react_abox,1,3,False,75,4,0,144.38,1.925,1.39,0,11590,13344,24934,332.5
ministral-3-14b_naive_run1,ministral-3-14b_naive,ministral-3:14b,naive,1,0,False,103,4,0,125.52,1.2186,1.0,0,5214,12970,18184,176.5
ministral-3-14b_few_shot_static_run1,ministral-3-14b_few_shot_static,ministral-3:14b,few_shot_static,1,0,False,80,4,0,110.08,1.376,1.0,0,6418,11547,17965,224.6
ministral-3-14b_graph_informed_run1,ministral-3-14b_graph_informed,ministral-3:14b,graph_informed,1,0,False,82,4,0,100.04,1.2201,1.0,0,5754,11332,17086,208.4
ministral-3-14b_cot_basic_run1,ministral-3-14b_cot_basic,ministral-3:14b,cot_basic,1,1,False,57,4,0,125.95,2.2096,1.0,0,5266,14075,19341,339.3
ministral-3-14b_cot_structured_run1,ministral-3-14b_cot_structured,ministral-3:14b,cot_structured,1,1,False,92,4,0,104.04,1.1309,1.0,0,5534,11846,17380,188.9
ministral-3-14b_pre_act_run1,ministral-3-14b_pre_act,ministral-3:14b,pre_act,1,1,False,87,4,0,107.21,1.2323,1.0,0,5362,12497,17859,205.3
ministral-3-14b_self_consistency_run1,ministral-3-14b_self_consistency,ministral-3:14b,self_consistency,1,2,False,103,4,0,366.28,3.5562,3.0,0.3,15642,39038,54680,530.9
ministral-3-14b_reflexion_run1,ministral-3-14b_reflexion,ministral-3:14b,reflexion,1,2,False,60,4,0,238.29,3.9715,2.0,0,34476,25768,60244,1004.1
ministral-3-14b_reflexion_guided_run1,ministral-3-14b_reflexion_guided,ministral-3:14b,reflexion_guided,1,2,False,89,4,0,346.62,3.8946,3.0,0,52651,38690,91341,1026.3
ministral-3-14b_react_abox_run1,ministral-3-14b_react_abox,ministral-3:14b,react_abox,1,3,False,82,4,0,181.77,2.2167,2.0,0,21222,19936,41158,501.9
gpt-oss-20b_naive_run1,gpt-oss-20b_naive,gpt-oss:20b,naive,1,0,False,69,4,0,57.24,0.8296,1.0,0,4825,12665,17490,253.5
gpt-oss-20b_few_shot_static_run1,gpt-oss-20b_few_shot_static,gpt-oss:20b,few_shot_static,1,0,False,105,4,0,84.49,0.8046,1.0,0,5849,20557,26406,251.5
gpt-oss-20b_graph_informed_run1,gpt-oss-20b_graph_informed,gpt-oss:20b,graph_informed,1,0,False,74,4,0,77.13,1.0423,1.0,0,5313,18854,24167,326.6
gpt-oss-20b_cot_basic_run1,gpt-oss-20b_cot_basic,gpt-oss:20b,cot_basic,1,1,False,67,4,0,93.6,1.3971,1.0,0,4877,20981,25858,385.9
gpt-oss-20b_cot_structured_run1,gpt-oss-20b_cot_structured,gpt-oss:20b,cot_structured,1,1,False,62,4,0,91.58,1.4771,1.0,0,5133,20469,25602,412.9
gpt-oss-20b_pre_act_run1,gpt-oss-20b_pre_act,gpt-oss:20b,pre_act,1,1,False,77,4,0,90.88,1.1803,1.0,0,4973,17526,22499,292.2
gpt-oss-20b_self_consistency_run1,gpt-oss-20b_self_consistency,gpt-oss:20b,self_consistency,1,2,False,30,4,0,317.62,10.5875,3.0,0.3,14475,71004,85479,2849.3
gpt-oss-20b_reflexion_run1,gpt-oss-20b_reflexion,gpt-oss:20b,reflexion,1,2,False,117,4,0,186.17,1.5912,2.0,0,33577,41791,75368,644.2
gpt-oss-20b_reflexion_guided_run1,gpt-oss-20b_reflexion_guided,gpt-oss:20b,reflexion_guided,1,2,False,139,4,0,232.24,1.6708,3.0,0,37840,47523,85363,614.1
gpt-oss-20b_react_abox_run1,gpt-oss-20b_react_abox,gpt-oss:20b,react_abox,1,3,False,80,4,0,170.29,2.1286,2.0,0,20202,33013,53215,665.2
gemma3-4b_langgraph_agentic_run1,gemma3-4b_langgraph_agentic,gemma3:4b,langgraph_agentic,1,3,False,0,4,0,12.72,0.0,0.0,0,0,0,0,0.0
gemma3-4b_langgraph_agentic_run1,gemma3-4b_langgraph_agentic,gemma3:4b,langgraph_agentic,1,3,False,0,4,0,0.15,0.0,0.0,0,0,0,0,0.0
gemma3-4b_langgraph_agentic_run1,gemma3-4b_langgraph_agentic,gemma3:4b,langgraph_agentic,1,3,False,0,4,0,319.21,0.0,0.0,0,25956,51428,77384,0.0
