gtId,sensor,type,status,detector,matchedRules,gtStart,gtEnd,detStart,detEnd,latencyMin,coveragePct,run_file
GT-0011,CHM01_CHEMICALSTORAGE_TMP,OUT_OF_RANGE,GAP,,,2026-01-09T08:00:00,2026-01-09T08:45:00,,,,,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
GT-0012,WRH01_WAREHOUSE_TMP,DRIFT,GAP,,,2026-01-09T10:00:00,2026-01-09T13:00:00,,,,,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
GT-0013,RND01_RDLAB_HUM,DRIFT,GAP,,,2026-01-09T11:30:00,2026-01-09T13:00:00,,,,,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
GT-0014,ST04_PACKAGING_VIB,SPIKE,COVERED,sustained,MAINT-04-NULL,2026-01-09T13:00:00,2026-01-09T13:01:00,2026-01-06T06:15:00,2026-01-09T13:59:30,-4725.0,100.0,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
GT-0001,ST02_SEALING_TMP,SPIKE,COVERED,drift,MAINT-02-NULL,2026-01-06T08:30:00,2026-01-06T08:33:00,2026-01-06T08:30:30,2026-01-06T09:00:00,0.5,83.3,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
GT-0002,ST01_FILLING_PRS,DRIFT,GAP,,,2026-01-06T11:00:00,2026-01-06T11:45:00,,,,,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
GT-0003,ST04_PACKAGING_VIB,DRIFT,COVERED,sustained,MAINT-04-NULL,2026-01-07T07:00:00,2026-01-07T08:30:00,2026-01-06T06:15:00,2026-01-09T13:59:30,-1485.0,100.0,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
GT-0004,ST03_LABELLING_TEN,STUCK,GAP,,,2026-01-07T09:30:00,2026-01-07T09:42:00,,,,,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
GT-0005,SRV01_SERVERROOM_TMP,OUT_OF_RANGE,GAP,,,2026-01-07T12:00:00,2026-01-07T12:20:00,,,,,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
GT-0006,CAF01_CAFETERIA_TMP,OUT_OF_RANGE,GAP,,,2026-01-07T16:00:00,2026-01-07T16:30:00,,,,,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
GT-0007,ST01_FILLING_FLW,SPIKE,GAP,,,2026-01-08T06:30:00,2026-01-08T06:32:00,,,,,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
GT-0008,ST02_SEALING_CUR,DRIFT,COVERED,drift,MAINT-01-NULL,2026-01-08T08:00:00,2026-01-08T10:00:00,2026-01-08T08:12:00,2026-01-08T12:38:30,12.0,90.0,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
GT-0009,ST04_PACKAGING_SPD,CORRELATED,GAP,,,2026-01-08T09:30:00,2026-01-08T10:30:00,,,,,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
GT-0010,ST03_LABELLING_CNT,OUT_OF_RANGE,GAP,,,2026-01-09T07:30:00,2026-01-09T07:55:00,,,,,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
GT-0011,CHM01_CHEMICALSTORAGE_TMP,OUT_OF_RANGE,GAP,,,2026-01-09T08:00:00,2026-01-09T08:45:00,,,,,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
GT-0012,WRH01_WAREHOUSE_TMP,DRIFT,GAP,,,2026-01-09T10:00:00,2026-01-09T13:00:00,,,,,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
GT-0013,RND01_RDLAB_HUM,DRIFT,GAP,,,2026-01-09T11:30:00,2026-01-09T13:00:00,,,,,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
GT-0014,ST04_PACKAGING_VIB,SPIKE,COVERED,sustained,MAINT-04-NULL,2026-01-09T13:00:00,2026-01-09T13:01:00,2026-01-06T06:15:00,2026-01-09T13:59:30,-4725.0,100.0,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
GT-0001,ST02_SEALING_TMP,SPIKE,COVERED,drift,MAINT-02-NULL,2026-01-06T08:30:00,2026-01-06T08:33:00,2026-01-06T08:30:30,2026-01-06T09:00:00,0.5,83.3,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
GT-0002,ST01_FILLING_PRS,DRIFT,GAP,,,2026-01-06T11:00:00,2026-01-06T11:45:00,,,,,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
GT-0003,ST04_PACKAGING_VIB,DRIFT,COVERED,sustained,MAINT-04-NULL,2026-01-07T07:00:00,2026-01-07T08:30:00,2026-01-06T06:15:00,2026-01-09T13:59:30,-1485.0,100.0,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
GT-0004,ST03_LABELLING_TEN,STUCK,GAP,,,2026-01-07T09:30:00,2026-01-07T09:42:00,,,,,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
GT-0005,SRV01_SERVERROOM_TMP,OUT_OF_RANGE,GAP,,,2026-01-07T12:00:00,2026-01-07T12:20:00,,,,,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
GT-0006,CAF01_CAFETERIA_TMP,OUT_OF_RANGE,GAP,,,2026-01-07T16:00:00,2026-01-07T16:30:00,,,,,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
GT-0007,ST01_FILLING_FLW,SPIKE,GAP,,,2026-01-08T06:30:00,2026-01-08T06:32:00,,,,,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
GT-0008,ST02_SEALING_CUR,DRIFT,COVERED,drift,MAINT-01-NULL,2026-01-08T08:00:00,2026-01-08T10:00:00,2026-01-08T08:12:00,2026-01-08T12:38:30,12.0,90.0,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
GT-0009,ST04_PACKAGING_SPD,CORRELATED,GAP,,,2026-01-08T09:30:00,2026-01-08T10:30:00,,,,,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
GT-0010,ST03_LABELLING_CNT,OUT_OF_RANGE,GAP,,,2026-01-09T07:30:00,2026-01-09T07:55:00,,,,,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
GT-0011,CHM01_CHEMICALSTORAGE_TMP,OUT_OF_RANGE,GAP,,,2026-01-09T08:00:00,2026-01-09T08:45:00,,,,,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
GT-0012,WRH01_WAREHOUSE_TMP,DRIFT,GAP,,,2026-01-09T10:00:00,2026-01-09T13:00:00,,,,,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
GT-0013,RND01_RDLAB_HUM,DRIFT,GAP,,,2026-01-09T11:30:00,2026-01-09T13:00:00,,,,,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
GT-0014,ST04_PACKAGING_VIB,SPIKE,COVERED,sustained,MAINT-04-NULL,2026-01-09T13:00:00,2026-01-09T13:01:00,2026-01-06T06:15:00,2026-01-09T13:59:30,-4725.0,100.0,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
GT-0001,ST02_SEALING_TMP,SPIKE,COVERED,drift,MAINT-02-NULL,2026-01-06T08:30:00,2026-01-06T08:33:00,2026-01-06T08:30:30,2026-01-06T09:00:00,0.5,83.3,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
GT-0002,ST01_FILLING_PRS,DRIFT,GAP,,,2026-01-06T11:00:00,2026-01-06T11:45:00,,,,,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
GT-0003,ST04_PACKAGING_VIB,DRIFT,COVERED,sustained,MAINT-04-NULL,2026-01-07T07:00:00,2026-01-07T08:30:00,2026-01-06T06:15:00,2026-01-09T13:59:30,-1485.0,100.0,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
GT-0004,ST03_LABELLING_TEN,STUCK,GAP,,,2026-01-07T09:30:00,2026-01-07T09:42:00,,,,,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
GT-0005,SRV01_SERVERROOM_TMP,OUT_OF_RANGE,GAP,,,2026-01-07T12:00:00,2026-01-07T12:20:00,,,,,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
GT-0006,CAF01_CAFETERIA_TMP,OUT_OF_RANGE,GAP,,,2026-01-07T16:00:00,2026-01-07T16:30:00,,,,,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
GT-0007,ST01_FILLING_FLW,SPIKE,GAP,,,2026-01-08T06:30:00,2026-01-08T06:32:00,,,,,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
GT-0008,ST02_SEALING_CUR,DRIFT,COVERED,drift,MAINT-01-NULL,2026-01-08T08:00:00,2026-01-08T10:00:00,2026-01-08T08:12:00,2026-01-08T12:38:30,12.0,90.0,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
GT-0009,ST04_PACKAGING_SPD,CORRELATED,GAP,,,2026-01-08T09:30:00,2026-01-08T10:30:00,,,,,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
GT-0010,ST03_LABELLING_CNT,OUT_OF_RANGE,GAP,,,2026-01-09T07:30:00,2026-01-09T07:55:00,,,,,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
GT-0011,CHM01_CHEMICALSTORAGE_TMP,OUT_OF_RANGE,GAP,,,2026-01-09T08:00:00,2026-01-09T08:45:00,,,,,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
GT-0012,WRH01_WAREHOUSE_TMP,DRIFT,GAP,,,2026-01-09T10:00:00,2026-01-09T13:00:00,,,,,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
GT-0013,RND01_RDLAB_HUM,DRIFT,GAP,,,2026-01-09T11:30:00,2026-01-09T13:00:00,,,,,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
GT-0014,ST04_PACKAGING_VIB,SPIKE,COVERED,sustained,MAINT-04-NULL,2026-01-09T13:00:00,2026-01-09T13:01:00,2026-01-06T06:15:00,2026-01-09T13:59:30,-4725.0,100.0,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
GT-0001,ST02_SEALING_TMP,SPIKE,COVERED,drift,MAINT-02-NULL,2026-01-06T08:30:00,2026-01-06T08:33:00,2026-01-06T08:30:30,2026-01-06T09:00:00,0.5,83.3,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
GT-0002,ST01_FILLING_PRS,DRIFT,GAP,,,2026-01-06T11:00:00,2026-01-06T11:45:00,,,,,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
GT-0003,ST04_PACKAGING_VIB,DRIFT,COVERED,sustained,MAINT-04-NULL,2026-01-07T07:00:00,2026-01-07T08:30:00,2026-01-06T06:15:00,2026-01-09T13:59:30,-1485.0,100.0,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
GT-0004,ST03_LABELLING_TEN,STUCK,GAP,,,2026-01-07T09:30:00,2026-01-07T09:42:00,,,,,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
GT-0005,SRV01_SERVERROOM_TMP,OUT_OF_RANGE,GAP,,,2026-01-07T12:00:00,2026-01-07T12:20:00,,,,,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
GT-0006,CAF01_CAFETERIA_TMP,OUT_OF_RANGE,GAP,,,2026-01-07T16:00:00,2026-01-07T16:30:00,,,,,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
GT-0007,ST01_FILLING_FLW,SPIKE,GAP,,,2026-01-08T06:30:00,2026-01-08T06:32:00,,,,,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
GT-0008,ST02_SEALING_CUR,DRIFT,COVERED,drift,MAINT-01-NULL,2026-01-08T08:00:00,2026-01-08T10:00:00,2026-01-08T08:12:00,2026-01-08T12:38:30,12.0,90.0,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
GT-0009,ST04_PACKAGING_SPD,CORRELATED,GAP,,,2026-01-08T09:30:00,2026-01-08T10:30:00,,,,,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
GT-0010,ST03_LABELLING_CNT,OUT_OF_RANGE,GAP,,,2026-01-09T07:30:00,2026-01-09T07:55:00,,,,,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
GT-0011,CHM01_CHEMICALSTORAGE_TMP,OUT_OF_RANGE,GAP,,,2026-01-09T08:00:00,2026-01-09T08:45:00,,,,,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
GT-0012,WRH01_WAREHOUSE_TMP,DRIFT,GAP,,,2026-01-09T10:00:00,2026-01-09T13:00:00,,,,,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
GT-0013,RND01_RDLAB_HUM,DRIFT,GAP,,,2026-01-09T11:30:00,2026-01-09T13:00:00,,,,,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
GT-0014,ST04_PACKAGING_VIB,SPIKE,COVERED,sustained,MAINT-04-NULL,2026-01-09T13:00:00,2026-01-09T13:01:00,2026-01-06T06:15:00,2026-01-09T13:59:30,-4725.0,100.0,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
