gtId,sensor,type,status,detector,matchedRules,gtStart,gtEnd,detStart,detEnd,latencyMin,coveragePct,run_file
GT-0013,RND01_RDLAB_HUM,DRIFT,COVERED,drift|threshold,MAINT-08|RULE-RND01-02,2026-01-09T11:30:00,2026-01-09T13:00:00,2026-01-09T12:49:30,2026-01-09T13:14:00,79.5,11.7,ext_gemma4-31b_reflexion_guided_ctexts_s42_run2_20260804_121620.csv
GT-0014,ST04_PACKAGING_VIB,SPIKE,COVERED,threshold,RULE-ST04-02,2026-01-09T13:00:00,2026-01-09T13:01:00,2026-01-09T13:00:00,2026-01-09T13:00:30,0.0,50.0,ext_gemma4-31b_reflexion_guided_ctexts_s42_run2_20260804_121620.csv
GT-0001,ST02_SEALING_TMP,SPIKE,COVERED,threshold,RULE-ST02-02,2026-01-06T08:30:00,2026-01-06T08:33:00,2026-01-06T08:30:00,2026-01-06T08:30:30,0.0,16.7,ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv
GT-0002,ST01_FILLING_PRS,DRIFT,COVERED,threshold,SOP-002-ST01-PRS,2026-01-06T11:00:00,2026-01-06T11:45:00,2026-01-06T11:39:00,2026-01-06T11:45:00,39.0,13.3,ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv
GT-0003,ST04_PACKAGING_VIB,DRIFT,COVERED,drift|threshold,MAINT-01|RULE-ST04-01,2026-01-07T07:00:00,2026-01-07T08:30:00,2026-01-07T07:47:00,2026-01-07T09:06:00,47.0,47.8,ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv
GT-0004,ST03_LABELLING_TEN,STUCK,COVERED,stuck,MAINT-03,2026-01-07T09:30:00,2026-01-07T09:42:00,2026-01-07T09:35:00,2026-01-07T09:42:00,5.0,58.3,ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv
GT-0005,SRV01_SERVERROOM_TMP,OUT_OF_RANGE,COVERED,threshold,MAINT-05,2026-01-07T12:00:00,2026-01-07T12:20:00,2026-01-07T12:00:00,2026-01-07T12:20:00,0.0,100.0,ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv
GT-0006,CAF01_CAFETERIA_TMP,OUT_OF_RANGE,COVERED,threshold,RULE-CAF01-01,2026-01-07T16:00:00,2026-01-07T16:30:00,2026-01-07T16:20:30,2026-01-07T16:30:00,20.5,31.7,ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv
GT-0007,ST01_FILLING_FLW,SPIKE,COVERED,threshold,SOP-002-ST01-FLW,2026-01-08T06:30:00,2026-01-08T06:32:00,2026-01-08T06:30:00,2026-01-08T06:31:00,0.0,50.0,ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv
GT-0008,ST02_SEALING_CUR,DRIFT,COVERED,threshold,SOP-002-ST02-CUR,2026-01-08T08:00:00,2026-01-08T10:00:00,2026-01-08T09:18:30,2026-01-08T10:00:00,78.5,34.6,ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv
GT-0009,ST04_PACKAGING_SPD,CORRELATED,GAP,,,2026-01-08T09:30:00,2026-01-08T10:30:00,,,,,ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv
GT-0010,ST03_LABELLING_CNT,OUT_OF_RANGE,COVERED,threshold,RULE-ST03-02,2026-01-09T07:30:00,2026-01-09T07:55:00,2026-01-09T07:35:00,2026-01-09T07:55:00,5.0,80.0,ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv
GT-0011,CHM01_CHEMICALSTORAGE_TMP,OUT_OF_RANGE,COVERED,threshold,MAINT-07,2026-01-09T08:00:00,2026-01-09T08:45:00,2026-01-09T08:00:00,2026-01-09T08:45:00,0.0,100.0,ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv
GT-0012,WRH01_WAREHOUSE_TMP,DRIFT,COVERED,drift|threshold,MAINT-06|RULE-WRH01-01,2026-01-09T10:00:00,2026-01-09T13:00:00,2026-01-09T12:01:00,2026-01-09T13:54:30,121.0,32.8,ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv
GT-0013,RND01_RDLAB_HUM,DRIFT,COVERED,drift|threshold,MAINT-08|RULE-RND01-02,2026-01-09T11:30:00,2026-01-09T13:00:00,2026-01-09T12:49:30,2026-01-09T13:14:00,79.5,11.7,ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv
GT-0014,ST04_PACKAGING_VIB,SPIKE,COVERED,threshold,RULE-ST04-02,2026-01-09T13:00:00,2026-01-09T13:01:00,2026-01-09T13:00:00,2026-01-09T13:00:30,0.0,50.0,ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv
GT-0001,ST02_SEALING_TMP,SPIKE,COVERED,threshold,RULE-ST02-01,2026-01-06T08:30:00,2026-01-06T08:33:00,2026-01-06T08:30:00,2026-01-06T08:32:00,0.0,66.7,ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv
GT-0002,ST01_FILLING_PRS,DRIFT,COVERED,threshold,SOP-002-ST01-PRS,2026-01-06T11:00:00,2026-01-06T11:45:00,2026-01-06T11:39:00,2026-01-06T11:45:00,39.0,13.3,ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv
GT-0003,ST04_PACKAGING_VIB,DRIFT,COVERED,drift|threshold,MAINT-01|RULE-ST04-01,2026-01-07T07:00:00,2026-01-07T08:30:00,2026-01-07T07:47:00,2026-01-07T09:06:00,47.0,47.8,ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv
GT-0004,ST03_LABELLING_TEN,STUCK,COVERED,stuck,MAINT-03,2026-01-07T09:30:00,2026-01-07T09:42:00,2026-01-07T09:35:00,2026-01-07T09:42:00,5.0,58.3,ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv
GT-0005,SRV01_SERVERROOM_TMP,OUT_OF_RANGE,COVERED,sustained|threshold,MAINT-05|RULE-SRV01-01,2026-01-07T12:00:00,2026-01-07T12:20:00,2026-01-07T12:00:00,2026-01-07T12:20:00,0.0,100.0,ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv
GT-0006,CAF01_CAFETERIA_TMP,OUT_OF_RANGE,COVERED,threshold,RULE-CAF01-01,2026-01-07T16:00:00,2026-01-07T16:30:00,2026-01-07T16:20:30,2026-01-07T16:30:00,20.5,31.7,ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv
GT-0007,ST01_FILLING_FLW,SPIKE,COVERED,threshold,RULE-ST01-01,2026-01-08T06:30:00,2026-01-08T06:32:00,2026-01-08T06:30:00,2026-01-08T06:31:30,0.0,75.0,ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv
GT-0008,ST02_SEALING_CUR,DRIFT,COVERED,threshold,RULE-ST02-04,2026-01-08T08:00:00,2026-01-08T10:00:00,2026-01-08T09:18:30,2026-01-08T10:00:00,78.5,34.6,ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv
GT-0009,ST04_PACKAGING_SPD,CORRELATED,GAP,,,2026-01-08T09:30:00,2026-01-08T10:30:00,,,,,ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv
GT-0010,ST03_LABELLING_CNT,OUT_OF_RANGE,COVERED,threshold,RULE-ST03-02,2026-01-09T07:30:00,2026-01-09T07:55:00,2026-01-09T07:35:00,2026-01-09T07:55:00,5.0,80.0,ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv
GT-0011,CHM01_CHEMICALSTORAGE_TMP,OUT_OF_RANGE,COVERED,sustained|threshold,MAINT-07|RULE-CHM01-01,2026-01-09T08:00:00,2026-01-09T08:45:00,2026-01-09T08:05:00,2026-01-09T08:45:00,5.0,88.9,ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv
GT-0012,WRH01_WAREHOUSE_TMP,DRIFT,COVERED,drift|threshold,MAINT-06|RULE-WRH01-01,2026-01-09T10:00:00,2026-01-09T13:00:00,2026-01-09T12:01:00,2026-01-09T13:54:30,121.0,32.8,ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv
GT-0013,RND01_RDLAB_HUM,DRIFT,COVERED,drift|threshold,MAINT-08|RULE-RND01-02,2026-01-09T11:30:00,2026-01-09T13:00:00,2026-01-09T12:49:30,2026-01-09T13:14:00,79.5,11.7,ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv
GT-0014,ST04_PACKAGING_VIB,SPIKE,COVERED,threshold,RULE-ST04-02,2026-01-09T13:00:00,2026-01-09T13:01:00,2026-01-09T13:00:00,2026-01-09T13:00:30,0.0,50.0,ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv
GT-0001,ST02_SEALING_TMP,SPIKE,COVERED,threshold,RULE-ST02-01,2026-01-06T08:30:00,2026-01-06T08:33:00,2026-01-06T08:30:00,2026-01-06T08:32:00,0.0,66.7,ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv
GT-0002,ST01_FILLING_PRS,DRIFT,COVERED,threshold,SOP-002-ST01-PRS,2026-01-06T11:00:00,2026-01-06T11:45:00,2026-01-06T11:39:00,2026-01-06T11:45:00,39.0,13.3,ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv
GT-0003,ST04_PACKAGING_VIB,DRIFT,COVERED,drift|threshold,MAINT-01|RULE-ST04-01,2026-01-07T07:00:00,2026-01-07T08:30:00,2026-01-07T07:47:00,2026-01-07T09:06:00,47.0,47.8,ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv
GT-0004,ST03_LABELLING_TEN,STUCK,COVERED,stuck,MAINT-03,2026-01-07T09:30:00,2026-01-07T09:42:00,2026-01-07T09:35:00,2026-01-07T09:42:00,5.0,58.3,ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv
GT-0005,SRV01_SERVERROOM_TMP,OUT_OF_RANGE,COVERED,sustained|threshold,MAINT-05|RULE-SRV01-01,2026-01-07T12:00:00,2026-01-07T12:20:00,2026-01-07T12:05:00,2026-01-07T12:20:00,5.0,75.0,ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv
GT-0006,CAF01_CAFETERIA_TMP,OUT_OF_RANGE,COVERED,threshold,RULE-CAF01-01,2026-01-07T16:00:00,2026-01-07T16:30:00,2026-01-07T16:20:30,2026-01-07T16:30:00,20.5,31.7,ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv
GT-0007,ST01_FILLING_FLW,SPIKE,COVERED,threshold,RULE-ST01-01,2026-01-08T06:30:00,2026-01-08T06:32:00,2026-01-08T06:30:00,2026-01-08T06:31:30,0.0,75.0,ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv
GT-0008,ST02_SEALING_CUR,DRIFT,COVERED,threshold,RULE-ST02-04,2026-01-08T08:00:00,2026-01-08T10:00:00,2026-01-08T09:18:30,2026-01-08T10:00:00,78.5,34.6,ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv
GT-0009,ST04_PACKAGING_SPD,CORRELATED,GAP,,,2026-01-08T09:30:00,2026-01-08T10:30:00,,,,,ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv
GT-0010,ST03_LABELLING_CNT,OUT_OF_RANGE,COVERED,threshold,RULE-ST03-02,2026-01-09T07:30:00,2026-01-09T07:55:00,2026-01-09T07:35:00,2026-01-09T07:55:00,5.0,80.0,ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv
GT-0011,CHM01_CHEMICALSTORAGE_TMP,OUT_OF_RANGE,COVERED,sustained|threshold,MAINT-07|RULE-CHM01-01,2026-01-09T08:00:00,2026-01-09T08:45:00,2026-01-09T08:05:00,2026-01-09T08:45:00,5.0,88.9,ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv
GT-0012,WRH01_WAREHOUSE_TMP,DRIFT,COVERED,drift|threshold,MAINT-06|RULE-WRH01-01,2026-01-09T10:00:00,2026-01-09T13:00:00,2026-01-09T12:01:00,2026-01-09T13:54:30,121.0,32.8,ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv
GT-0013,RND01_RDLAB_HUM,DRIFT,COVERED,drift|threshold,MAINT-08|RULE-RND01-02,2026-01-09T11:30:00,2026-01-09T13:00:00,2026-01-09T12:49:30,2026-01-09T13:14:00,79.5,11.7,ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv
GT-0014,ST04_PACKAGING_VIB,SPIKE,COVERED,threshold,RULE-ST04-02,2026-01-09T13:00:00,2026-01-09T13:01:00,2026-01-09T13:00:00,2026-01-09T13:00:30,0.0,50.0,ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv
