event_id,timestamp,person_id,role,zone,event_type,authorized
AE-00354,2026-01-08T03:57:00,P036,supervisor,Chemical Storage,EXIT,YES
AE-00174,2026-01-08T03:58:00,P018,operator,Cafeteria,EXIT,YES
AE-00194,2026-01-08T03:58:00,P020,operator,Cafeteria,EXIT,YES
AE-00234,2026-01-08T03:58:00,P024,technician,Production Area,EXIT,YES
AE-00134,2026-01-08T04:00:00,P014,operator,General Warehouse,EXIT,YES
AE-00314,2026-01-08T04:00:00,P032,supervisor,Production Area,EXIT,YES
AE-00114,2026-01-08T04:02:00,P012,operator,Production Area,EXIT,YES
AE-00434,2026-01-08T04:03:00,P044,security,Server Room,EXIT,YES
AE-00374,2026-01-08T04:04:00,P038,supervisor,R&D Lab,EXIT,YES
AE-00154,2026-01-08T04:06:00,P016,operator,General Warehouse,EXIT,YES
AE-00254,2026-01-08T04:06:00,P026,technician,General Warehouse,EXIT,YES
AE-00094,2026-01-08T04:07:00,P010,operator,Production Area,EXIT,YES
AE-00334,2026-01-08T04:09:00,P034,supervisor,Main Entrance,EXIT,YES
AE-00014,2026-01-08T04:10:00,P002,operator,Production Area,EXIT,YES
AE-00034,2026-01-08T04:10:00,P004,operator,Production Area,EXIT,YES
AE-00294,2026-01-08T04:10:00,P030,technician,R&D Lab,EXIT,YES
AE-00065,2026-01-08T12:00:00,P007,operator,Production Area,ENTRY,YES
AE-00405,2026-01-08T12:00:00,P041,manager,Main Entrance,ENTRY,YES
AE-00025,2026-01-08T12:01:00,P003,operator,Production Area,ENTRY,YES
AE-00125,2026-01-08T12:01:00,P013,operator,General Warehouse,ENTRY,YES
AE-00145,2026-01-08T12:01:00,P015,operator,General Warehouse,ENTRY,YES
AE-00165,2026-01-08T12:01:00,P017,operator,Cafeteria,ENTRY,YES
AE-00205,2026-01-08T12:04:00,P021,technician,Production Area,ENTRY,YES
AE-00265,2026-01-08T12:04:00,P027,technician,Server Room,ENTRY,YES
AE-00425,2026-01-08T12:04:00,P043,security,Server Room,ENTRY,YES
AE-00045,2026-01-08T12:05:00,P005,operator,Production Area,ENTRY,YES
AE-00185,2026-01-08T12:05:00,P019,operator,Cafeteria,ENTRY,YES
AE-00365,2026-01-08T12:05:00,P037,supervisor,R&D Lab,ENTRY,YES
AE-00345,2026-01-08T12:06:00,P035,supervisor,Chemical Storage,ENTRY,YES
AE-00385,2026-01-08T12:07:00,P039,manager,Production Area,ENTRY,YES
AE-00245,2026-01-08T12:08:00,P025,technician,General Warehouse,ENTRY,YES
AE-00105,2026-01-08T12:09:00,P011,operator,Production Area,ENTRY,YES
AE-00005,2026-01-08T12:10:00,P001,operator,Production Area,ENTRY,YES
AE-00085,2026-01-08T12:10:00,P009,operator,Production Area,ENTRY,YES
AE-00325,2026-01-08T12:12:00,P033,supervisor,Main Entrance,ENTRY,YES
AE-00305,2026-01-08T12:14:00,P031,supervisor,Production Area,ENTRY,YES
AE-00225,2026-01-08T12:15:00,P023,technician,Production Area,ENTRY,YES
AE-00285,2026-01-08T12:15:00,P029,technician,R&D Lab,ENTRY,YES
AE-00445,2026-01-08T15:05:00,P003,operator,Server Room,ENTRY,NO
AE-00446,2026-01-08T17:50:00,P013,operator,Chemical Storage,ENTRY,NO
AE-00026,2026-01-08T19:56:00,P003,operator,Production Area,EXIT,YES
AE-00106,2026-01-08T19:56:00,P011,operator,Production Area,EXIT,YES
AE-00266,2026-01-08T19:56:00,P027,technician,Server Room,EXIT,YES
AE-00306,2026-01-08T19:56:00,P031,supervisor,Production Area,EXIT,YES
AE-00406,2026-01-08T19:56:00,P041,manager,Main Entrance,EXIT,YES
AE-00046,2026-01-08T19:57:00,P005,operator,Production Area,EXIT,YES
AE-00126,2026-01-08T19:57:00,P013,operator,General Warehouse,EXIT,YES
AE-00226,2026-01-08T19:58:00,P023,technician,Production Area,EXIT,YES
AE-00286,2026-01-08T19:58:00,P029,technician,R&D Lab,EXIT,YES
AE-00186,2026-01-08T19:59:00,P019,operator,Cafeteria,EXIT,YES
AE-00346,2026-01-08T19:59:00,P035,supervisor,Chemical Storage,EXIT,YES
AE-00015,2026-01-08T20:00:00,P002,operator,Production Area,ENTRY,YES
AE-00095,2026-01-08T20:00:00,P010,operator,Production Area,ENTRY,YES
AE-00175,2026-01-08T20:00:00,P018,operator,Cafeteria,ENTRY,YES
AE-00295,2026-01-08T20:00:00,P030,technician,R&D Lab,ENTRY,YES
AE-00386,2026-01-08T20:00:00,P039,manager,Production Area,EXIT,YES
AE-00395,2026-01-08T20:00:00,P040,manager,Production Area,ENTRY,YES
AE-00275,2026-01-08T20:01:00,P028,technician,Server Room,ENTRY,YES
AE-00355,2026-01-08T20:01:00,P036,supervisor,Chemical Storage,ENTRY,YES
AE-00426,2026-01-08T20:01:00,P043,security,Server Room,EXIT,YES
AE-00055,2026-01-08T20:02:00,P006,operator,Production Area,ENTRY,YES
AE-00415,2026-01-08T20:02:00,P042,manager,Main Entrance,ENTRY,YES
AE-00035,2026-01-08T20:03:00,P004,operator,Production Area,ENTRY,YES
AE-00115,2026-01-08T20:04:00,P012,operator,Production Area,ENTRY,YES
AE-00135,2026-01-08T20:04:00,P014,operator,General Warehouse,ENTRY,YES
AE-00255,2026-01-08T20:04:00,P026,technician,General Warehouse,ENTRY,YES
AE-00066,2026-01-08T20:05:00,P007,operator,Production Area,EXIT,YES
AE-00315,2026-01-08T20:05:00,P032,supervisor,Production Area,ENTRY,YES
AE-00435,2026-01-08T20:05:00,P044,security,Server Room,ENTRY,YES
AE-00086,2026-01-08T20:06:00,P009,operator,Production Area,EXIT,YES
AE-00146,2026-01-08T20:06:00,P015,operator,General Warehouse,EXIT,YES
AE-00206,2026-01-08T20:06:00,P021,technician,Production Area,EXIT,YES
AE-00166,2026-01-08T20:07:00,P017,operator,Cafeteria,EXIT,YES
AE-00006,2026-01-08T20:09:00,P001,operator,Production Area,EXIT,YES
AE-00246,2026-01-08T20:09:00,P025,technician,General Warehouse,EXIT,YES
AE-00326,2026-01-08T20:09:00,P033,supervisor,Main Entrance,EXIT,YES
AE-00366,2026-01-08T20:10:00,P037,supervisor,R&D Lab,EXIT,YES
AE-00155,2026-01-08T20:11:00,P016,operator,General Warehouse,ENTRY,YES
AE-00235,2026-01-08T20:12:00,P024,technician,Production Area,ENTRY,YES
AE-00335,2026-01-08T20:13:00,P034,supervisor,Main Entrance,ENTRY,YES
AE-00075,2026-01-08T20:14:00,P008,operator,Production Area,ENTRY,YES
AE-00215,2026-01-08T20:14:00,P022,technician,Production Area,ENTRY,YES
AE-00375,2026-01-08T20:14:00,P038,supervisor,R&D Lab,ENTRY,YES
AE-00195,2026-01-08T20:15:00,P020,operator,Cafeteria,ENTRY,YES
AE-00276,2026-01-09T03:55:00,P028,technician,Server Room,EXIT,YES
AE-00296,2026-01-09T03:55:00,P030,technician,R&D Lab,EXIT,YES
AE-00076,2026-01-09T03:56:00,P008,operator,Production Area,EXIT,YES
AE-00376,2026-01-09T03:56:00,P038,supervisor,R&D Lab,EXIT,YES
AE-00096,2026-01-09T03:57:00,P010,operator,Production Area,EXIT,YES
AE-00116,2026-01-09T03:57:00,P012,operator,Production Area,EXIT,YES
AE-00156,2026-01-09T03:57:00,P016,operator,General Warehouse,EXIT,YES
AE-00056,2026-01-09T03:58:00,P006,operator,Production Area,EXIT,YES
AE-00396,2026-01-09T03:58:00,P040,manager,Production Area,EXIT,YES
AE-00176,2026-01-09T03:59:00,P018,operator,Cafeteria,EXIT,YES
AE-00316,2026-01-09T04:02:00,P032,supervisor,Production Area,EXIT,YES
AE-00016,2026-01-09T04:03:00,P002,operator,Production Area,EXIT,YES
AE-00416,2026-01-09T04:03:00,P042,manager,Main Entrance,EXIT,YES
AE-00216,2026-01-09T04:04:00,P022,technician,Production Area,EXIT,YES
AE-00256,2026-01-09T04:05:00,P026,technician,General Warehouse,EXIT,YES
AE-00336,2026-01-09T04:06:00,P034,supervisor,Main Entrance,EXIT,YES
AE-00356,2026-01-09T04:06:00,P036,supervisor,Chemical Storage,EXIT,YES
AE-00436,2026-01-09T04:06:00,P044,security,Server Room,EXIT,YES
AE-00236,2026-01-09T04:07:00,P024,technician,Production Area,EXIT,YES
AE-00036,2026-01-09T04:08:00,P004,operator,Production Area,EXIT,YES
AE-00196,2026-01-09T04:08:00,P020,operator,Cafeteria,EXIT,YES
AE-00136,2026-01-09T04:09:00,P014,operator,General Warehouse,EXIT,YES
AE-00007,2026-01-09T12:00:00,P001,operator,Production Area,ENTRY,YES
AE-00407,2026-01-09T12:00:00,P041,manager,Main Entrance,ENTRY,YES
AE-00107,2026-01-09T12:02:00,P011,operator,Production Area,ENTRY,YES
AE-00167,2026-01-09T12:04:00,P017,operator,Cafeteria,ENTRY,YES
AE-00387,2026-01-09T12:04:00,P039,manager,Production Area,ENTRY,YES
AE-00027,2026-01-09T12:06:00,P003,operator,Production Area,ENTRY,YES
AE-00147,2026-01-09T12:08:00,P015,operator,General Warehouse,ENTRY,YES
AE-00347,2026-01-09T12:08:00,P035,supervisor,Chemical Storage,ENTRY,YES
AE-00367,2026-01-09T12:08:00,P037,supervisor,R&D Lab,ENTRY,YES
AE-00047,2026-01-09T12:09:00,P005,operator,Production Area,ENTRY,YES
AE-00067,2026-01-09T12:09:00,P007,operator,Production Area,ENTRY,YES
AE-00127,2026-01-09T12:09:00,P013,operator,General Warehouse,ENTRY,YES
AE-00287,2026-01-09T12:09:00,P029,technician,R&D Lab,ENTRY,YES
AE-00327,2026-01-09T12:10:00,P033,supervisor,Main Entrance,ENTRY,YES
AE-00207,2026-01-09T12:11:00,P021,technician,Production Area,ENTRY,YES
AE-00227,2026-01-09T12:11:00,P023,technician,Production Area,ENTRY,YES
AE-00427,2026-01-09T12:11:00,P043,security,Server Room,ENTRY,YES
AE-00247,2026-01-09T12:13:00,P025,technician,General Warehouse,ENTRY,YES
AE-00267,2026-01-09T12:13:00,P027,technician,Server Room,ENTRY,YES
AE-00187,2026-01-09T12:14:00,P019,operator,Cafeteria,ENTRY,YES
AE-00087,2026-01-09T12:15:00,P009,operator,Production Area,ENTRY,YES
AE-00307,2026-01-09T12:15:00,P031,supervisor,Production Area,ENTRY,YES
AE-00188,2026-01-09T19:55:00,P019,operator,Cafeteria,EXIT,YES
AE-00228,2026-01-09T19:55:00,P023,technician,Production Area,EXIT,YES
AE-00368,2026-01-09T19:55:00,P037,supervisor,R&D Lab,EXIT,YES
AE-00108,2026-01-09T19:58:00,P011,operator,Production Area,EXIT,YES
AE-00268,2026-01-09T19:58:00,P027,technician,Server Room,EXIT,YES
AE-00408,2026-01-09T19:58:00,P041,manager,Main Entrance,EXIT,YES
AE-00008,2026-01-09T20:00:00,P001,operator,Production Area,EXIT,YES
AE-00128,2026-01-09T20:00:00,P013,operator,General Warehouse,EXIT,YES
AE-00248,2026-01-09T20:00:00,P025,technician,General Warehouse,EXIT,YES
AE-00348,2026-01-09T20:00:00,P035,supervisor,Chemical Storage,EXIT,YES
AE-00048,2026-01-09T20:01:00,P005,operator,Production Area,EXIT,YES
AE-00068,2026-01-09T20:02:00,P007,operator,Production Area,EXIT,YES
AE-00288,2026-01-09T20:02:00,P029,technician,R&D Lab,EXIT,YES
AE-00357,2026-01-09T20:02:00,P036,supervisor,Chemical Storage,ENTRY,YES
AE-00208,2026-01-09T20:03:00,P021,technician,Production Area,EXIT,YES
AE-00117,2026-01-09T20:04:00,P012,operator,Production Area,ENTRY,YES
AE-00217,2026-01-09T20:04:00,P022,technician,Production Area,ENTRY,YES
AE-00057,2026-01-09T20:05:00,P006,operator,Production Area,ENTRY,YES
AE-00168,2026-01-09T20:05:00,P017,operator,Cafeteria,EXIT,YES
AE-00197,2026-01-09T20:05:00,P020,operator,Cafeteria,ENTRY,YES
AE-00237,2026-01-09T20:05:00,P024,technician,Production Area,ENTRY,YES
AE-00317,2026-01-09T20:05:00,P032,supervisor,Production Area,ENTRY,YES
AE-00417,2026-01-09T20:05:00,P042,manager,Main Entrance,ENTRY,YES
AE-00428,2026-01-09T20:05:00,P043,security,Server Room,EXIT,YES
AE-00388,2026-01-09T20:06:00,P039,manager,Production Area,EXIT,YES
AE-00148,2026-01-09T20:07:00,P015,operator,General Warehouse,EXIT,YES
AE-00377,2026-01-09T20:07:00,P038,supervisor,R&D Lab,ENTRY,YES
AE-00437,2026-01-09T20:07:00,P044,security,Server Room,ENTRY,YES
AE-00328,2026-01-09T20:08:00,P033,supervisor,Main Entrance,EXIT,YES
AE-00397,2026-01-09T20:08:00,P040,manager,Production Area,ENTRY,YES
AE-00037,2026-01-09T20:09:00,P004,operator,Production Area,ENTRY,YES
AE-00088,2026-01-09T20:09:00,P009,operator,Production Area,EXIT,YES
AE-00157,2026-01-09T20:09:00,P016,operator,General Warehouse,ENTRY,YES
AE-00177,2026-01-09T20:09:00,P018,operator,Cafeteria,ENTRY,YES
AE-00308,2026-01-09T20:09:00,P031,supervisor,Production Area,EXIT,YES
AE-00017,2026-01-09T20:10:00,P002,operator,Production Area,ENTRY,YES
AE-00028,2026-01-09T20:10:00,P003,operator,Production Area,EXIT,YES
AE-00137,2026-01-09T20:10:00,P014,operator,General Warehouse,ENTRY,YES
AE-00277,2026-01-09T20:10:00,P028,technician,Server Room,ENTRY,YES
AE-00097,2026-01-09T20:11:00,P010,operator,Production Area,ENTRY,YES
AE-00297,2026-01-09T20:12:00,P030,technician,R&D Lab,ENTRY,YES
AE-00337,2026-01-09T20:12:00,P034,supervisor,Main Entrance,ENTRY,YES
AE-00257,2026-01-09T20:14:00,P026,technician,General Warehouse,ENTRY,YES
AE-00077,2026-01-09T20:15:00,P008,operator,Production Area,ENTRY,YES
AE-00447,2026-01-09T22:20:00,UNKNOWN,visitor,Production Area,ENTRY,NO
AE-00098,2026-01-10T03:56:00,P010,operator,Production Area,EXIT,YES
AE-00418,2026-01-10T03:56:00,P042,manager,Main Entrance,EXIT,YES
AE-00218,2026-01-10T03:57:00,P022,technician,Production Area,EXIT,YES
AE-00018,2026-01-10T03:58:00,P002,operator,Production Area,EXIT,YES
AE-00238,2026-01-10T03:58:00,P024,technician,Production Area,EXIT,YES
AE-00438,2026-01-10T03:58:00,P044,security,Server Room,EXIT,YES
AE-00058,2026-01-10T03:59:00,P006,operator,Production Area,EXIT,YES
AE-00078,2026-01-10T03:59:00,P008,operator,Production Area,EXIT,YES
AE-00358,2026-01-10T04:01:00,P036,supervisor,Chemical Storage,EXIT,YES
AE-00298,2026-01-10T04:02:00,P030,technician,R&D Lab,EXIT,YES
AE-00118,2026-01-10T04:03:00,P012,operator,Production Area,EXIT,YES
AE-00258,2026-01-10T04:03:00,P026,technician,General Warehouse,EXIT,YES
AE-00198,2026-01-10T04:04:00,P020,operator,Cafeteria,EXIT,YES
