file_name,total_extracted,gt_rows_total,max_possible_precision,forced_fp_from_row_count,content_f1,content_pr,content_re,content_tp,content_fp,content_fn,gt_ids_found_verbatim,gt_ids_distinct,id_reuse_frac
ext_gemma4-31b_few_shot_static_ctexts_s42_run4_20260804_100541.csv,63,86,1.0,0,0.846,1.0,0.733,63,0,23,34,86,0.395
ext_gemma4-31b_cot_structured_ctexts_s42_run5_20260804_110311.csv,63,86,1.0,0,0.846,1.0,0.733,63,0,23,33,86,0.384
ext_gemma4-31b_self_consistency_ctexts_s42_run2_20260804_112621.csv,63,86,1.0,0,0.846,1.0,0.733,63,0,23,30,86,0.349
ext_nemotron-3-nano-30b_self_consistency_ctexts_s42_run1_20260803_230654.csv,63,86,1.0,0,0.846,1.0,0.733,63,0,23,24,86,0.279
ext_gemma4-31b_self_consistency_ctexts_s42_run1_20260804_112141.csv,63,86,1.0,0,0.846,1.0,0.733,63,0,23,30,86,0.349
ext_gemma4-31b_self_consistency_ctexts_s42_run4_20260804_113715.csv,63,86,1.0,0,0.846,1.0,0.733,63,0,23,30,86,0.349
ext_gemma4-31b_self_consistency_ctexts_s42_run5_20260804_114240.csv,63,86,1.0,0,0.846,1.0,0.733,63,0,23,30,86,0.349
ext_nemotron-3-nano-30b_cot_basic_ctexts_s42_run5_20260803_224641.csv,64,86,1.0,0,0.84,0.984,0.733,63,1,23,12,86,0.14
ext_nemotron-3-nano-30b_reflexion_ctexts_s42_run5_20260803_233434.csv,64,86,1.0,0,0.84,0.984,0.733,63,1,23,31,86,0.36
ext_gemma4-31b_few_shot_static_ctexts_s42_run1_20260804_100048.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,52,86,0.605
ext_gemma4-31b_cot_structured_ctexts_s42_run4_20260804_105939.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,30,86,0.349
ext_gemma4-31b_graph_informed_ctexts_s42_run2_20260804_101032.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,32,86,0.372
ext_gemma4-31b_react_abox_ctexts_s42_run5_20260804_131250.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,30,86,0.349
ext_gemma4-31b_graph_informed_ctexts_s42_run4_20260804_101304.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,33,86,0.384
ext_gemma4-31b_react_abox_ctexts_s42_run4_20260804_130934.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,30,86,0.349
ext_gemma4-31b_cot_structured_ctexts_s42_run1_20260804_105144.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,30,86,0.349
ext_gemma4-31b_naive_ctexts_s42_run3_20260804_095417.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,30,86,0.349
ext_gemma4-31b_few_shot_static_ctexts_s42_run5_20260804_100657.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,30,86,0.349
ext_gemma4-31b_react_abox_ctexts_s42_run2_20260804_130438.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,30,86,0.349
ext_gemma4-31b_graph_informed_ctexts_s42_run3_20260804_101129.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,30,86,0.349
ext_nemotron-3-nano-30b_self_consistency_ctexts_s42_run5_20260803_231848.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,27,86,0.314
ext_gemma4-31b_graph_informed_ctexts_s42_run1_20260804_100835.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,33,86,0.384
ext_gemma4-31b_few_shot_static_ctexts_s42_run2_20260804_100251.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,30,86,0.349
ext_gemma4-31b_few_shot_static_ctexts_s42_run3_20260804_100419.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,52,86,0.605
ext_gemma4-31b_graph_informed_ctexts_s42_run5_20260804_103430.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,33,86,0.384
ext_gemma4-31b_react_abox_ctexts_s42_run3_20260804_130731.csv,62,86,1.0,0,0.838,1.0,0.721,62,0,24,30,86,0.349
ext_nemotron-3-nano-30b_naive_ctexts_s42_run5_20260803_222520.csv,61,86,1.0,0,0.83,1.0,0.709,61,0,25,27,86,0.314
ext_nemotron-3-nano-30b_few_shot_static_ctexts_s42_run3_20260803_223055.csv,102,86,0.843,16,0.83,0.765,0.907,78,24,8,23,86,0.267
ext_nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run1_20260803_233822.csv,61,86,1.0,0,0.83,1.0,0.709,61,0,25,31,86,0.36
ext_nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run4_20260803_234737.csv,62,86,1.0,0,0.824,0.984,0.709,61,1,25,26,86,0.302
ext_nemotron-3-nano-30b_naive_ctexts_s42_run1_20260803_221939.csv,60,86,1.0,0,0.822,1.0,0.698,60,0,26,26,86,0.302
ext_nemotron-3-nano-30b_naive_ctexts_s42_run2_20260803_222117.csv,61,86,1.0,0,0.816,0.984,0.698,60,1,26,8,86,0.093
ext_nemotron-3-nano-30b_cot_basic_ctexts_s42_run2_20260803_224328.csv,59,86,1.0,0,0.814,1.0,0.686,59,0,27,31,86,0.36
ext_nemotron-3-nano-30b_cot_structured_ctexts_s42_run2_20260803_224855.csv,62,86,1.0,0,0.811,0.968,0.698,60,2,26,28,86,0.326
ext_nemotron-3-nano-30b_pre_act_ctexts_s42_run4_20260803_230132.csv,65,86,1.0,0,0.808,0.938,0.709,61,4,25,31,86,0.36
ext_nemotron-3-nano-30b_cot_structured_ctexts_s42_run1_20260803_224748.csv,65,86,1.0,0,0.808,0.938,0.709,61,4,25,27,86,0.314
ext_nemotron-3-nano-30b_graph_informed_ctexts_s42_run5_20260803_224104.csv,60,86,1.0,0,0.808,0.983,0.686,59,1,27,27,86,0.314
ext_nemotron-3-nano-30b_self_consistency_ctexts_s42_run4_20260803_231535.csv,58,86,1.0,0,0.806,1.0,0.674,58,0,28,29,86,0.337
ext_nemotron-3-nano-30b_cot_structured_ctexts_s42_run4_20260803_225220.csv,68,86,1.0,0,0.805,0.912,0.721,62,6,24,31,86,0.36
ext_nemotron-3-nano-30b_reflexion_ctexts_s42_run2_20260803_232459.csv,59,86,1.0,0,0.8,0.983,0.674,58,1,28,29,86,0.337
ext_nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1_20260803_222642.csv,57,86,1.0,0,0.797,1.0,0.663,57,0,29,31,86,0.36
ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run2_20260804_125429.csv,57,86,1.0,0,0.783,0.982,0.651,56,1,30,29,86,0.337
ext_nemotron-3-nano-30b_reflexion_ctexts_s42_run3_20260803_232706.csv,65,86,1.0,0,0.781,0.908,0.686,59,6,27,29,86,0.337
ext_nemotron-3-nano-30b_self_consistency_ctexts_s42_run3_20260803_231254.csv,55,86,1.0,0,0.78,1.0,0.64,55,0,31,28,86,0.326
ext_nemotron-3-nano-30b_few_shot_static_ctexts_s42_run4_20260803_223240.csv,55,86,1.0,0,0.78,1.0,0.64,55,0,31,0,86,0.0
baseline_b0.csv,54,86,1.0,0,0.771,1.0,0.628,54,0,32,54,86,0.628
ext_nemotron-3-nano-30b_few_shot_static_ctexts_s42_run5_20260803_223403.csv,54,86,1.0,0,0.771,1.0,0.628,54,0,32,9,86,0.105
ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run3_20260804_125555.csv,57,86,1.0,0,0.769,0.965,0.64,55,2,31,29,86,0.337
ext_nemotron-3-nano-30b_naive_ctexts_s42_run3_20260803_222228.csv,55,86,1.0,0,0.766,0.982,0.628,54,1,32,30,86,0.349
ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run4_20260804_125846.csv,55,86,1.0,0,0.766,0.982,0.628,54,1,32,13,86,0.151
ext_nemotron-3-nano-30b_graph_informed_ctexts_s42_run4_20260803_223939.csv,53,86,1.0,0,0.763,1.0,0.616,53,0,33,27,86,0.314
ext_nemotron-3-nano-30b_few_shot_static_ctexts_s42_run2_20260803_222825.csv,68,86,1.0,0,0.753,0.853,0.674,58,10,28,23,86,0.267
ext_nemotron-3-nano-30b_pre_act_ctexts_s42_run3_20260803_225953.csv,137,86,0.628,51,0.753,0.613,0.977,84,53,2,27,86,0.314
ext_nemotron-3-nano-30b_reflexion_ctexts_s42_run4_20260803_233020.csv,131,86,0.656,45,0.747,0.618,0.942,81,50,5,8,86,0.093
ext_nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run5_20260804_001806.csv,70,86,1.0,0,0.744,0.829,0.674,58,12,28,31,86,0.36
ext_nemotron-3-nano-30b_graph_informed_ctexts_s42_run1_20260803_223525.csv,57,86,1.0,0,0.741,0.93,0.616,53,4,33,30,86,0.349
ext_nemotron-3-nano-30b_pre_act_ctexts_s42_run5_20260803_230250.csv,52,86,1.0,0,0.739,0.981,0.593,51,1,35,19,86,0.221
ext_gemma4-31b_react_abox_ctexts_s42_run1_20260804_130220.csv,48,86,1.0,0,0.716,1.0,0.558,48,0,38,30,86,0.349
ext_nemotron-3-nano-30b_cot_basic_ctexts_s42_run3_20260803_224410.csv,51,86,1.0,0,0.715,0.961,0.57,49,2,37,29,86,0.337
ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run1_20260804_125255.csv,47,86,1.0,0,0.692,0.979,0.535,46,1,40,13,86,0.151
ext_nemotron-3-nano-30b_pre_act_ctexts_s42_run1_20260803_225616.csv,154,86,0.558,68,0.692,0.539,0.965,83,71,3,31,86,0.36
ext_nemotron-3-nano-30b_graph_informed_ctexts_s42_run3_20260803_223832.csv,47,86,1.0,0,0.662,0.936,0.512,44,3,42,29,86,0.337
ext_nemotron-3-nano-30b_cot_structured_ctexts_s42_run3_20260803_225116.csv,162,86,0.531,76,0.661,0.506,0.953,82,80,4,27,86,0.314
ext_nemotron-3-nano-30b_cot_structured_ctexts_s42_run5_20260803_225300.csv,35,86,1.0,0,0.562,0.971,0.395,34,1,52,22,86,0.256
ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run5_20260804_130014.csv,33,86,1.0,0,0.538,0.97,0.372,32,1,54,10,86,0.116
