corpus,field,runs_present,runs_total
external_test_sulfuric_acid,bed_1_catalyst,3,5
external_test_sulfuric_acid,burner_management_system,1,5
external_test_sulfuric_acid,burner_management_system_bms_logic,1,5
external_test_sulfuric_acid,burner_management_system_logic,1,5
external_test_sulfuric_acid,calibration_frequency,1,5
external_test_sulfuric_acid,calibration_requirement,5,5
external_test_sulfuric_acid,calibration_standard,1,5
external_test_sulfuric_acid,compliance,2,5
external_test_sulfuric_acid,condition,5,5
external_test_sulfuric_acid,consequence,1,5
external_test_sulfuric_acid,control_requirement,1,5
external_test_sulfuric_acid,control_room_operator,2,5
external_test_sulfuric_acid,control_room_operator_cro,1,5
external_test_sulfuric_acid,detection_setpoint,5,5
external_test_sulfuric_acid,differential_pressure_across_bed_1_dp_201,2,5
external_test_sulfuric_acid,differential_pressure_across_bed_1_p_201,1,5
external_test_sulfuric_acid,equipment,5,5
external_test_sulfuric_acid,fail_safe_valves,1,5
external_test_sulfuric_acid,field_operator,5,5
external_test_sulfuric_acid,field_operator_requirement,2,5
external_test_sulfuric_acid,frequency,1,5
external_test_sulfuric_acid,high_alarm_setpoint,5,5
external_test_sulfuric_acid,high_high_trip_interlock_action,5,5
external_test_sulfuric_acid,instruction,1,5
external_test_sulfuric_acid,instrument,5,5
external_test_sulfuric_acid,instrument_technician,1,5
external_test_sulfuric_acid,interlock_bypass,2,5
external_test_sulfuric_acid,interlock_bypass_requirement,1,5
external_test_sulfuric_acid,interval,1,5
external_test_sulfuric_acid,limit,1,5
external_test_sulfuric_acid,location,1,5
external_test_sulfuric_acid,loss_of_instrument_air,1,5
external_test_sulfuric_acid,loss_of_instrument_air_action,1,5
external_test_sulfuric_acid,low_alarm_setpoint,5,5
external_test_sulfuric_acid,maintenance_requirement,5,5
external_test_sulfuric_acid,manual_emergency_shutdown_procedure,4,5
external_test_sulfuric_acid,max_response_time,5,5
external_test_sulfuric_acid,measurement,1,5
external_test_sulfuric_acid,method,1,5
external_test_sulfuric_acid,normal_operating_range,5,5
external_test_sulfuric_acid,notification_recipient,1,5
external_test_sulfuric_acid,notification_threshold,2,5
external_test_sulfuric_acid,online_so2_analyzer_ai_201,2,5
external_test_sulfuric_acid,operator_response_required,5,5
external_test_sulfuric_acid,outgoing_cro,3,5
external_test_sulfuric_acid,outgoing_cro_requirement,2,5
external_test_sulfuric_acid,plant,1,5
external_test_sulfuric_acid,pre_startup_checks,1,5
external_test_sulfuric_acid,process_log,3,5
external_test_sulfuric_acid,process_log_update_frequency,1,5
external_test_sulfuric_acid,process_log_update_interval,1,5
external_test_sulfuric_acid,recorded_parameters,1,5
external_test_sulfuric_acid,recording_frequency,2,5
external_test_sulfuric_acid,replacement_condition_1,1,5
external_test_sulfuric_acid,replacement_condition_2,1,5
external_test_sulfuric_acid,replacement_criteria,1,5
external_test_sulfuric_acid,required_data,1,5
external_test_sulfuric_acid,requirement,5,5
external_test_sulfuric_acid,responsibilities,4,5
external_test_sulfuric_acid,responsibility,3,5
external_test_sulfuric_acid,responsible_party,5,5
external_test_sulfuric_acid,role,1,5
external_test_sulfuric_acid,safety_interlock_test_interval,1,5
external_test_sulfuric_acid,safety_interlocks,2,5
external_test_sulfuric_acid,shift_supervisor,3,5
external_test_sulfuric_acid,startup_sequence,1,5
external_test_sulfuric_acid,status,1,5
external_test_sulfuric_acid,step,1,5
external_test_sulfuric_acid,subject,3,5
external_test_sulfuric_acid,sulfur_melter_s_101_temperature,1,5
external_test_sulfuric_acid,sulfuric_acid_spill_control,4,5
external_test_sulfuric_acid,system,2,5
external_test_sulfuric_acid,tag_parameter,5,5
external_test_sulfuric_acid,target,1,5
external_test_sulfuric_acid,temperature,1,5
external_test_sulfuric_acid,threshold,1,5
external_test_sulfuric_acid,trigger,3,5
external_test_sulfuric_acid,trip_cause,5,5
external_test_sulfuric_acid,trip_scenario,1,5
