ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,run_frac
RULE-THR-CHM01-CHEM-HUM-CRIT,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,HUM,Humidity ≤ 15 %RH at CHM01_CHEMICALSTORAGE,Activate desiccant system; inspect storage containers,CRITICAL,60.0,50.0,20.0,15.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,1.0
RULE-CHM01-03,AccessRule,CHM01_CHEMICALSTORAGE,,,Only personnel with hazmat training (technician/supervisor/manager role) are authorised to enter Chemical Storage. UNAUTHORIZED_ACCESS must be escalated within 2 minutes,,MANDATORY,,,,,min,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-RND01-01,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,TMP,TMP alarm thresholds,for experimental validity,WARNING,26.0,,18.0,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,0.8
RULE-THR-RND01-RDL-TMP-CRIT,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,TMP,Temperature ≤ 15°C at RND01_RDLAB,Inspect and notify maintenance,CRITICAL,30.0,26.0,18.0,15.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,1.0
RULE-RND01-03,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,HUM alarm thresholds,suspend sensitive experiments and inspect HVAC system,CRITICAL,75.0,,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,0.85
RULE-THR-RND01-HUM-CRIT,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,Humidity ≤ 25 %RH at RND01_RDLAB,Suspend experiments; inspect HVAC system,CRITICAL,75.0,65.0,35.0,25.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,1.0
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TMP,TMP,TMP alarm thresholds,check ventilation system,WARNING,26.0,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-THR-CAF01-CAFE-TMP-CRIT,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TMP,TMP,Temperature ≤ 14°C at CAF01_CAFETERIA,Inspect and notify maintenance,CRITICAL,30.0,26.0,17.0,14.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,1.0
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUM,HUM,HUM alarm thresholds,inspect drainage and activate ventilation,WARNING,70.0,,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-THR-CAF01-CAFE-HUM-CRIT,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUM,HUM,Humidity ≤ 25 %RH at CAF01_CAFETERIA,Inspect and notify maintenance,CRITICAL,80.0,70.0,35.0,25.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,0.8
RULE-THR-ST01-FILL-FLW-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,Flow ≤ 105 L/min at ST01_FILLING,Inspect and notify maintenance,CRITICAL,135.0,128.0,112.0,105.0,L/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,0.8
RULE-THR-ST02-PRS-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_PRS,PRS,Pressure ≤ 4.2 bar at ST02_SEALING,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,0.8
RULE-THR-ST02-SEAL-CUR-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,CUR,Current ≤ 9.5 A at ST02_SEALING,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15.0,13.5,11.0,9.5,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,0.8
RULE-THR-ST03-LABEL-SPD-CRIT,ThresholdRule,ST03_LABELLING,ST03_LABELLING_SPD,SPD,Speed ≤ 0.65 m/s at ST03_LABELLING,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,0.8
RULE-THR-ST04-PACK-CUR-CRIT,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_CUR,CUR,Current ≤ 6.5 A at ST04_PACKAGING,Inspect and notify maintenance,CRITICAL,11.0,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,0.8
RULE-THR-ST04-PACK-SPD-CRIT,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,Speed ≤ 0.85 m/s at ST04_PACKAGING,Inspect and notify maintenance,CRITICAL,1.6,1.4,1.0,0.85,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,0.8
RULE-THR-SRV01-SERV-HUM-CRIT,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_HUM,HUM,Humidity ≤ 25 %RH at SRV01_SERVERROOM,Inspect and notify maintenance,CRITICAL,70.0,60.0,30.0,25.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,0.8
MAINT-01,MaintenanceRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,,,,,mm/s,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,1.0
MAINT-04,MaintenanceRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,,,bar,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,1.0
MAINT-05,MaintenanceRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,,,,,°C,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,1.0
MAINT-06,MaintenanceRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,TMP DRIFT >2°C over 2 h,Inspect compressor; notify,QCRITICAL,,,,,°C,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,1.0
MAINT-07,MaintenanceRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,TMP >20°C for >10 min,Emergency ventilation; notify CRITICAL,CRITICAL,,,,,°C,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,1.0
MAINT-08,MaintenanceRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,HUM DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC,HIGH,,,,,%RH,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-CORR-01,MaintenanceRule,,,,ST02_SEALING-CUR › → ST04_PACKAGING-SPD ↓ Sealing motor overload,via electrical coupling 1.Verify ST02-CUR trend. 2.Inspect sealing jaw. 3.Reset ST04,WARNING,,,,,,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-CORR-02,MaintenanceRule,,,,SRV01-TMP › → SCADA latency › Server Room overheating,→ apparent STUCK readings 1.Reduce SRV01-TMP <25°C. 2.Verify PLC heartbeats. 3.Clear S,WARNING,,,,,,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-CORR-03,MaintenanceRule,,,,WRH01-TMP › → QC HOLD Cold warehouse drift,Product quality risk 1.Restore WRH01-TMP <8°C. 2.Notify QC. 3.Place batch on HOLD,WARNING,,,,,°C,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-OCC-PROD,AccessRule,Production Area,,,zone occupancy exceeds 10 persons,WARNING,WARNING,,10.0,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-OCC-SERV,AccessRule,Server Room,,,zone occupancy exceeds 2 persons,CRITICAL; access badge required,CRITICAL,2.0,,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-OCC-WARE,AccessRule,General Warehouse,,,zone occupancy exceeds 3 persons,WARNING,WARNING,,3.0,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-OCC-CHEM,AccessRule,Chemical Storage,,,zone occupancy exceeds 4 persons,CRITICAL; hazmatraining required - see RULE-CHM01-03,CRITICAL,4.0,,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-OCC-RND,AccessRule,R&D Lab,,,zone occupancy exceeds 5 persons,WARNING; precision experiments may be disturbed,WARNING,,5.0,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-OCC-CAFE,AccessRule,Cafeteria,,,zone occupancy exceeds 20 persons,,,20.0,,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,0.9
RULE-ACK-MANAGER-WARN,AccessRule,,,,manager must acknowledge WARNING alarm,acknowledge within 15 minutes,MANDATORY,,15.0,,,min,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-ACK-TECHNICIAN-WARN,AccessRule,,,,technician must acknowledge WARNING alarm,acknowledge within 10 minutes,MANDATORY,,10.0,,,min,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-ACK-SUPERVISOR-WARN,AccessRule,,,,supervisor must acknowledge WARNING alarm,acknowledge within 5 minutes,MANDATORY,,5.0,,,min,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP MUST remain between 175°C and 195°C,,,195.0,,175.0,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,0.95
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN MUST be between 1.8 and 2.6 N,,,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,0.95
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP MUST NOT exceed 25°C,,,25.0,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,0.95
RULE-ACCESS-01,AccessRule,,,,Any entry by an unauthorised role,"logged as OccupancyEvent::UnauthorisedAccess with person_id, zone, and timestamp",,,,,,,SOP_004_PersonnelZoneAccess.txt,,,,,,,0.95
RULE-ACCESS-02,AccessRule,,,,Detection of unauthorised access,Security personnel MUST be notified within 2 minutes,,,,,,,SOP_004_PersonnelZoneAccess.txt,,,,,,,0.95
RULE-ACCESS-03,AccessRule,,,,Unauthorised access detected,The KG node MUST include authorized=NO and a reference to this rule,,,,,,,SOP_004_PersonnelZoneAccess.txt,,,,,,,0.9
RULE-ACCESS-04,AccessRule,,,,Any UNAUTHORIZED_ACCESS in Chemical Storage,Immediate escalation to the Safety Officer regardless of role,,,,,,,SOP_004_PersonnelZoneAccess.txt,,,,,,,0.95
RULE-RND01-02,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,HUM alarm thresholds,activate dehumidifier,WARNING,65.0,,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,0.8
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW MUST be maintained between 112 and 128 L/min,N/A (maintenance of range),,128.0,,112.0,,L/min,SOP_001_OperatingProcedures.txt,,,,,,,0.7
