file_name,total_extracted,strict_f1,strict_pr,strict_re,strict_tp,strict_fp,strict_fn,content_f1,content_pr,content_re,content_tp,content_fp,content_fn
ext_ministral-3-8b_pre_act_s42_run1.csv,78,0.378,0.397,0.36,31,47,55,0.402,0.423,0.384,33,45,53
ext_ministral-3-14b_naive_s42_run1.csv,82,0.428,0.525,0.36,31,28,55,0.393,0.402,0.384,33,49,53
ext_gemma3-12b_cot_basic_s42_run1.csv,63,0.419,0.5,0.36,31,31,55,0.376,0.444,0.326,28,35,58
ext_ministral-3-14b_pre_act_s42_run1.csv,81,0.373,0.388,0.36,31,49,55,0.371,0.383,0.36,31,50,55
ext_ministral-3-8b_cot_structured_s42_run1.csv,93,0.348,0.337,0.36,31,61,55,0.324,0.312,0.337,29,64,57
ext_ministral-3-8b_reflexion_guided_s42_run1.csv,73,0.425,0.517,0.36,31,29,55,0.151,0.164,0.14,12,61,74
ext_gpt-oss-20b_cot_structured_s42_run1.csv,88,0.356,0.352,0.36,31,57,55,0.149,0.148,0.151,13,75,73
ext_ministral-3-8b_naive_s42_run1.csv,172,0.241,0.181,0.36,31,140,55,0.132,0.099,0.198,17,155,69
ext_ministral-3-8b_self_consistency_s42_run1.csv,157,0.255,0.197,0.36,31,126,55,0.066,0.051,0.093,8,149,78
ext_ministral-3-8b_cot_basic_s42_run1.csv,171,0.242,0.182,0.36,31,139,55,0.054,0.041,0.081,7,164,79
