run_id,base_exp_id,model,paradigm,run_n,level,reasoning_native,total_rules,sop_files,errors,duration_sec,avg_rule_sec,avg_llm_turns,temperature,prompt_tokens,completion_tokens,total_tokens,tokens_per_rule
llama-3_2-3b-instruct_cot_structured_run1,llama-3_2-3b-instruct_cot_structured,llama-3.2-3b-instruct,cot_structured,1,1,False,30,4,0,40.39,1.3462,1.0,0,3213,3032,6245,208.2
llama-3_2-3b-instruct_pre_act_run1,llama-3_2-3b-instruct_pre_act,llama-3.2-3b-instruct,pre_act,1,1,False,24,4,0,48.42,2.0174,1.0,0,3049,3545,6594,274.8
llama-3_2-3b-instruct_self_consistency_run1,llama-3_2-3b-instruct_self_consistency,llama-3.2-3b-instruct,self_consistency,1,2,False,25,4,0,111.42,4.4569,3.0,0.3,8703,8708,17411,696.4
llama-3_2-3b-instruct_reflexion_run1,llama-3_2-3b-instruct_reflexion,llama-3.2-3b-instruct,reflexion,1,2,False,25,4,0,108.42,4.337,2.0,0,13792,7369,21161,846.4
llama-3_2-3b-instruct_reflexion_guided_run1,llama-3_2-3b-instruct_reflexion_guided,llama-3.2-3b-instruct,reflexion_guided,1,2,False,35,4,0,155.67,4.4478,3.0,0,21802,11074,32876,939.3
llama-3_2-3b-instruct_react_abox_run1,llama-3_2-3b-instruct_react_abox,llama-3.2-3b-instruct,react_abox,1,3,False,34,4,0,56.79,1.6704,1.0,0,3573,3793,7366,216.6
llama-3_2-3b-instruct_naive_run1,llama-3_2-3b-instruct_naive,llama-3.2-3b-instruct,naive,1,0,False,32,4,0,45.32,1.4164,1.0,0,4580,3452,8032,251.0
llama-3_2-3b-instruct_few_shot_static_run1,llama-3_2-3b-instruct_few_shot_static,llama-3.2-3b-instruct,few_shot_static,1,0,False,36,4,0,38.43,1.0676,1.0,0,5592,2822,8414,233.7
llama-3_2-3b-instruct_graph_informed_run1,llama-3_2-3b-instruct_graph_informed,llama-3.2-3b-instruct,graph_informed,1,0,False,33,4,0,46.01,1.3941,1.0,0,5056,3494,8550,259.1
llama-3_2-3b-instruct_cot_basic_run1,llama-3_2-3b-instruct_cot_basic,llama-3.2-3b-instruct,cot_basic,1,1,False,31,4,0,43.11,1.3908,1.0,0,4632,3268,7900,254.8
llama-3_2-3b-instruct_cot_structured_run1,llama-3_2-3b-instruct_cot_structured,llama-3.2-3b-instruct,cot_structured,1,1,False,30,4,0,43.25,1.4417,1.0,0,4892,3273,8165,272.2
llama-3_2-3b-instruct_pre_act_run1,llama-3_2-3b-instruct_pre_act,llama-3.2-3b-instruct,pre_act,1,1,False,26,4,0,49.24,1.894,1.0,0,4728,3779,8507,327.2
llama-3_2-3b-instruct_self_consistency_run1,llama-3_2-3b-instruct_self_consistency,llama-3.2-3b-instruct,self_consistency,1,2,False,24,4,0,117.97,4.9156,3.0,0.3,13740,9966,23706,987.8
llama-3_2-3b-instruct_reflexion_run1,llama-3_2-3b-instruct_reflexion,llama-3.2-3b-instruct,reflexion,1,2,False,24,4,0,102.64,4.2767,2.0,0,17579,7590,25169,1048.7
llama-3_2-3b-instruct_reflexion_guided_run1,llama-3_2-3b-instruct_reflexion_guided,llama-3.2-3b-instruct,reflexion_guided,1,2,False,33,4,0,151.34,4.5861,3.0,0,27483,11516,38999,1181.8
llama-3_2-3b-instruct_react_abox_run1,llama-3_2-3b-instruct_react_abox,llama-3.2-3b-instruct,react_abox,1,3,False,31,4,0,44.24,1.4271,1.0,0,5252,3178,8430,271.9
mistralai-mistral-7b-instruct-v0_3_naive_run1,mistralai-mistral-7b-instruct-v0_3_naive,mistralai/mistral-7b-instruct-v0.3,naive,1,0,False,27,4,0,83.71,3.1003,1.0,0,5810,4096,9906,366.9
mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,mistralai-mistral-7b-instruct-v0_3_few_shot_static,mistralai/mistral-7b-instruct-v0.3,few_shot_static,1,0,False,26,4,0,98.72,3.797,1.0,0,7094,3905,10999,423.0
mistralai-mistral-7b-instruct-v0_3_graph_informed_run1,mistralai-mistral-7b-instruct-v0_3_graph_informed,mistralai/mistral-7b-instruct-v0.3,graph_informed,1,0,False,28,4,0,103.15,3.6838,1.0,0,6402,3970,10372,370.4
mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,mistralai-mistral-7b-instruct-v0_3_cot_basic,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,1,False,25,4,0,102.53,4.101,1.0,0,5858,3888,9746,389.8
mistralai-mistral-7b-instruct-v0_3_cot_structured_run1,mistralai-mistral-7b-instruct-v0_3_cot_structured,mistralai/mistral-7b-instruct-v0.3,cot_structured,1,1,False,27,4,0,103.77,3.8434,1.0,0,6162,4023,10185,377.2
mistralai-mistral-7b-instruct-v0_3_pre_act_run1,mistralai-mistral-7b-instruct-v0_3_pre_act,mistralai/mistral-7b-instruct-v0.3,pre_act,1,1,False,21,4,0,105.77,5.0365,1.0,0,5958,4096,10054,478.8
mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,mistralai-mistral-7b-instruct-v0_3_self_consistency,mistralai/mistral-7b-instruct-v0.3,self_consistency,1,2,False,27,4,0,272.77,10.1024,3.0,0.3,17430,12205,29635,1097.6
mistralai-mistral-7b-instruct-v0_3_reflexion_run1,mistralai-mistral-7b-instruct-v0_3_reflexion,mistralai/mistral-7b-instruct-v0.3,reflexion,1,2,False,24,4,0,214.9,8.9544,2.0,0,20863,8066,28929,1205.4
mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,mistralai-mistral-7b-instruct-v0_3_reflexion_guided,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,1,2,False,25,4,0,319.78,12.7912,3.0,0,32899,12135,45034,1801.4
mistralai-mistral-7b-instruct-v0_3_react_abox_run1,mistralai-mistral-7b-instruct-v0_3_react_abox,mistralai/mistral-7b-instruct-v0.3,react_abox,1,3,False,18,4,0,201.17,11.1763,2.0,0,18094,7305,25399,1411.1
