ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,nominalMax,nominalMin,notes,thresholdType,timeWindow
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,Temperature,MUST NOT exceed 25°C (operational limit),,,25.0,,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,Temperature,> 28°C (CRITICAL),automatic controlled shutdown of all PLC nodes,Critical,28.0,,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,Temperature,MUST remain 0.5–8°C (operational); >12°C (CRITICAL),notify QC and quarantine batch,Critical,12.0,8.0,0.5,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,Humidity,> 85%RH (WARNING),inspect door seals and activate dehumidifier,Warning,,85.0,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,Temperature,MUST remain 10–20°C (operational); >25°C (CRITICAL),activate emergency ventilation and notify safety officer,Critical,25.0,20.0,10.0,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,Humidity,> 50%RH (CRITICAL); >45%RH (WARNING),activate desiccant system (>45%RH); quarantine reagents (>50%RH),Critical,50.0,45.0,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-CHM01-03,AccessControlRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_ACCESS,Authorization,UNAUTHORIZED_ACCESS detected (non-hazmat personnel),escalate to security within 2 min; lock storage,Critical,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-RND01-01,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,Temperature,MUST remain 18–26°C (experimental validity),,,26.0,,18.0,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-RND01-02,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,Humidity,> 65%RH (WARNING); >75%RH (CRITICAL),activate dehumidifier (>65%RH); suspend experiments (>75%RH),Critical,75.0,65.0,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TMP,Temperature,> 26°C (WARNING),check ventilation system (occupant comfort),Warning,,26.0,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUM,Humidity,> 70%RH (WARNING),inspect drainage and activate ventilation,Warning,,70.0,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,30.0,26.0,18.0,15.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3.0,bar,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,Flow,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,135.0,128.0,112.0,105.0,L/min,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-ST01-04,ToleranceRule,ST01_FILLING,ST01_FILLING_FLW,Flow,Nominal range violation,Log deviation; investigate process stability,WARNING,,,,,L/min,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,121.5,118.5,,,
SOP-002-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210.0,195.0,175.0,165.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_PRS,Pressure,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,Current,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,E-STOP; inspect load; verify ST04_PACKAGING_SPD (RULE-ST02-04),CRITICAL,15.0,13.5,11.0,9.5,A,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-ST02-04,DependencyRule,ST02_SEALING,ST02_SEALING_CUR,Current,ST02_SEALING_CUR > 15.0 A,Verify ST04_PACKAGING_SPD ≤ 1.6 m/s (RULE-ST04-03); log correlation,WARNING,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_SPD,Speed,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,3.0,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-ST03-03,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,Count,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,E-STOP labelling; inspect label path,CRITICAL,140.0,130.0,110.0,100.0,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_CUR,Current,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,11.0,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-ST04-03,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPD,Speed,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,1.6,1.4,1.0,0.85,m/s,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Activate backup cooling; prepare controlled PLC,CRITICAL,28.0,25.0,18.0,16.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_HUM,Humidity,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,70.0,60.0,30.0,25.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Activate backup refrigeration; notify,CRITICAL,12.0,8.0,0.5,-1.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,Freezing risk threshold,,
SOP-002-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,Humidity,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,90.0,85.0,60.0,55.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Activate emergency ventilation; notify safety officer,CRITICAL,25.0,20.0,10.0,5.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,Humidity,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Activate desiccant system; inspect storage containers,CRITICAL,60.0,50.0,20.0,15.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-RND01-01,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,30.0,26.0,18.0,15.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-RND01-02,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,Humidity,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Suspend experiments; inspect HVAC system,CRITICAL,75.0,65.0,35.0,25.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-CAF01-01,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,30.0,26.0,17.0,14.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-CAF01-02,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUM,Humidity,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,80.0,70.0,35.0,25.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SOP-002-ANOMALY-CORRELATED,AnomalyRule,ST02_SEALING,ST02_SEALING_CUR,Current,Onset of ST02_SEALING_CUR > 15.0 A within 90 min of ST04_PACKAGING_SPD anomaly,Log Correlated anomaly; investigate mechanical linkage,WARNING,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
MAINT-01,TrendRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,,0.05,,,mm/s,SOP_003_MaintenanceRules.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,60 min
MAINT-02,TrendRule,ST02_SEALING,ST02_SEALING_CUR,CUR,DRIFT >1.0 A over 30 min,Inspect sealing jaw,HIGH,,1.0,,,A,SOP_003_MaintenanceRules.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,30 min
MAINT-03,StateRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,STUCK >10 consecutive samples,Replace sensor; investigate labeling mechanism,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,count,
MAINT-04,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRESSURE <3.3 bar for >15 min,Inspect filter and pump; check for clogging,MEDIUM,,,,3.3,bar,SOP_003_MaintenanceRules.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,15 min
MAINT-05,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TEMPERATURE >25°C for >5 min,Activate secondary cooling; notify IT,CRITICAL,25.0,,,,C,SOP_003_MaintenanceRules.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,5 min
MAINT-07,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,TEMPERATURE >20°C for >10 min,Activate emergency ventilation; notify safety officer,CRITICAL,20.0,,,,C,SOP_003_MaintenanceRules.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,10 min
MAINT-08,TrendRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC system,HIGH,,10.0,,,%RH,SOP_003_MaintenanceRules.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,60 min
CHM01_OCCUPANCY_CRIT,ThresholdRule,CHM01_CHEMSTORAGE,CHM01_OCCUPANCY,occupancy,CRITICAL above 4,hazmatraining required; immediate escalation to Safety Officer (RULE-ACCESS-04),CRITICAL,4.0,3.0,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
PROD01_OCCUPANCY,ThresholdRule,PROD01_PRODAREA,PROD01_OCCUPANCY,occupancy,WARNING above 10; CRITICAL above 12,,,12.0,10.0,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SRV01_OCCUPANCY,ThresholdRule,SRV01_SERVERROOM,SRV01_OCCUPANCY,occupancy,WARNING above 1; CRITICAL above 2 (access badge required),lock door if CRITICAL,CRITICAL,2.0,1.0,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
WRH01_OCCUPANCY,ThresholdRule,WRH01_WAREHOUSE,WRH01_OCCUPANCY,occupancy,WARNING above 3,,,,3.0,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RDL01_OCCUPANCY,ThresholdRule,RDL01_RDLAB,RDL01_OCCUPANCY,occupancy,WARNING above 5; CRITICAL above 6 (precision experiments disturbed),pause experiments if CRITICAL,,6.0,5.0,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
MAIN_ENTRANCE_ACCESS,AccessRule,MAIN_ENTRANCE,MAIN_ENTRANCE_ACCESS,access,Unauthorized role detected,log as OccupancyEvent::UnauthorisedAccess (RULE-ACCESS-01),,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
CAF01_OCCUPANCY_INFO,InfoRule,CAF01_CAFETERIA,CAF01_OCCUPANCY,occupancy,Monitoring only (occupant comfort),,,,,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
OPERATOR_WARN_ACK,AcknowledgmentRule,,OPERATOR_WARNING,alert,WARNING alert,acknowledge within 15 minutes,WARNING,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
OPERATOR_CRIT_ACK,AcknowledgmentRule,,OPERATOR_CRITICAL,alert,CRITICAL alert,acknowledge within 3 minutes,CRITICAL,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
TECHNICIAN_WARN_ACK,AcknowledgmentRule,,TECHNICIAN_WARNING,alert,WARNING alert,acknowledge within 10 minutes,WARNING,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
TECHNICIAN_CRIT_ACK,AcknowledgmentRule,,TECHNICIAN_CRITICAL,alert,CRITICAL alert,acknowledge within 2 minutes,CRITICAL,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SUPERVISOR_WARN_ACK,AcknowledgmentRule,,SUPERVISOR_WARNING,alert,WARNING alert,acknowledge within 5 minutes,WARNING,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
SUPERVISOR_CRIT_ACK,AcknowledgmentRule,,SUPERVISOR_CRITICAL,alert,CRITICAL alert,acknowledge within 1 minute,CRITICAL,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
ROLE_ACCESS_DENY,AuthorizationRule,,ROLE_ACCESS_CHECK,access,Unauthorized role attempts access,deny entry; log as OccupancyEvent::UnauthorisedAccess (RULE-ACCESS-01),,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
