ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,condition own
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> 0.20,schedule maintenance within 24 h,Warning,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> 0.35,emergency stop; inspect bearings,Critical,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,SPD,Speed,< 1.00,verify RULE-ST02-04,Warning,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,> 25,prevent exceedance,Warning,,25,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,> 28,automatic controlled shutdown of all PLC nodes,Critical,28,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,"0.5 to 8 (Normal), > 12 (Crit)",notify QC and quarantine batch,Critical,12,8,0.5,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,> 85,inspect door seals and activate dehumidifier,Warning,,85,,,%RH,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,"10 to 20 (Normal), > 25 (Crit)",activate emergency ventilation and notify safety officer,Critical,25,20,10,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,"> 45 (Activate), > 50 (Limit)",activate desiccant system,Warning,50,45,,,%RH,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-CHM01-03,AccessRule,CHM01_CHEMICALSTORAGE,UNAUTHORIZED_ACCESS,Security,Unauthorized access,escalate within 2 minutes,Critical,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,between 18 and 26,maintain,Normal,,26,18,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,Humidity,,activate dehumidifier / suspend experiments and inspect HVAC,Critical,75,65,,,%RH,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,"> 65 (Warn), > 75 (Crit)"
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,> 26,check ventilation system,Warning,,26,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,> 70,inspect drainage and activate ventilation,Warning,,70,,,%RH,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R001,ThresholdRule,ST01_FILLING,TMP,Temperature,Value > critHi OR Value < critLo,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R002,ThresholdRule,ST01_FILLING,PRS,Pressure,Value > critHi OR Value < critLo,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R003,ThresholdRule,ST01_FILLING,FLW,Flow,Value > critHi OR Value < critLo,Inspect and notify maintenance,CRITICAL,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R004,ThresholdRule,ST02_SEALING,TMP,Temperature,Value > critHi OR Value < critLo,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R005,ThresholdRule,ST02_SEALING,PRS,Pressure,Value > critHi OR Value < critLo,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R006,ThresholdRule,ST02_SEALING,CUR,Current,Value > critHi OR Value < critLo,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R007,ThresholdRule,ST03_LABELLING,SPD,Speed,Value > critHi OR Value < critLo,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R008,ThresholdRule,ST03_LABELLING,TEN,Tension,Value > critHi OR Value < critLo,Inspect and notify maintenance,CRITICAL,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R009,ThresholdRule,ST03_LABELLING,CNT,Count,Value > critHi OR Value < critLo,E-STOP labelling; inspect label path,CRITICAL,140,130,110,100,pcs/m in,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R010,ThresholdRule,ST04_PACKAGING,VIB,Vibration,Value > critHi OR Value < critLo,E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R011,ThresholdRule,ST04_PACKAGING,CUR,Current,Value > critHi OR Value < critLo,Inspect and notify maintenance,CRITICAL,11,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R012,ThresholdRule,ST04_PACKAGING,SPD,Speed,Value > critHi OR Value < critLo,Inspect and notify maintenance,CRITICAL,1.6,1.4,1,0.85,m/s,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R013,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,Value > critHi OR Value < critLo,Activate backup cooling; prepare controlled PLC shutdown,CRITICAL,28,25,18,16,°C,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R014,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,Value > critHi OR Value < critLo,Inspect and notify maintenance,CRITICAL,70.0,60.0,30.0,25.0,%RH,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R015,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,Value > critHi OR Value < critLo,Activate backup refrigeration; notify,CRITICAL,12,8,0.5,-1,°C,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R016,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,Value > critHi OR Value < critLo,Inspect and notify maintenance,CRITICAL,90,85,60,55,%RH,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R017,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,Value > critHi OR Value < critLo,Activate emergency ventilation; notify safety officer immediately,CRITICAL,25,20,10,5,°C,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R018,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,Value > critHi OR Value < critLo,Activate desiccant system; inspect storage containers for leaks,CRITICAL,60,50,20,15,%RH,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R019,ThresholdRule,RND01_RDLAB,TMP,Temperature,Value > critHi OR Value < critLo,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R020,ThresholdRule,RND01_RDLAB,HUM,Humidity,Value > critHi OR Value < critLo,Suspend experiments; inspect HVAC system,CRITICAL,75,65,35,25,%RH,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R021,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,Value > critHi OR Value < critLo,Inspect and notify maintenance,CRITICAL,30,26,17,14,°C,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R022,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,Value > critHi OR Value < critLo,Inspect and notify maintenance,CRITICAL,80,70,35,25,%RH,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R023,AnomalyDetection,,,,Single reading > CRIT,Map to AnomalyEvent::Spike,SPIKE,,,,,,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R024,AnomalyDetection,,,,Slope >0.1 s /min for 5+ readings,Map to AnomalyEvent::Drift,DRIFT,,,,,,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R025,AnomalyDetection,,,,std(last 10) < 0.001 * nominal,Map to AnomalyEvent::StuckSensor,STUCK,,,,,,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R026,AnomalyDetection,,,,> WARN for 20+ readings,Map to AnomalyEvent::OutOfRange,OUT_OF_RANGE,,,,,,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
R027,AnomalyDetection,,,,Onset within 90 min of cause,Map to AnomalyEvent::Correlated,CORRELATED,,,,,,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
MAINT-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,,0.05,,,mm/s,SOP_003_MaintenanceRules.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
MAINT-02,ThresholdRule,ST02_SEALING,CUR,Current,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,,1.0,,,A,SOP_003_MaintenanceRules.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
MAINT-03,LogicRule,ST03_LABELLING,TEN,Tension,TEN STUCK >10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
MAINT-04,ThresholdRule,ST01_FILLING,PRS,Pressure,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,3.3,,bar,SOP_003_MaintenanceRules.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
MAINT-05,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,25,,,,°C,SOP_003_MaintenanceRules.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
MAINT-06,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,TMP DRIFT >2°C over 2 h,Inspect compressor; notify QC,CRITICAL,,2,,,°C,SOP_003_MaintenanceRules.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
MAINT-07,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,TMP >20°C for >10 min,Emergency ventilation; notify safety officer,CRITICAL,20,,,,°C,SOP_003_MaintenanceRules.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
MAINT-08,ThresholdRule,RND01_RDLAB,HUM,Humidity,HUM DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC drain,HIGH,,10,,,%RH,SOP_003_MaintenanceRules.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
OCC-PROD-01,ThresholdRule,Production Area,Occupancy,Count,Occupancy > 10,WARNING,WARNING,12,10,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
OCC-PROD-02,ThresholdRule,Production Area,Occupancy,Count,Occupancy > 12,CRITICAL,CRITICAL,12,10,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
OCC-SRV-01,ThresholdRule,Server Room,Occupancy,Count,Occupancy > 2,CRITICAL,CRITICAL,2,,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
OCC-GWH-01,ThresholdRule,General Warehouse,Occupancy,Count,Occupancy > 3,WARNING,WARNING,,3,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
OCC-CHM-01,ThresholdRule,Chemical Storage,Occupancy,Count,Occupancy > 4,CRITICAL,CRITICAL,4,,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
OCC-RDL-01,ThresholdRule,R&D; Lab,Occupancy,Count,Occupancy > 5,WARNING,WARNING,,5,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-ACCESS-01,LogicRule,All Zones,AccessControl,RoleCheck,Role == UNAUTHORISED,Log OccupancyEvent::UnauthorisedAccess,INFO,,,,,,SOP_004_PersonnelZoneAccess.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-ACCESS-02,TimingRule,All Zones,DetectionSystem,Alert,Unauthorised Access Detected,Notify Security Personnel,HIGH,,,,,2 minutes,SOP_004_PersonnelZoneAccess.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-ACCESS-04,LogicRule,Chemical Storage,AccessControl,RoleCheck,UNAUTHORIZED_ACCESS,Immediate escalation to Safety Officer,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
