ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,dependentCondition,dependentSensor,dependentStation
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,exceeds,N/A,,,25,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,exceeds,automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,remain between,N/A,,8,,0.5,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-WRH01-01_CRIT,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,above,notify QC and quarantine batch,CRITICAL,12,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,above,inspect door seals and activate dehumidifier,WARNING,,85,,,RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,remain between,N/A,,20,,10,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-CHM01-01_CRIT,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,above,activate emergency ventilation and notify safety officer immediately,CRITICAL,25,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,exceeds,activate desiccant system,WARNING,,50,,,RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-CHM01-02_CRIT,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,above,N/A,,,45,,,RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-CHM01-03,AccessControlRule,CHM01_CHEMICALSTORAGE,UNAUTHORIZED_ACCESS,Access,detected,escalate within 2 minutes,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,remain between,N/A,,26,,18,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,Humidity,drift above,activate dehumidifier,WARNING,,65,,,RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-RND01-02_CRIT,ThresholdRule,RND01_RDLAB,HUM,Humidity,above,suspend sensitive experiments and inspect HVAC system,CRITICAL,75,,,,RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,above,check ventilation system,WARNING,26,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,above,inspect drainage and activate ventilation,WARNING,70,,,,RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST01_FILLING_TMP_THRESHOLD,ThresholdRule,ST01_FILLING,TMP,Temperature,Temperature out of bounds,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST01_FILLING_PRS_THRESHOLD,ThresholdRule,ST01_FILLING,PRS,Pressure,Pressure out of bounds,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST01_FILLING_FLW_THRESHOLD,ThresholdRule,ST01_FILLING,FLW,Flow,Flow rate out of bounds,Inspect and notify maintenance,CRITICAL,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST02_SEALING_TMP_THRESHOLD,ThresholdRule,ST02_SEALING,TMP,Temperature,Temperature out of bounds,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST02_SEALING_PRS_THRESHOLD,ThresholdRule,ST02_SEALING,PRS,Pressure,Pressure out of bounds,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST02_SEALING_CUR_THRESHOLD,ThresholdRule,ST02_SEALING,CUR,Current,Current out of bounds,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST03_LABELLING_SPD_THRESHOLD,ThresholdRule,ST03_LABELLING,SPD,Speed,Speed out of bounds,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST03_LABELLING_TEN_THRESHOLD,ThresholdRule,ST03_LABELLING,TEN,Tension,Tension out of bounds,Inspect and notify maintenance,CRITICAL,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST03_LABELLING_CNT_THRESHOLD,ThresholdRule,ST03_LABELLING,CNT,Count,Count rate out of bounds,E-STOP labelling; inspect label path,CRITICAL,140,130,110,100,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST04_PACKAGING_VIB_THRESHOLD,ThresholdRule,ST04_PACKAGING,VIB,Vibration,Vibration out of bounds,E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST04_PACKAGING_CUR_THRESHOLD,ThresholdRule,ST04_PACKAGING,CUR,Current,Current out of bounds,Inspect and notify maintenance,CRITICAL,11,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST04_PACKAGING_SPD_THRESHOLD,ThresholdRule,ST04_PACKAGING,SPD,Speed,Speed out of bounds,Inspect and notify maintenance,CRITICAL,1.6,1.4,1,0.85,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
SRV01_SERVERROOM_TMP_THRESHOLD,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,Temperature out of bounds,Activate backup cooling; prepare controlled PLC,CRITICAL,28,25,18,16,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
SRV01_SERVERROOM_HUM_THRESHOLD,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,Humidity out of bounds,Inspect and notify maintenance,CRITICAL,70,60,30,25,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
WRH01_WAREHOUSE_TMP_THRESHOLD,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,Temperature out of bounds,Activate backup refrigeration; notify,CRITICAL,12,8,0.5,-1,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
WRH01_WAREHOUSE_HUM_THRESHOLD,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,Humidity out of bounds,Inspect and notify maintenance,CRITICAL,90,85,60,55,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
CHM01_CHEMICALSTORAGE_TMP_THRESHOLD,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,Temperature out of bounds,Activate emergency ventilation; notify safety officer,CRITICAL,25,20,10,5,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
CHM01_CHEMICALSTORAGE_HUM_THRESHOLD,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,Humidity out of bounds,Activate desiccant system; inspect storage containers,CRITICAL,60,50,20,15,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RND01_RDLAB_TMP_THRESHOLD,ThresholdRule,RND01_RDLAB,TMP,Temperature,Temperature out of bounds,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RND01_RDLAB_HUM_THRESHOLD,ThresholdRule,RND01_RDLAB,HUM,Humidity,Humidity out of bounds,Suspend experiments; inspect HVAC system,CRITICAL,75,65,35,25,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
CAF01_CAFETERIA_TMP_THRESHOLD,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,Temperature out of bounds,Inspect and notify maintenance,CRITICAL,30,26,17,14,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
CAF01_CAFETERIA_HUM_THRESHOLD,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,Humidity out of bounds,Inspect and notify maintenance,CRITICAL,80,70,35,25,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST02_SEALING_CORRELATED_ST04_SPD,DependencyRule,ST02_SEALING,CUR,Current,Current exceeds threshold,Verify ST04-SPD (RULE-ST02-04),CRITICAL,15,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST03_LABELLING_ESTOP_CNT,ThresholdRule,ST03_LABELLING,CNT,Count,Count rate exceeds critical threshold,E-STOP labelling,CRITICAL,140,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST02_SEALING_ESTOP_TMP,ThresholdRule,ST02_SEALING,TMP,Temperature,Temperature exceeds critical threshold,E-STOP ST02/ST03/ST04,CRITICAL,210,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ST04_PACKAGING_ESTOP_VIB,ThresholdRule,ST04_PACKAGING,VIB,Vibration,Vibration exceeds critical threshold,E-STOP,CRITICAL,0.35,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ANOMALY_SPIKE,AnomalyRule,All,All,All,"Transient deviation >3s, <5min",Log as Spike anomaly,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ANOMALY_DRIFT,AnomalyRule,All,All,All,Monotonic deviation >15 min with slope >0.1 s/min for 5+ readings,Log as Drift anomaly,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ANOMALY_STUCK,AnomalyRule,All,All,All,Unchanged >10 consecutive readings with std(last 10) < 0.001×nominal,Log as Stuck anomaly,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ANOMALY_OUT_OF_RANGE,AnomalyRule,All,All,All,Sustained WARN violation >10 min or >WARN for 20+ readings,Log as OutOfRange anomaly,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ANOMALY_CORRELATED,DependencyRule,All,All,All,Causally linked to another station with onset within 90 min of cause,Log as Correlated anomaly,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
MAINT-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,,0.05,,,mm/s,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
MAINT-02,ThresholdRule,ST02_SEALING,CUR,Current,DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,,1.0,,,A,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
MAINT-03,FaultRule,ST03_LABELLING,TEN,Tension,STUCK >10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
MAINT-04,ThresholdRule,ST01_FILLING,PRS,Pressure,<3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,3.3,,bar,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
MAINT-05,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,>25°C for >5 min,Activate secondary cooling,CRITICAL,25,,,,°C,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
MAINT-06,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,DRIFT >2°C over 2 h,Inspect compressor; notify,QCRITICAL,,2,,,°C,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
MAINT-07,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,>20°C for >10 min,Emergency ventilation; notify safety,CRITICAL,20,,,,°C,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
MAINT-08,ThresholdRule,RND01_RDLAB,HUM,Humidity,DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC,HIGH,,10,,,%RH,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
CORR-01,DependencyRule,ST02_SEALING,CUR,Current,DRIFT >1.0 A for 30+ min,Verify ST02-CUR trend; Inspect sealing jaw; Reset ST04,HIGH,,1.0,,,A,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,↓ (speed drop),SPD,ST04_PACKAGING
CORR-02,DependencyRule,SRV01_SERVERROOM,TMP,Temperature,>25°C for >5 min,Reduce SRV01-TMP <25°C; Verify PLC heartbeats; Clear SCADA latency,CRITICAL,25,,,,°C,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,Increased scan time,latency,SCADA
CORR-03,DependencyRule,WRH01_WAREHOUSE,TMP,Temperature,DRIFT >2°C over 2 h,Restore WRH01-TMP <8°C; Notify QC; Place batch on HOLD,QCRITICAL,,2,,,°C,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,Product quality risk,,QC
RULE-ACCESS-01,AccessControl,All Zones,AccessControlSystem,RoleAuthorizationCheck,Unauthorised role detected,"Log OccupancyEvent::UnauthorisedAccess with person_id, zone, and timestamp",,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ACCESS-02,AccessControl,All Zones,AccessControlSystem,UnauthorisedAccessDetection,Unauthorised access detected,Notify security personnel within 2 minutes,,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ACCESS-03,AccessControl,All Zones,KGNode,AccessAuthorizationFlag,Unauthorised access detected,Set authorized=NO in KG node and reference RULE-ACCESS-01,,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ACCESS-04,AccessControl,Chemical Storage,AccessControlSystem,UnauthorisedAccessDetection,Unauthorised access detected,Immediate escalation to Safety Officer regardless of role,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-CHM01-03,Maintenance,Chemical Storage,OccupancySystem,PersonCount,Occupancy > 4,Enforce hazmatraining requirement,CRITICAL,4,,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
OCCUPANCY-PROD-01,ThresholdRule,Production Area,OccupancySystem,PersonCount,Occupancy > 10,Trigger WARNING alarm,WARNING,,10,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
OCCUPANCY-PROD-02,ThresholdRule,Production Area,OccupancySystem,PersonCount,Occupancy > 12,Trigger CRITICAL alarm,CRITICAL,12,,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
OCCUPANCY-SERVER-01,ThresholdRule,Server Room,OccupancySystem,PersonCount,Occupancy > 2,Trigger CRITICAL alarm,CRITICAL,2,,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
OCCUPANCY-WAREHOUSE-01,ThresholdRule,General Warehouse,OccupancySystem,PersonCount,Occupancy > 3,Trigger WARNING alarm,WARNING,,3,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
OCCUPANCY-CHEM-01,ThresholdRule,Chemical Storage,OccupancySystem,PersonCount,Occupancy > 4,Trigger CRITICAL alarm,CRITICAL,4,,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
OCCUPANCY-RDLAB-01,ThresholdRule,R&D Lab,OccupancySystem,PersonCount,Occupancy > 5,Trigger WARNING alarm,WARNING,,5,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
OCCUPANCY-CAFETERIA-01,ThresholdRule,Cafeteria,OccupancySystem,PersonCount,Occupancy > 20,Monitoring only (no alarm),INFO,,,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ACK-WARNING-OPERATOR,AcknowledgmentRule,All Zones,AlarmSystem,AcknowledgmentTimer,WARNING alarm unacknowledged,Enforce max acknowledgment time of 15 minutes for operators,,,15,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ACK-CRITICAL-OPERATOR,AcknowledgmentRule,All Zones,AlarmSystem,AcknowledgmentTimer,CRITICAL alarm unacknowledged,Enforce max acknowledgment time of 3 minutes for operators,,,,,3,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ACK-WARNING-TECHNICIAN,AcknowledgmentRule,All Zones,AlarmSystem,AcknowledgmentTimer,WARNING alarm unacknowledged,Enforce max acknowledgment time of 10 minutes for technicians,,,10,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ACK-CRITICAL-TECHNICIAN,AcknowledgmentRule,All Zones,AlarmSystem,AcknowledgmentTimer,CRITICAL alarm unacknowledged,Enforce max acknowledgment time of 2 minutes for technicians,,,,,2,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ACK-WARNING-SUPERVISOR,AcknowledgmentRule,All Zones,AlarmSystem,AcknowledgmentTimer,WARNING alarm unacknowledged,Enforce max acknowledgment time of 5 minutes for supervisors,,,5,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ACK-CRITICAL-SUPERVISOR,AcknowledgmentRule,All Zones,AlarmSystem,AcknowledgmentTimer,CRITICAL alarm unacknowledged,Enforce max acknowledgment time of 1 minute for supervisors,,,,,1,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ACK-WARNING-MANAGER,AcknowledgmentRule,All Zones,AlarmSystem,AcknowledgmentTimer,WARNING alarm unacknowledged,Enforce max acknowledgment time of 15 minutes for managers,,,15,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ACK-CRITICAL-MANAGER,AcknowledgmentRule,All Zones,AlarmSystem,AcknowledgmentTimer,CRITICAL alarm unacknowledged,Enforce max acknowledgment time of 5 minutes for managers,,,,,5,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ACK-WARNING-SECURITY,AcknowledgmentRule,All Zones,AlarmSystem,AcknowledgmentTimer,WARNING alarm unacknowledged,Enforce max acknowledgment time of 20 minutes for security personnel,,,20,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ACK-CRITICAL-SECURITY,AcknowledgmentRule,All Zones,AlarmSystem,AcknowledgmentTimer,CRITICAL alarm unacknowledged,Enforce max acknowledgment time of 5 minutes for security personnel,,,,,5,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
ACCESS-BADGE-SERVER,AccessControl,Server Room,AccessControlSystem,AccessAuthorization,Access attempt,Require access badge for entry,,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
