ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,run_id,doc_type_classified
RULE-SRV01-02,OperationalRule,SRV01_SERVERROOM,SRV01_TMP,TMP,TMP > 28°C,Automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_TMP,TMP,"TMP outside [0.5, 8] °C",Maintain within bounds,MANDATORY,8,,0.5,12,°C,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-WRH01-02,OperationalRule,WRH01_WAREHOUSE,WRH01_HUM,HUM,HUM > 85%RH,Inspect door seals and activate dehumidifier,WARNING,,85,,,%RH,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_TMP,TMP,"TMP outside [10, 20] °C",Maintain within bounds,MANDATORY,20,,10,25,°C,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-CHM01-02,OperationalRule,CHM01_CHEMICALSTORAGE,CHM01_HUM,HUM,HUM > 50%RH,Do not exceed 50%RH,WARNING,50,,,45,%RH,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-CHM01-03,AccessRule,CHM01_CHEMICALSTORAGE,,,Unauthorized access detected,Escalate within 2 minutes,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-RND01-01,ThresholdRule,RND01_RDLAB,RND01_TMP,TMP,"TMP outside [18, 26] °C",Maintain within bounds for experimental validity,MANDATORY,26,,18,,°C,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-CAF01-01,OperationalRule,CAF01_CAFETERIA,CAF01_TMP,TMP,TMP > 26°C,Check ventilation system,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-CAF01-02,OperationalRule,CAF01_CAFETERIA,CAF01_HUM,HUM,HUM > 70%RH,Inspect drainage and activate ventilation,WARNING,,70,,,%RH,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-ST02-03,MaintenanceRule,ST02_SEALING,ST02_CUR,CUR,CUR increase >1.5 A above nominal sustained >5 min,Schedule maintenance,WARNING,,1.5,,,A,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-CORR-01,MaintenanceRule,ST02_SEALING,ST02_CUR,CUR,CUR drift at ST02_SEALING,Monitor ST04_PACKAGING-SPD for speed reduction due to shared electrical coupling,WARNING,,,,,,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-ST04-01,OperationalRule,ST04_PACKAGING,ST04_VIB,VIB,VIB > 0.20 mm/s,Schedule maintenance within 24 hours,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-ST04-02,OperationalRule,ST04_PACKAGING,ST04_VIB,VIB,VIB > 0.35 mm/s,Emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-RND01-02,OperationalRule,RND01_RDLAB,RND01_HUM,HUM,HUM drift > 65%RH,Activate dehumidifier,WARNING,,65,,75,%RH,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-RND01-03,OperationalRule,RND01_RDLAB,RND01_HUM,HUM,HUM > 75%RH,Suspend sensitive experiments and inspect HVAC system,CRITICAL,75,,,,%RH,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-THR-ST01-FILLING-TMP-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TMP,"Temperature outside [15, 30] °C",Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-ST01-FILLING-PRS-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRS,"Pressure outside [3, 4.8] bar",Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-ST01-FILLING-FLW-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,"Flow outside [105, 135] L/min",Inspect and notify maintenance,CRITICAL,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-ST02-SEALING-TMP-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,"Temperature outside [165, 210] °C",E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-ST02-SEALING-PRS-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_PRS,PRS,"Pressure outside [4.2, 6.2] bar",Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-ST02-04,OperationalRule,ST02_SEALING,ST02_SEALING_CUR,CUR,Current >15 A (CRITICAL) or >13.5 A (WARNING),E-STOP; inspect load; verify ST04-SPD,CRITICAL,,,,,A,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-ST02-SEALING-CUR-WARN,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,CUR,"Current outside [9.5, 15] A",Inspect and notify maintenance,WARNING,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-ST03-LABELLING-SPD-CRIT,ThresholdRule,ST03_LABELLING,ST03_LABELLING_SPD,SPD,"Speed outside [0.65, 1.05] m/s",Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-ST03-LABELLING-TEN-CRIT,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,"Tension outside [1.5, 3] N",Inspect and notify maintenance,CRITICAL,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-ST03-01,OperationalRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,Count >140 pcs/min (CRITICAL) or >130 pcs/min (WARNING),E-STOP labelling; inspect label path,CRITICAL,,,,,pcs/min,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-ST03-LABELLING-CNT-WARN,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,"Count outside [100, 140] pcs/min",Inspect and notify maintenance,WARNING,140,130,110,100,pcs/min,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-ST04-PACKAGING-VIB-CRIT,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,"Vibration outside [0.01, 0.35] mm/s",E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-ST04-PACKAGING-CUR-CRIT,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_CUR,CUR,"Current outside [6.5, 11] A",Inspect and notify maintenance,CRITICAL,11,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-ST04-PACKAGING-SPD-CRIT,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,"Speed outside [0.85, 1.6] m/s",Inspect and notify maintenance,CRITICAL,1.6,1.4,1,0.85,m/s,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-SRV01-SERVERROOM-TMP-CRIT,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,"Temperature outside [16, 28] °C",Activate backup cooling; prepare controlled PLC,CRITICAL,28,25,18,16,°C,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-SRV01-SERVERROOM-HUM-CRIT,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_HUM,HUM,"Humidity outside [25, 70] %RH",Inspect and notify maintenance,CRITICAL,70,60,30,25,%RH,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-WRH01-WAREHOUSE-TMP-CRIT,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,"Temperature outside [-1, 12] °C",Activate backup refrigeration; notify,CRITICAL,12,8,0.5,-1,°C,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-WRH01-WAREHOUSE-HUM-CRIT,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,HUM,"Humidity outside [55, 90] %RH",Inspect and notify maintenance,CRITICAL,90,85,60,55,%RH,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-CHM01-CHEMICALSTORAGE-TMP-CRIT,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,"Temperature outside [5, 25] °C",Activate emergency ventilation; notify safety officer,CRITICAL,25,20,10,5,°C,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-CHM01-CHEMICALSTORAGE-HUM-CRIT,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,HUM,"Humidity outside [15, 60] %RH",Activate desiccant system; inspect storage containers,CRITICAL,60,50,20,15,%RH,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-RND01-RDLAB-TMP-CRIT,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,TMP,"Temperature outside [15, 30] °C",Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-RND01-RDLAB-HUM-CRIT,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,"Humidity outside [25, 75] %RH",Suspend experiments; inspect HVAC system,CRITICAL,75,65,35,25,%RH,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-CAF01-CAFETERIA-TMP-CRIT,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TMP,TMP,"Temperature outside [14, 30] °C",Inspect and notify maintenance,CRITICAL,30,26,17,14,°C,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-THR-CAF01-CAFETERIA-HUM-CRIT,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUM,HUM,"Humidity outside [25, 80] %RH",Inspect and notify maintenance,CRITICAL,80,70,35,25,%RH,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
MAINT-01,MaintenanceRule,,,,"Transient deviation >3s, <5min with reading >CRIT threshold",Detect as AnomalyEvent::Spike,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
MAINT-02,MaintenanceRule,,,,Monotonic deviation >15min with slope >0.1 s/min for 5+ readings,Detect as AnomalyEvent::Drift,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
MAINT-03,MaintenanceRule,,,,Unchanged reading for >10 consecutive samples (std < 0.001×nominal),Detect as AnomalyEvent::StuckSensor,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
MAINT-04,MaintenanceRule,,,,Sustained WARN violation >10min or >20 readings,Detect as AnomalyEvent::OutOfRange,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
RULE-CORR-01,MaintenanceRule,,,,Causally linked to another station Onset within 90 min of cause,Detect as AnomalyEvent::Correlated,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,abl_noQGE_s42_run1,tabular
MAINT-01,MaintenanceRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,Vibration drift >0.05 mm/s sustained for 60+ minutes,Inspect and lubricate bearing,HIGH,,,,,mm/s,SOP_003_MaintenanceRules.txt,abl_noQGE_s42_run1,mixed
MAINT-03,MaintenanceRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,Tension sensor stuck for >10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,abl_noQGE_s42_run1,mixed
MAINT-04,MaintenanceRule,ST01_FILLING,ST01_FILLING_PRS,PRS,Pressure <3.3 bar sustained for >15 minutes,Inspect filter and pump,MEDIUM,,,,,bar,SOP_003_MaintenanceRules.txt,abl_noQGE_s42_run1,mixed
MAINT-07,MaintenanceRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,Temperature >20°C sustained for >10 minutes,Emergency ventilation; notify safety,CRITICAL,,,,,°C,SOP_003_MaintenanceRules.txt,abl_noQGE_s42_run1,mixed
MAINT-08,MaintenanceRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,Humidity drift >10%RH over 60 minutes,Activate dehumidifier; check HVAC,HIGH,,,,,%RH,SOP_003_MaintenanceRules.txt,abl_noQGE_s42_run1,mixed
MAINT-02,MaintenanceRule,ST02_SEALING,ST02_SEALING_CUR,CUR,Current drift >1.0 A sustained for 30+ minutes,Inspect sealing jaw,HIGH,,,,,A,SOP_003_MaintenanceRules.txt,abl_noQGE_s42_run1,mixed
RULE-CORR-01,MaintenanceRule,ST02_SEALING,ST02_SEALING_CUR,CUR,Sealing motor overload (current drift >1.0 A) → Conveyor speed drop (ST04_PACKAGING_SPD),1. Verify ST02-CUR trend. 2. Inspect sealing jaw. 3. Reset ST04,HIGH,,,,,,SOP_003_MaintenanceRules.txt,abl_noQGE_s42_run1,mixed
MAINT-05,MaintenanceRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,Temperature >25°C sustained for >5 minutes,Activate secondary cooling,CRITICAL,,,,,°C,SOP_003_MaintenanceRules.txt,abl_noQGE_s42_run1,mixed
RULE-CORR-02,MaintenanceRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,Server room overheating (TMP >25°C) → SCADA latency → Apparent stuck readings in PLC,1. Reduce SRV01-TMP <25°C. 2. Verify PLC heartbeats. 3. Clear stuck readings,CRITICAL,,,,,°C,SOP_003_MaintenanceRules.txt,abl_noQGE_s42_run1,mixed
MAINT-06,MaintenanceRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,Temperature drift >2°C over 2 hours,Inspect compressor; notify,CRITICAL,,,,,°C,SOP_003_MaintenanceRules.txt,abl_noQGE_s42_run1,mixed
RULE-CORR-03,MaintenanceRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,Cold warehouse temperature drift → Product quality risk (QC HOLD),1. Restore WRH01-TMP <8°C. 2. Notify QC. 3. Place batch on HOLD,CRITICAL,,,,,°C,SOP_003_MaintenanceRules.txt,abl_noQGE_s42_run1,mixed
RULE-OCC-PROD,AccessRule,Production Area,,,Occupancy exceeds 10 persons,Issue WARNING alert,WARNING,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-THR-PROD-OCC-WARN,ThresholdRule,Production Area,,,Occupancy exceeds 12 persons,Issue CRITICAL alert,CRITICAL,12,10,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-THR-SRV-OCC-CRIT,ThresholdRule,Server Room,,,Occupancy exceeds 2 persons,Issue CRITICAL alert,CRITICAL,2,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-OCC-SRV,AccessRule,Server Room,,,Access attempted without badge,Deny access; log as OccupancyEvent::UnauthorisedAccess,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-THR-WRH-OCC-WARN,ThresholdRule,General Warehouse,,,Occupancy exceeds 3 persons,Issue WARNING alert,WARNING,,3,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-THR-CHM-OCC-CRIT,ThresholdRule,Chemical Storage,,,Occupancy exceeds 4 persons,Issue CRITICAL alert; escalate to Safety Officer,CRITICAL,4,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-OCC-CHM,AccessRule,Chemical Storage,,,Unauthorized access detected,Immediate escalation to Safety Officer regardless of role,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-THR-RND-OCC-WARN,ThresholdRule,R&D Lab,,,Occupancy exceeds 5 persons,Issue WARNING alert,WARNING,,5,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-OCC-RND,AccessRule,R&D Lab,,,Occupancy exceeds 6 persons,Precision experiments may be disturbed,MEDIUM,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-ACCESS-01,AccessRule,All Zones,,,Unauthorized role attempts entry,"Log as OccupancyEvent::UnauthorisedAccess with person_id, zone, and timestamp",CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-ACCESS-02,AccessRule,All Zones,,,Unauthorized access detected,Notify security personnel within 2 minutes,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-ACCESS-03,AccessRule,All Zones,,,Unauthorized access detected,Set authorized=NO in KG node; reference RULE-ACCESS-03,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-ACCESS-04,AccessRule,Chemical Storage,,,Unauthorized access detected,Immediate escalation to the Safety Officer,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-ACK-OP-WARN,AccessRule,All Roles,,,WARNING alert not acknowledged within 15 minutes (operator/manager),Escalate to supervisor,WARNING,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-ACK-TECH-WARN,AccessRule,All Roles,,,WARNING alert not acknowledged within 10 minutes (technician),Escalate to supervisor,WARNING,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-ACK-SUP-WARN,AccessRule,All Roles,,,WARNING alert not acknowledged within 5 minutes (supervisor),Escalate to manager,WARNING,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-ACK-OP-CRIT,AccessRule,All Roles,,,CRITICAL alert not acknowledged within 3 minutes (operator),Escalate to supervisor,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-ACK-TECH-CRIT,AccessRule,All Roles,,,CRITICAL alert not acknowledged within 2 minutes (technician),Escalate to supervisor,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-ACK-SUP-CRIT,AccessRule,All Roles,,,CRITICAL alert not acknowledged within 1 minute (supervisor),Escalate to manager,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-ACK-MAN-CRIT,AccessRule,All Roles,,,CRITICAL alert not acknowledged within 5 minutes (manager),Escalate to security,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
RULE-ACK-SEC-CRIT,AccessRule,All Roles,,,CRITICAL alert not acknowledged within 5 minutes (security),Escalate to manager,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,abl_noQGE_s42_run1,matrix
