ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,authorizedRoles,crossReference,frequency,hazmatTrainingRequired,ontology,secondaryTrigger
RULE-ACCESS-02,OccupancyRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_OCCUPANCY,Occupancy,> 2 personnel (simultaneous),Alert safety officer; enforce single-entry protocol,Warning,,2,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-ACCESS-03,OccupancyRule,RND01_RDLAB,RND01_RDLAB_OCCUPANCY,Occupancy,> 5 personnel (fire code violation),Lock doors; notify facility manager,Critical,,5,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-ST01-FILLING-TEMP-01,ThresholdRule,ST01_FILLING,ST01_FILLING_TEMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,30.0,26.0,18.0,15.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-ST01-FILLING-PRESS-01,ThresholdRule,ST01_FILLING,ST01_FILLING_PRESS,Pressure,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3.0,bar,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-ST01-FILLING-FLOW-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLOW,FlowRate,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,135.0,128.0,112.0,105.0,L/min,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-ST02-SEALING-TEMP-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TEMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,E-STOP ST02/ST03/ST04; inspect sealing element,CRITICAL,210.0,195.0,175.0,165.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-ST02-SEALING-PRESS-01,ThresholdRule,ST02_SEALING,ST02_SEALING_PRESS,Pressure,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-ST02-SEALING-CURR-01,ThresholdRule,ST02_SEALING,ST02_SEALING_CURR,Current,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,E-STOP; inspect load; verify ST04 speed (RULE-ST04-PACK-SPD-01),CRITICAL,15.0,13.5,11.0,9.5,A,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,['SOP-002-ST04-PACK-SPD-01'],,,,
SOP-002-ST03-LABEL-SPD-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_SPD,Speed,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-ST03-LABEL-TEN-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,3.0,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-ST03-LABEL-CNT-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,CountRate,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,E-STOP labelling; inspect label path,CRITICAL,140.0,130.0,110.0,100.0,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-ST04-PACK-VIB-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-ST04-PACK-CURR-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_CURR,Current,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,11.0,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-ST04-PACK-SPD-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPD,Speed,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,1.6,1.4,1.0,0.85,m/s,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-SRV01-TEMP-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TEMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Activate backup cooling; prepare controlled PLC shutdown,CRITICAL,28.0,25.0,18.0,16.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-SRV01-HUM-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_HUM,Humidity,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,WARNING,70.0,60.0,30.0,25.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-SRV01-OCCUPANCY-01,OccupancyRule,SRV01_SERVERROOM,SRV01_SERVERROOM_OCCUPANCY,PersonCount,Max occupancy exceeded,Lock doors; alert security,CRITICAL,5,3,,,persons,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-WRH01-TEMP-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TEMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Activate backup refrigeration; notify warehouse manager,CRITICAL,12.0,8.0,0.5,-1.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-WRH01-HUM-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,Humidity,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,WARNING,90.0,85.0,60.0,55.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-CHM01-TEMP-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TEMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Activate emergency ventilation; notify safety officer,CRITICAL,25.0,20.0,10.0,5.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-CHM01-HUM-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,Humidity,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Activate desiccant system; inspect storage containers,WARNING,60.0,50.0,20.0,15.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-RND01-TEMP-01,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TEMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,WARNING,30.0,26.0,18.0,15.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-RND01-HUM-01,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,Humidity,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Suspend experiments; inspect HVAC system,CRITICAL,75.0,65.0,35.0,25.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-CAF01-TEMP-01,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TEMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,WARNING,30.0,26.0,17.0,14.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-CAF01-HUM-01,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUM,Humidity,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,WARNING,80.0,70.0,35.0,25.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
SOP-002-CROSS-ST02-ST04-01,CrossStationRule,"['ST02_SEALING', 'ST04_PACKAGING']","['ST02_SEALING_CURR', 'ST04_PACKAGING_SPD']","['Current', 'Speed']",ST02_SEALING_CURR > CRIT_HI AND ST04_PACKAGING_SPD < NOMINAL,E-STOP ST02/ST04; investigate mechanical coupling,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,"['SOP-002-ST02-SEALING-CURR-01', 'SOP-002-ST04-PACK-SPD-01']",,,,
SOP-002-CROSS-SRV01-LINE-01,CrossStationRule,"['SRV01_SERVERROOM', 'ST01_FILLING', 'ST02_SEALING', 'ST03_LABELLING', 'ST04_PACKAGING']",['SRV01_SERVERROOM_TEMP'],['Temperature'],SRV01_SERVERROOM_TEMP > CRIT_HI (28°C) for >30min,Halt production line; initiate emergency cooling,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,['SOP-002-SRV01-TEMP-01'],,,,
SOP-002-ANOMALY-SPIKE-01,AnomalyRule,*,*,*,"Transient deviation >3s, <5min where reading > CRIT_HI",Log anomaly; trigger alert,WARNING,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,AnomalyEvent::Spike,
SOP-002-ANOMALY-DRIFT-01,AnomalyRule,*,*,*,Monotonic deviation >15min with slope >0.1 unit/min for 5+ readings,Investigate trend; notify operator,WARNING,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,AnomalyEvent::Drift,
SOP-002-ANOMALY-STUCK-01,AnomalyRule,*,*,*,Unchanged reading for >10 consecutive samples (stddev < 0.001×nominal),Flag sensor failure; initiate calibration check (MAINT-03),CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,['MAINT-03'],,,AnomalyEvent::StuckSensor,
SOP-002-ANOMALY-OOR-01,AnomalyRule,*,*,*,Sustained WARN violation (>WARN_HI or <WARN_LO) for >10min (>20 readings),Escalate to maintenance; review SOP compliance (MAINT-01),CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,['MAINT-01'],,,AnomalyEvent::OutOfRange,
SOP-002-ANOMALY-CORR-01,AnomalyRule,*,*,*,Causally linked to another station (onset within 90min of cause),Correlate events; investigate root cause (MAINT-02),WARNING,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,['MAINT-02'],,,AnomalyEvent::Correlated,
MAINT-01,MaintenanceRule,*,*,*,OUT_OF_RANGE anomaly detected,Schedule corrective maintenance; log in CMMS,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,Immediate,,,
MAINT-02,MaintenanceRule,*,*,*,CORRELATED anomaly detected,Investigate root cause; coordinate cross-station teams,WARNING,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,Within 24h,,,
MAINT-03,MaintenanceRule,*,*,*,STUCK sensor detected,Calibrate/replace sensor; validate in HMI,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,Immediate,,,
MAINT-04,MaintenanceRule,*,*,"['Temperature', 'Humidity', 'Pressure']",Threshold violations >3x in 7 days,Perform predictive maintenance; check for wear/tear,WARNING,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,Weekly,,,
MAINT-05,MaintenanceRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,Vibration > WARN_HI for >1h,Lubricate bearings; inspect alignment,WARNING,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,Monthly,,,
MAINT-06,MaintenanceRule,"['ST01_FILLING', 'ST02_SEALING', 'ST03_LABELLING']",*,*,DRIFT anomaly detected in critical sensors,Adjust calibration; log drift trend,WARNING,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,Biweekly,,,
MAINT-07,MaintenanceRule,SRV01_SERVERROOM,"['SRV01_SERVERROOM_TEMP', 'SRV01_SERVERROOM_HUM']","['Temperature', 'Humidity']",Environmental thresholds breached,Service HVAC; check filters/ducts,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,Quarterly,,,
