ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,anomalyType,duration,nominalTolerance,nominalValue,ontologyClass
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,Humidity,drift above,activate dehumidifier,warning,,65,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-RND01-02-CRIT,ThresholdRule,RND01_RDLAB,HUM,Humidity,above,suspend sensitive experiments and inspect HVAC system,critical,75,,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,above,check ventilation system,warning,26,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,above,inspect drainage and activate ventilation,warning,70,,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST01_FILLING_TMP_CRIT_LO,ThresholdRule,ST01_FILLING,TMP,Temperature,<,Inspect and notify maintenance,CRITICAL,,,,15,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST01_FILLING_TMP_WARN_LO,ThresholdRule,ST01_FILLING,TMP,Temperature,<,Inspect and notify maintenance,WARNING,,,18,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST01_FILLING_TMP_NOMINAL,ThresholdRule,ST01_FILLING,TMP,Temperature,±,N/A (Nominal Range),NOMINAL,,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,0.4,22.0,
ST01_FILLING_TMP_WARN_HI,ThresholdRule,ST01_FILLING,TMP,Temperature,>,Inspect and notify maintenance,WARNING,,26,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST01_FILLING_TMP_CRIT_HI,ThresholdRule,ST01_FILLING,TMP,Temperature,>,Inspect and notify maintenance,CRITICAL,30,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST01_FILLING_PRS_CRIT_LO,ThresholdRule,ST01_FILLING,PRS,Pressure,<,Inspect and notify maintenance,CRITICAL,,,,3,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST01_FILLING_PRS_WARN_LO,ThresholdRule,ST01_FILLING,PRS,Pressure,<,Inspect and notify maintenance,WARNING,,,3.3,,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST01_FILLING_PRS_NOMINAL,ThresholdRule,ST01_FILLING,PRS,Pressure,±,N/A (Nominal Range),NOMINAL,,,,,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,0.05,3.8,
ST01_FILLING_PRS_WARN_HI,ThresholdRule,ST01_FILLING,PRS,Pressure,>,Inspect and notify maintenance,WARNING,,4.2,,,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST01_FILLING_PRS_CRIT_HI,ThresholdRule,ST01_FILLING,PRS,Pressure,>,Inspect and notify maintenance,CRITICAL,4.8,,,,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST01_FILLING_FLW_CRIT_LO,ThresholdRule,ST01_FILLING,FLW,Flow,<,Inspect and notify maintenance,CRITICAL,,,,105,L/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST01_FILLING_FLW_WARN_LO,ThresholdRule,ST01_FILLING,FLW,Flow,<,Inspect and notify maintenance,WARNING,,,112,,L/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST01_FILLING_FLW_NOMINAL,ThresholdRule,ST01_FILLING,FLW,Flow,±,N/A (Nominal Range),NOMINAL,,,,,L/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,1.5,120,
ST01_FILLING_FLW_WARN_HI,ThresholdRule,ST01_FILLING,FLW,Flow,>,Inspect and notify maintenance,WARNING,,128,,,L/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST01_FILLING_FLW_CRIT_HI,ThresholdRule,ST01_FILLING,FLW,Flow,>,Inspect and notify maintenance,CRITICAL,135,,,,L/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST02_SEALING_TMP_CRIT_LO,ThresholdRule,ST02_SEALING,TMP,Temperature,<,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,,,,165,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST02_SEALING_TMP_WARN_LO,ThresholdRule,ST02_SEALING,TMP,Temperature,<,E-STOP ST02/ST03/ST04; inspect element,WARNING,,,175,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST02_SEALING_TMP_NOMINAL,ThresholdRule,ST02_SEALING,TMP,Temperature,±,N/A (Nominal Range),NOMINAL,,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,1.2,185,
ST02_SEALING_TMP_WARN_HI,ThresholdRule,ST02_SEALING,TMP,Temperature,>,E-STOP ST02/ST03/ST04; inspect element,WARNING,,195,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST02_SEALING_TMP_CRIT_HI,ThresholdRule,ST02_SEALING,TMP,Temperature,>,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST02_SEALING_PRS_CRIT_LO,ThresholdRule,ST02_SEALING,PRS,Pressure,<,Inspect and notify maintenance,CRITICAL,,,,4.2,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST02_SEALING_PRS_WARN_LO,ThresholdRule,ST02_SEALING,PRS,Pressure,<,Inspect and notify maintenance,WARNING,,,4.6,,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST02_SEALING_PRS_NOMINAL,ThresholdRule,ST02_SEALING,PRS,Pressure,±,N/A (Nominal Range),NOMINAL,,,,,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,0.08,5.2,
ST02_SEALING_PRS_WARN_HI,ThresholdRule,ST02_SEALING,PRS,Pressure,>,Inspect and notify maintenance,WARNING,,5.7,,,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST02_SEALING_PRS_CRIT_HI,ThresholdRule,ST02_SEALING,PRS,Pressure,>,Inspect and notify maintenance,CRITICAL,6.2,,,,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST02_SEALING_CUR_CRIT_LO,ThresholdRule,ST02_SEALING,CUR,Current,<,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,,,,9.5,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST02_SEALING_CUR_WARN_LO,ThresholdRule,ST02_SEALING,CUR,Current,<,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),WARNING,,,11,,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST02_SEALING_CUR_NOMINAL,ThresholdRule,ST02_SEALING,CUR,Current,±,N/A (Nominal Range),NOMINAL,,,,,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,0.3,12.4,
ST02_SEALING_CUR_WARN_HI,ThresholdRule,ST02_SEALING,CUR,Current,>,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),WARNING,,13.5,,,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST02_SEALING_CUR_CRIT_HI,ThresholdRule,ST02_SEALING,CUR,Current,>,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,,,,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST03_LABELLING_SPD_CRIT_LO,ThresholdRule,ST03_LABELLING,SPD,Speed,<,Inspect and notify maintenance,CRITICAL,,,,0.65,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST03_LABELLING_SPD_WARN_LO,ThresholdRule,ST03_LABELLING,SPD,Speed,<,Inspect and notify maintenance,WARNING,,,0.75,,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST03_LABELLING_SPD_NOMINAL,ThresholdRule,ST03_LABELLING,SPD,Speed,±,N/A (Nominal Range),NOMINAL,,,,,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,0.01,0.85,
ST03_LABELLING_SPD_WARN_HI,ThresholdRule,ST03_LABELLING,SPD,Speed,>,Inspect and notify maintenance,WARNING,,0.95,,,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST03_LABELLING_SPD_CRIT_HI,ThresholdRule,ST03_LABELLING,SPD,Speed,>,E-STOP labelling; inspect label path,CRITICAL,1.05,,,,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST03_LABELLING_TEN_CRIT_LO,ThresholdRule,ST03_LABELLING,TEN,Tension,<,Inspect and notify maintenance,CRITICAL,,,,1.5,N,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST03_LABELLING_TEN_WARN_LO,ThresholdRule,ST03_LABELLING,TEN,Tension,<,Inspect and notify maintenance,WARNING,,,1.8,,N,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST03_LABELLING_TEN_NOMINAL,ThresholdRule,ST03_LABELLING,TEN,Tension,±,N/A (Nominal Range),NOMINAL,,,,,N,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,0.05,2.2,
ST03_LABELLING_TEN_WARN_HI,ThresholdRule,ST03_LABELLING,TEN,Tension,>,Inspect and notify maintenance,WARNING,,2.6,,,N,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST03_LABELLING_TEN_CRIT_HI,ThresholdRule,ST03_LABELLING,TEN,Tension,>,Inspect and notify maintenance,CRITICAL,3,,,,N,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST03_LABELLING_CNT_CRIT_LO,ThresholdRule,ST03_LABELLING,CNT,Count,<,E-STOP labelling; inspect label path,CRITICAL,,,,100,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST03_LABELLING_CNT_WARN_LO,ThresholdRule,ST03_LABELLING,CNT,Count,<,E-STOP labelling; inspect label path,WARNING,,,110,,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST03_LABELLING_CNT_NOMINAL,ThresholdRule,ST03_LABELLING,CNT,Count,±,N/A (Nominal Range),NOMINAL,,,,,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,2.0,120,
ST03_LABELLING_CNT_WARN_HI,ThresholdRule,ST03_LABELLING,CNT,Count,>,E-STOP labelling; inspect label path,WARNING,,130,,,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST03_LABELLING_CNT_CRIT_HI,ThresholdRule,ST03_LABELLING,CNT,Count,>,E-STOP labelling; inspect label path,CRITICAL,140,,,,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST04_PACKAGING_VIB_CRIT_LO,ThresholdRule,ST04_PACKAGING,VIB,Vibration,<,E-STOP; inspect main bearing,CRITICAL,,,,0.01,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST04_PACKAGING_VIB_WARN_LO,ThresholdRule,ST04_PACKAGING,VIB,Vibration,<,E-STOP; inspect main bearing,WARNING,,,0.02,,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST04_PACKAGING_VIB_NOMINAL,ThresholdRule,ST04_PACKAGING,VIB,Vibration,±,N/A (Nominal Range),NOMINAL,,,,,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,0.005,0.12,
ST04_PACKAGING_VIB_WARN_HI,ThresholdRule,ST04_PACKAGING,VIB,Vibration,>,E-STOP; inspect main bearing,WARNING,,0.2,,,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST04_PACKAGING_VIB_CRIT_HI,ThresholdRule,ST04_PACKAGING,VIB,Vibration,>,E-STOP; inspect main bearing,CRITICAL,0.35,,,,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST04_PACKAGING_CUR_CRIT_LO,ThresholdRule,ST04_PACKAGING,CUR,Current,<,Inspect and notify maintenance,CRITICAL,,,,6.5,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST04_PACKAGING_CUR_WARN_LO,ThresholdRule,ST04_PACKAGING,CUR,Current,<,Inspect and notify maintenance,WARNING,,,7.5,,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST04_PACKAGING_CUR_NOMINAL,ThresholdRule,ST04_PACKAGING,CUR,Current,±,N/A (Nominal Range),NOMINAL,,,,,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,0.2,8.7,
ST04_PACKAGING_CUR_WARN_HI,ThresholdRule,ST04_PACKAGING,CUR,Current,>,Inspect and notify maintenance,WARNING,,9.8,,,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST04_PACKAGING_CUR_CRIT_HI,ThresholdRule,ST04_PACKAGING,CUR,Current,>,Inspect and notify maintenance,CRITICAL,11,,,,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST04_PACKAGING_SPD_CRIT_LO,ThresholdRule,ST04_PACKAGING,SPD,Speed,<,Inspect and notify maintenance,CRITICAL,,,,0.85,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST04_PACKAGING_SPD_WARN_LO,ThresholdRule,ST04_PACKAGING,SPD,Speed,<,Inspect and notify maintenance,WARNING,,,1,,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST04_PACKAGING_SPD_NOMINAL,ThresholdRule,ST04_PACKAGING,SPD,Speed,±,N/A (Nominal Range),NOMINAL,,,,,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,0.02,1.2,
ST04_PACKAGING_SPD_WARN_HI,ThresholdRule,ST04_PACKAGING,SPD,Speed,>,Inspect and notify maintenance,WARNING,,1.4,,,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ST04_PACKAGING_SPD_CRIT_HI,ThresholdRule,ST04_PACKAGING,SPD,Speed,>,Inspect and notify maintenance,CRITICAL,1.6,,,,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
SRV01_SERVERROOM_TMP_CRIT_LO,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,<,Activate backup cooling; prepare controlled PLC,CRITICAL,,,,16,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
SRV01_SERVERROOM_TMP_WARN_LO,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,<,Activate backup cooling; prepare controlled PLC,WARNING,,,18,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
SRV01_SERVERROOM_TMP_NOMINAL,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,±,N/A (Nominal Range),NOMINAL,,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,0.3,21,
SRV01_SERVERROOM_TMP_WARN_HI,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,>,Activate backup cooling; prepare controlled PLC,WARNING,,25,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
SRV01_SERVERROOM_TMP_CRIT_HI,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,>,Activate backup cooling; prepare controlled PLC,CRITICAL,28,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
SRV01_SERVERROOM_HUM_CRIT_LO,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,<,Inspect and notify maintenance,CRITICAL,,,,25,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
SRV01_SERVERROOM_HUM_WARN_LO,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,<,Inspect and notify maintenance,WARNING,,,30,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
SRV01_SERVERROOM_HUM_NOMINAL,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,±,N/A (Nominal Range),NOMINAL,,,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,1.0,45,
SRV01_SERVERROOM_HUM_WARN_HI,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,>,Inspect and notify maintenance,WARNING,,60,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
