ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,run_id,doc_type_classified
RULE-THR-ST03-SPD-CRIT,ThresholdRule,ST03,ST03_SPD,SPD,"Speed outside [0.65, 1.05] m/s",Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-ST03-TEN-CRIT,ThresholdRule,ST03,ST03_TEN,TEN,"Tension outside [1.5, 3] N",Inspect and notify maintenance,CRITICAL,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-ST03-CNT-CRIT,ThresholdRule,ST03,ST03_CNT,CNT,"Count outside [100, 140] pcs/min",E-STOP labelling; inspect label path,CRITICAL,140,130,110,100,pcs/min,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-ST04-VIB-CRIT,ThresholdRule,ST04,ST04_VIB,VIB,"Vibration outside [0.01, 0.35] mm/s",E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-ST04-CUR-CRIT,ThresholdRule,ST04,ST04_CUR,CUR,"Current outside [6.5, 11] A",Inspect and notify maintenance,CRITICAL,11,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-ST04-SPD-CRIT,ThresholdRule,ST04,ST04_SPD,SPD,"Speed outside [0.85, 1.6] m/s",Inspect and notify maintenance,CRITICAL,1.6,1.4,1,0.85,m/s,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-SRV01-TMP-CRIT,ThresholdRule,SRV01,SRV01_TMP,TMP,"Temperature outside [16, 28] °C",Activate backup cooling; prepare controlled PLC,CRITICAL,28,25,18,16,°C,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-SRV01-HUM-CRIT,ThresholdRule,SRV01,SRV01_HUM,HUM,"Humidity outside [25, 70] %RH",Inspect and notify maintenance,CRITICAL,70,60,30,25,%RH,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-WRH01-TMP-CRIT,ThresholdRule,WRH01,WRH01_TMP,TMP,"Temperature outside [-1, 12] °C",Activate backup refrigeration; notify,CRITICAL,12,8,0.5,-1,°C,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-WRH01-HUM-CRIT,ThresholdRule,WRH01,WRH01_HUM,HUM,"Humidity outside [55, 90] %RH",Inspect and notify maintenance,CRITICAL,90,85,60,55,%RH,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-CHM01-TMP-CRIT,ThresholdRule,CHM01,CHM01_TMP,TMP,"Temperature outside [5, 25] °C",Activate emergency ventilation; notify safety officer,CRITICAL,25,20,10,5,°C,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-CHM01-HUM-CRIT,ThresholdRule,CHM01,CHM01_HUM,HUM,"Humidity outside [15, 60] %RH",Activate desiccant system; inspect storage containers,CRITICAL,60,50,20,15,%RH,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-RND01-TMP-CRIT,ThresholdRule,RND01,RND01_TMP,TMP,"Temperature outside [15, 30] °C",Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-RND01-HUM-CRIT,ThresholdRule,RND01,RND01_HUM,HUM,"Humidity outside [25, 75] %RH",Suspend experiments; inspect HVAC system,CRITICAL,75,65,35,25,%RH,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-CAF01-TMP-CRIT,ThresholdRule,CAF01,CAF01_TMP,TMP,"Temperature outside [14, 30] °C",Inspect and notify maintenance,CRITICAL,30,26,17,14,°C,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-CAF01-HUM-CRIT,ThresholdRule,CAF01,CAF01_HUM,HUM,"Humidity outside [25, 80] %RH",Inspect and notify maintenance,CRITICAL,80,70,35,25,%RH,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-ANOM-SPIKE,MaintenanceRule,,,,"Transient deviation >3s, <5min with reading >CRIT threshold",Trigger AnomalyEvent::Spike,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-ANOM-DRIFT,MaintenanceRule,,,,Monotonic deviation >15min with slope >0.1 s/min for 5+ readings,Trigger AnomalyEvent::Drift,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-ANOM-STUCK,MaintenanceRule,,,,Unchanged reading >10 consecutive with std(last 10) < 0.001×nominal,Trigger AnomalyEvent::StuckSensor,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-ANOM-OUT_OF_RANGE,MaintenanceRule,,,,Sustained WARN violation >10min or >WARN for 20+ readings,Trigger AnomalyEvent::OutOfRange,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-CORR-01,MaintenanceRule,,,,Causally linked to another station with onset within 90min of cause,Trigger AnomalyEvent::Correlated,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
MAINT-01,MaintenanceRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,,,,,mm/s,SOP_003_MaintenanceRules.txt,agentic_s42_run1,mixed
MAINT-03,MaintenanceRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN STUCK >10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,agentic_s42_run1,mixed
MAINT-04,MaintenanceRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,,,bar,SOP_003_MaintenanceRules.txt,agentic_s42_run1,mixed
RULE-THR-SRV01-TMP-CRIT,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,25,,,,C,SOP_003_MaintenanceRules.txt,agentic_s42_run1,mixed
RULE-THR-CHM01-TMP-CRIT,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,TMP >20°C for >10 min,Emergency ventilation; notify safety,CRITICAL,20,,,,C,SOP_003_MaintenanceRules.txt,agentic_s42_run1,mixed
MAINT-08,MaintenanceRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,HUM DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC,HIGH,,,,,%RH,SOP_003_MaintenanceRules.txt,agentic_s42_run1,mixed
RULE-CORR-01,MaintenanceRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,SRV01-TMP >25°C → SCADA latency → apparent STUCK readings,1. Reduce SRV01-TMP <25°C. 2. Verify PLC heartbeats. 3. Clear SCADA,CRITICAL,,,,,C,SOP_003_MaintenanceRules.txt,agentic_s42_run1,mixed
MAINT-02,MaintenanceRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,,,,,A,SOP_003_MaintenanceRules.txt,agentic_s42_run1,mixed
RULE-CORR-02,MaintenanceRule,ST02_SEALING,ST02_SEALING_CUR,CUR,ST02_SEALING-CUR drift (overload) → ST04_PACKAGING-SPD increase,1. Verify ST02-CUR trend. 2. Inspect sealing jaw. 3. Reset ST04,HIGH,,,,,,SOP_003_MaintenanceRules.txt,agentic_s42_run1,mixed
MAINT-06,MaintenanceRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,TMP DRIFT >2°C over 2 h,Inspect compressor; notify,CRITICAL,,,,,C,SOP_003_MaintenanceRules.txt,agentic_s42_run1,mixed
RULE-CORR-03,MaintenanceRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,WRH01-TMP drift → QC HOLD risk,1. Restore WRH01-TMP <8°C. 2. Notify QC. 3. Place batch on HOLD,CRITICAL,,,,,C,SOP_003_MaintenanceRules.txt,agentic_s42_run1,mixed
RULE-OCC-SRV,AccessRule,Server Room,,,Occupancy exceeds 2 persons,Issue CRITICAL alert; enforce access badge requirement,CRITICAL,,,,,persons,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-OCC-WRH,AccessRule,General Warehouse,,,Occupancy exceeds 3 persons,Issue WARNING alert,WARNING,,,,,persons,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-OCC-RND,AccessRule,R&D Lab,,,Occupancy exceeds 5 persons,Issue WARNING alert; note potential disruption to precision experiments,WARNING,,,,,persons,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-OCC-PROD,AccessRule,Production Area,,,Occupancy exceeds 10 persons,Issue WARNING alert,WARNING,,,,,persons,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-OCC-PROD-CRIT,AccessRule,Production Area,,,Occupancy exceeds 12 persons,Issue CRITICAL alert,CRITICAL,,,,,persons,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-OCC-CHM,AccessRule,Chemical Storage,,,Occupancy exceeds 4 persons,Issue CRITICAL alert; require hazmat training (RULE-CHM01-03),CRITICAL,,,,,persons,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-ACCESS-04,AccessRule,Chemical Storage,,,Unauthorized access detected,Immediate escalation to Safety Officer regardless of role,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-ACCESS-01,AccessRule,All Zones,,,Unauthorized role entry detected,"Log as OccupancyEvent::UnauthorisedAccess with person_id, zone, and timestamp",MANDATORY,,,,,,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-ACCESS-02,AccessRule,All Zones,,,Unauthorized access detected,Notify security personnel within 2 minutes,MANDATORY,,,,,,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-ACCESS-03,AccessRule,All Zones,,,Unauthorized access detected,Set authorized=NO in KG node and reference RULE-ACCESS-03,MANDATORY,,,,,,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-ACK-OP-WARN,AccessRule,Operator,,,WARNING alert acknowledged after 15 minutes,Escalate to supervisor,WARNING,,,,,,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-ACK-OP-CRIT,AccessRule,Operator,,,CRITICAL alert acknowledged after 3 minutes,Escalate to supervisor,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-ACK-TECH-WARN,AccessRule,Technician,,,WARNING alert acknowledged after 10 minutes,Escalate to supervisor,WARNING,,,,,,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-ACK-TECH-CRIT,AccessRule,Technician,,,CRITICAL alert acknowledged after 2 minutes,Escalate to supervisor,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-ACK-SUP-WARN,AccessRule,Supervisor,,,WARNING alert acknowledged after 5 minutes,Escalate to manager if unresolved,WARNING,,,,,,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-ACK-SUP-CRIT,AccessRule,Supervisor,,,CRITICAL alert acknowledged after 1 minute,Escalate to manager if unresolved,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-ACK-MAN-WARN,AccessRule,Manager,,,WARNING alert acknowledged after 15 minutes,Escalate to security if unresolved,WARNING,,,,,,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-ACK-MAN-CRIT,AccessRule,Manager,,,CRITICAL alert acknowledged after 5 minutes,Escalate to security if unresolved,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-ACK-SEC-WARN,AccessRule,Security,,,WARNING alert acknowledged after 20 minutes,Escalate to manager if unresolved,WARNING,,,,,,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
RULE-ACK-SEC-CRIT,AccessRule,Security,,,CRITICAL alert acknowledged after 5 minutes,Escalate to manager if unresolved,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,agentic_s42_run1,matrix
