ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,critHiExtra,warnHiExtra
RULE-THR-CHM01-HUM-CRIT,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,HUM,Humidity ≤ 15%RH at CHM01_CHEMICALSTORAGE,Activate desiccant system; inspect storage containers,CRITICAL,60,50,20,15,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-RND01-TMP-CRIT,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,TMP,Temperature ≤ 15°C at RND01_RDLAB,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP exceeds <value><unit>,reduce speed by 10% and notify QC,WARNING,26,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS drop below <value><unit>,inspect inlet valve within 5 min,WARNING,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP > <value><unit>,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ST02-03,MaintenanceRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR increase >1.5 A above nominal sustained >5 min,schedule maintenance,WARNING,,,,,,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,CNT below <value> pcs/min,check for label jam. Below <lower value> (CRITICAL): halt.,WARNING,,,110,100,pcs/min,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ST03-03,MaintenanceRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN STUCK >10 consecutive samples,sensor failure,WARNING,,,,,,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > <value><unit> (WARNING),schedule maintenance within 24 h,WARNING,0.20,,,,mm/s,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > <value><unit> (CRITICAL),emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP > <value><unit> (CRITICAL),automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,HUM,HUM above <value><unit>,inspect door seals and activate dehumidifier,WARNING,,85,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-CHM01-03,AccessRule,CHM01_CHEMICALSTORAGE,,,Only personnel with hazmat training (technician/supervisor/manager role) are authorised to enter Chemical Storage. UNAUTHORIZED_ACCESS must be escalated within 2 minutes.,,MANDATORY,,,,,min,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW MUST be maintained between <value1><unit> and <value2><unit>,,MANDATORY,128,,112,,L/min,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP MUST remain between <value1><unit> and <value2><unit>,,MANDATORY,195,,175,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN MUST be between <value1><unit> and <value2><unit>,,MANDATORY,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP MUST NOT exceed <value><unit>,,MANDATORY,25,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,TMP MUST remain between <value1><unit> and <value2><unit>,CRITICAL above <value3><unit> - notify QC and quarantine batch,MANDATORY,8,,0.5,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,12,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,TMP MUST remain between <value1><unit> and <value2><unit>,CRITICAL above <value3><unit> - activate emergency ventilation and notify safety officer immediately,MANDATORY,20,,10,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,25,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,HUM,HUM MUST NOT exceed <value1><unit>,Elevated humidity accelerates degradation of hygroscopic reagents. Activate desiccant system if HUM > <value2><unit>,MANDATORY,50,,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,45
RULE-RND01-01,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,TMP,TMP MUST remain between <value1><unit> and <value2><unit> for experimental validity,,MANDATORY,26,,18,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-RND01-02,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,HUM drift above <value1><unit>,activate dehumidifier. Above <value2><unit> (CRITICAL) - suspend sensitive experiments and inspect HVAC system,WARNING,,65,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,75,
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TMP,TMP,TMP above <value><unit>,check ventilation system. Occupant comfort is the primary criterion,WARNING,26,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUM,HUM,HUM above <value><unit>,inspect drainage and activate ventilation,WARNING,,70,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,,
MAINT-01,MaintenanceRule,ST04_PACKAGING,VIB,VIB,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,,,,,mm/s,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,,
MAINT-02,MaintenanceRule,ST02_SEALING,CUR,CUR,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,,,,,A,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,,
MAINT-03,MaintenanceRule,ST03_LABELLING,TEN,TEN,TEN STUCK >10 samples,Replace sensor,MEDIUM,,,,,samples,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,,
MAINT-04,MaintenanceRule,ST01_FILLING,PRS,PRS,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,,,bar,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,,
MAINT-05,MaintenanceRule,SRV01_SERVERROOM,TMP,TMP,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,,,,,°C,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,,
MAINT-06,MaintenanceRule,WRH01_WAREHOUSE,TMP,TMP,TMP DRIFT >2°C over 2 h,Inspect compressor; notify,QCRITICAL,,,,,°C,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,,
MAINT-07,MaintenanceRule,CHM01_CHEMICALSTORAGE,TMP,TMP,TMP >20°C for >10 min,Emergency ventilation; notify,CRITICAL,,,,,°C,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,,
MAINT-08,MaintenanceRule,RND01_RDLAB,HUM,HUM,HUM DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC,HIGH,,,,,%RH,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,,
RULE-OCC-SR,AccessRule,Server Room,,,zone occupancy exceeds 2 persons,CRITICAL; access badge required,CRITICAL,2,,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-OCC-GW,AccessRule,General Warehouse,,,zone occupancy exceeds 3 persons,WARNING,WARNING,,,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-OCC-ME,AccessRule,Main Entrance,,,zone occupancy exceeds 8 persons,Monitoring only,,,,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-OCC-RD,AccessRule,R&D Lab,,,zone occupancy exceeds 5 persons,WARNING; precision experiments may be disturbed,WARNING,,,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-OCC-CA,AccessRule,Cafeteria,,,zone occupancy exceeds 20 persons,Monitoring only - occupant comfort,,,,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ACCESS-01,AccessRule,,,,Any entry by an unauthorised role,"MUST be logged as OccupancyEvent::UnauthorisedAccess with person_id, zone, and timestamp",,,,,,,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ACCESS-02,AccessRule,,,,detection,Security personnel MUST be notified within 2 minutes,,,,,,min,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ACK-OP,AccessRule,,,,operator must acknowledge WARNING alarm,acknowledge within 15 minutes,MANDATORY,,,,,min,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ACK-TC,AccessRule,,,,technician must acknowledge WARNING alarm,acknowledge within 10 minutes,MANDATORY,,,,,min,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ACK-SU,AccessRule,,,,supervisor must acknowledge WARNING alarm,acknowledge within 5 minutes,MANDATORY,,,,,min,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ACK-SC,AccessRule,,,,security must acknowledge WARNING alarm,acknowledge within 20 minutes,MANDATORY,,,,,min,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ACK-OP-CRIT,AccessRule,,,,operator must acknowledge CRITICAL alarm,acknowledge within 3 minutes,MANDATORY,,,,,min,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ACK-TC-CRIT,AccessRule,,,,technician must acknowledge CRITICAL alarm,acknowledge within 2 minutes,MANDATORY,,,,,min,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ACK-MA,AccessRule,,,,manager must acknowledge WARNING alarm,acknowledge within 15 minutes,MANDATORY,,,,,min,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ACK-MA-CRIT,AccessRule,,,,manager must acknowledge CRITICAL alarm,acknowledge within 5 minutes,MANDATORY,,,,,min,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-OCC-PA,AccessRule,Production Area,,,zone occupancy exceeds 10 persons,WARNING,WARNING,,,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-OCC-PA-CRIT,AccessRule,Production Area,,,zone occupancy exceeds 12 persons,CRITICAL,CRITICAL,12,,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-OCC-CS,AccessRule,Chemical Storage,,,zone occupancy exceeds 4 persons,CRITICAL; hazmatraining required - see RULE-CHM01-03,CRITICAL,4,,,,persons,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ACCESS-03,AccessRule,,,,Unauthorised access detected,The KG node MUST include authorized=NO and a reference to this rule,,,,,,,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
RULE-ACCESS-04,AccessRule,Chemical Storage,,,Any UNAUTHORIZED_ACCESS,triggers immediate escalation to the Safety Officer regardless of role,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,gemma3:12b,few_shot_static,,,,,,
