ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,warnHiiii
WRH01-2,FaultRule,WRH01_WAREHOUSE,HUM,humidity,HUM above 85%RH,inspect door seals and activate dehumidifier,warning,85,85,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
CHM01-1,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,temperature,TMP between 10°C and 20°C; CRITICAL above 25°C,activate emergency ventilation and notify safety officer immediately,critical,25,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
CHM01-2,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,humidity,HUM ≤ 50%RH; elevated humidity above 45%RH requires desiccant activation,activate desiccant system if HUM >45%RH,warning,50,45,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
CHM01-3,UnauthorizedAccessRule,CHM01_CHEMICALSTORAGE,,,UnaUTHORIZED_ACCESS,escalate within 2 minutes,critical,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
RND01-1,ThresholdRule,RND01_RDLAB,TMP,temperature,TMP between 18°C and 26°C,maintain TMP within 18-26°C,warning,26,26,18,18,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
RND01-2,FaultRule,RND01_RDLAB,HUM,humidity,HUM drift above 65%RH; above 75%RH (CRITICAL) suspend sensitive experiments,activate dehumidifier; suspend experiments and inspect HVAC,critical,75,65,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
CAF01-1,FaultRule,CAF01_CAFETERIA,TMP,temperature,TMP above 26°C,check ventilation system; occupant comfort criterion,warning,26,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
CAF01-2,FaultRule,CAF01_CAFETERIA,HUM,humidity,HUM above 70%RH,inspect drainage and activate ventilation,warning,70,70,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R1,ThresholdRule,ST01_FILLING,TMP,Temperature,readings > WARN_HI OR readings < CRIT_LO,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R2,ThresholdRule,ST01_FILLING,PRS,Pressure,readings > WARN_HI OR readings < CRIT_LO,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R3,ThresholdRule,ST01_FILLING,FLW,Flow,readings > WARN_HI OR readings < CRIT_LO,Inspect and notify maintenance,CRITICAL,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R4,ThresholdRule,ST02_SEALING,TMP,Temperature,readings > WARN_HI OR readings < CRIT_LO,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R5,ThresholdRule,ST02_SEALING,PRS,Pressure,readings > WARN_HI OR readings < CRIT_LO,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R6,ThresholdRule,ST02_SEALING,CUR,Current,readings > WARN_HI OR readings < CRIT_LO,E-STOP; inspect load; verify ST04-SPD,CRITICAL,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R7,ThresholdRule,ST03_LABELLING,SPD,Speed,readings > WARN_HI OR readings < CRIT_LO,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R8,ThresholdRule,ST03_LABELLING,TEN,Tension,readings > WARN_HI OR readings < CRIT_LO,Inspect and notify maintenance,CRITICAL,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R9,ThresholdRule,ST03_LABELLING,CNT,Count,readings > WARN_HI OR readings < CRIT_LO,E-STOP labelling; inspect label path,CRITICAL,140,130,110,100,pcs/m in,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R10,ThresholdRule,ST04_PACKAGING,VIB,Vibration,readings > WARN_HI OR readings < CRIT_LO,E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R11,ThresholdRule,ST04_PACKAGING,CUR,Current,readings > WARN_HI OR readings < CRIT_LO,Inspect and notify maintenance,CRITICAL,11,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R12,ThresholdRule,ST04_PACKAGING,SPD,Speed,readings > WARN_HI OR readings < CRIT_LO,Inspect and notify maintenance,CRITICAL,1.6,1.4,1,0.85,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R13,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,readings > WARN_HI OR readings < CRIT_LO,Activate backup cooling; prepare controlled PLC shutdown,CRITICAL,28,25,18,16,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R14,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,readings > WARN_HI OR readings < CRIT_LO,Inspect and notify maintenance,CRITICAL,70,60,30,25,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R15,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,readings > WARN_HI OR readings < CRIT_LO,Activate backup refrigeration; notify,CRITICAL,12,8,0.5,-1,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R16,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,readings > WARN_HI OR readings < CRIT_LO,Inspect and notify maintenance,CRITICAL,90,85,60,55,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R17,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,readings > WARN_HI OR readings < CRIT_LO,Activate emergency ventilation; notify safety officer immediately,CRITICAL,25,20,10,5,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R18,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,readings > WARN_HI OR readings < CRIT_LO,Activate desiccant system; inspect storage containers for leaks,CRITICAL,60,50,20,15,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R19,ThresholdRule,RND01_RDLAB,TMP,Temperature,readings > WARN_HI OR readings < CRIT_LO,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R20,ThresholdRule,RND01_RDLAB,HUM,Humidity,readings > WARN_HI OR readings < CRIT_LO,Suspend experiments; inspect HVAC system,CRITICAL,75,65,35,25,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R21,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,readings > WARN_HI OR readings < CRIT_LO,Inspect and notify maintenance,CRITICAL,30,26,17,14,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
R22,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,readings > WARN_HI OR readings < CRIT_LO,Inspect and notify maintenance,CRITICAL,80,70,35,25,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
MAINT-01,ThresholdRule,ST04_PACKAGING,VIB,VIB,DRIFT > 0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,,,,,mm/s,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
MAINT-02,ThresholdRule,ST02_SEALING,CUR,CUR,DRIFT > 1.0 A for 30+ min,Inspect sealing jaw,HIGH,,,,,A,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
MAINT-03,EventCountRule,ST03_LABELLING,TEN,TEN,STUCK > 10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
MAINT-04,ThresholdRule,ST01_FILLING,PRS,PRS,PRS < 3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,,,bar,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
MAINT-05,ThresholdRule,SRV01_SERVERROOM,TMP,TMP,TMP > 25°C for >5 min,Activate secondary cooling,CRITICAL,25,,,,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
MAINT-06,ThresholdRule,WRH01_WAREHOUSE,TMP,TMP,DRIFT > 2°C over 2 h,Inspect compressor; notify QC,CRITICAL,,,,,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
MAINT-07,ThresholdRule,CHM01_CHEMSTORAGE,TMP,TMP,TMP > 20°C for >10 min,Emergency ventilation; notify safety officer,CRITICAL,20,,,,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
MAINT-08,ThresholdRule,RND01_RDLAB,HUM,HUM,DRIFT > 10%RH over 60 min,Activate dehumidifier; check HVAC drain,HIGH,,,,,%RH,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
THRESHOLD-RULE-PROD-CRITHIGH,ThresholdRule,ProductionArea,Occupancy,person_count,>,RAISE_CRITICAL_ALERT,CRITICAL,12,10,,,persons,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
THRESHOLD-RULE-PROD-WARNHIGH,ThresholdRule,ProductionArea,Occupancy,person_count,<=,RAISE_WARNING_ALERT,WARNING,,10,,,persons,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
THRESHOLD-RULE-SEVR-CRITHIGH,ThresholdRule,ServerRoom,Occupancy,person_count,>=,BLOCK_ACCESS,CRITICAL,2,,,,persons,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
THRESHOLD-RULE-WAREHOUSE-WARNHIGH,ThresholdRule,GeneralWarehouse,Occupancy,person_count,>=,RAISE_WARNING_ALERT,WARNING,,3,,,persons,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
THRESHOLD-RULE-CHEM-STORAGE-CRITHIGH,ThresholdRule,ChemicalStorage,Occupancy,person_count,>=,BLOCK_ACCESS,CRITICAL,4,,,,persons,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
THRESHOLD-RULE-LAB-WARNHIGH,ThresholdRule,RLD_LAB,Occupancy,person_count,>=,RAISE_WARNING_ALERT,WARNING,5,,,,persons,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,5
RULE-ACCESS-01,UnauthorizedAccess,AllZones,UnauthorisedRole,role_check,=,LOG_OCCUPANCY_EVENT(UNAUTHORIZED_ACCESS),INFO,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
RULE-ACCESS-02,Escalation,SecurityOffice,Detection,event,TIME_SINCE_EVENT > 2min,NOTIFY_SECURITY_IMMEDIATELY,CRITICAL,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
RULE-ACCESS-03,MetadataRequirement,KGNode,AuthorizedFlag,property,=,SET_authorized_EQ_NO,INFO,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
RULE-ACCESS-04,ChemicalStorageTolerance,ChemicalStorage,UnauthorizedAccess,event,=,IMMEDIATE_ESCALATION_TO_SAFETY_OFFICER,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
