ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,type
RULE-SRV01-02,CriticalShutdownRule,SRV01_SERVERROOM,TMP,Temperature,exceeds 28,automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,between,remain,ALERT,8,,0.5,0.5,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,above,inspect door seals and activate dehumidifier,WARN,85,85,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-CHM01-01,CriticalActivationRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,above 25,activate emergency ventilation and notify safety officer immediately,CRITICAL,25,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,exceeds 45,activate desiccant system,WARN,45,45,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-CHM01-03,UnauthorizedAccessRule,CHM01_CHEMICALSTORAGE,,,Only personnel with hazmat training... authorized,escalate UNAUTHORIZED_ACCESS within 2 min,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-RND01-01,RangeRule,RND01_RDLAB,TMP,Temperature,between,maintain,ALERT,26,,,18,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,Humidity,above 65,activate dehumidifier,WARN,65,65,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-RND01-03,CriticalSuspendRule,RND01_RDLAB,HUM,Humidity,above 75,suspend sensitive experiments and inspect HVAC system,CRITICAL,75,,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,above,check ventilation system,WARN,26,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,above,inspect drainage and activate ventilation,WARN,70,70,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
SRV01_SERVERROOM,TMP,SRV01_SERVERROOM,TMP,Temperature,critLo < warnLo < nominal < warnHi < critHi,Activate backup cooling; prepare controlled PLC shutdown,ALARM,28,25,18,16,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
SRV01_SERVERROOM,HUM,SRV01_SERVERROOM,HUM,Humidity,critLo < warnLo < nominal < warnHi < critHi,Inspect and notify maintenance,WARN,70,60,30,25.0,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
WRH01_WAREHOUSE,TMP,WRH01_WAREHOUSE,TMP,Temperature,critLo < warnLo < nominal < warnHi < critHi,Activate backup refrigeration; notify,ALARM,12,8,0.5,-1,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
WRH01_WAREHOUSE,HUM,WRH01_WAREHOUSE,HUM,Humidity,critLo < warnLo < nominal < warnHi < critHi,Inspect and notify maintenance,WARN,90,85,60,55,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
CHM01_CHEMICALSTORAGE,TMP,CHM01_CHEMICALSTORAGE,TMP,Temperature,critLo < warnLo < nominal < warnHi < critHi,Activate emergency ventilation; notify safety officer immediately,CRITICAL,25,20,10,5,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
CHM01_CHEMICALSTORAGE,HUM,CHM01_CHEMICALSTORAGE,HUM,Humidity,critLo < warnLo < nominal < warnHi < critHi,Activate desiccant system; inspect storage containers for leaks,WARN,60,50,20,15,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RND01_RDLAB,TMP,RND01_RDLAB,TMP,Temperature,critLo < warnLo < nominal < warnHi < critHi,Inspect and notify maintenance,WARN,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RND01_RDLAB,HUM,RND01_RDLAB,HUM,Humidity,critLo < warnLo < nominal < warnHi < critHi,Suspend experiments; inspect HVAC system,WARN,75,65,35,25,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
CAF01_CAFETERIA,TMP,CAF01_CAFETERIA,TMP,Temperature,critLo < warnLo < nominal < warnHi < critHi,Inspect and notify maintenance,WARN,30,26,17,14,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
CAF01_CAFETERIA,HUM,CAF01_CAFETERIA,HUM,Humidity,critLo < warnLo < nominal < warnHi < critHi,Inspect and notify maintenance,WARN,80,70,35,25,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAINT-01,THRESHOLD,ST04_PACKAGING,VIB,VIBRATION,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,0.05,,,,mm/s,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAINT-02,THRESHOLD,ST02_SEALING,CUR,CURRENT,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,1.0,,,,A,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAINT-03,THRESHOLD,ST03_LABELLING,TEN,TENSION,TEN STUCK >10 samples,Replace sensor,MEDIUM,10,,,,samples,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAINT-04,THRESHOLD,ST01_FILLING,PRS,PRESSURE,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,3.3,,3.3,,bar,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAINT-05,THRESHOLD,SRV01_SERVERROOM,TMP,TEMPERATURE,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,25,,,,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAINT-06,THRESHOLD,WRH01_WAREHOUSE,TMP,TEMPERATURE,TMP DRIFT >2°C over 2 h,Inspect compressor; notify QC,CRITICAL,2,,,,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAINT-07,THRESHOLD,CHM01_CHEMICALSTORAGE,TMP,TEMPERATURE,TMP >20°C for >10 min,Emergency ventilation; notify safety officer,CRITICAL,20,,,,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAINT-08,THRESHOLD,RND01_RDLAB,HUM,HUMIDITY,HUM DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC drain,HIGH,10,,,,%RH,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
,,ST02_SEALING,CUR,,,Verify trend and reset ST04 speed setpoint,NONE,,,,,,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,CURRENT
,,SRV01_SERVERROOM,TMP,,,Reduce temperature; verify PLC heartbeats; clear STUCK alarms,NONE,,,,,,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,TEMPERATURE
,,WRH01_WAREHOUSE,TMP,,,Restore temperature <8°C; notify QC; place batch on HOLD in ERP,NONE,,,,,,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,TEMPERATURE
MAX_OCCUPANCY-PRODNUMBER,OccupancyRule,Production Area,,,MAX_PEOPLE,WARNING,WARNING,12,10,,,persons,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAX_OCCUPANCY-PRODNUMBER,OccupancyRule,Production Area,,,MAX_PEOPLE,CRITICAL,CRITICAL,12,,,,persons,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAX_OCCUPANCY-SERVROOM,OccupancyRule,Server Room,,,MAX_PEOPLE,CRITICAL,CRITICAL,2,,,,persons,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAX_OCCUPANCY-WAREHOUSE,OccupancyRule,General Warehouse,,,MAX_PEOPLE,WARNING,WARNING,4,3,,,persons,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAX_OCCUPANCY-ENTRANCE,OccupancyRule,Main Entrance,,,MAX_PEOPLE,MONITORING,NONE,8,,,,persons,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAX_OCCUPANCY-CHEMSTORAGE,OccupancyRule,Chemical Storage,,,MAX_PEOPLE,CRITICAL,CRITICAL,4,,,,persons,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAX_OCCUPANCY-LAB,OccupancyRule,R&D; Lab,,,MAX_PEOPLE,WARNING,WARNING,6,5,,,persons,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
MAX_OCCUPANCY-CAFETERIA,OccupancyRule,Cafeteria,,,MAX_PEOPLE,MONITORING,NONE,20,,,,persons,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
ACK-MAXTIME-OPERATOR,AcknowledgmentRule,,,,WARNING,ACK_TIME,WARNING,15,,,,minutes,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
ACK-MAXTIME-OPERATOR,AcknowledgmentRule,,,,CRITICAL,ACK_TIME,CRITICAL,3,,,,minutes,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
ACK-MAXTIME-TECHNICIAN,AcknowledgmentRule,,,,WARNING,ACK_TIME,WARNING,10,,,,minutes,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
ACK-MAXTIME-TECHNICIAN,AcknowledgmentRule,,,,CRITICAL,ACK_TIME,CRITICAL,2,,,,minutes,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
ACK-MAXTIME-SUPERVISOR,AcknowledgmentRule,,,,WARNING,ACK_TIME,WARNING,5,,,,minutes,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
ACK-MAXTIME-SUPERVISOR,AcknowledgmentRule,,,,CRITICAL,ACK_TIME,CRITICAL,1,,,,minutes,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
ACK-MAXTIME-MANAGER,AcknowledgmentRule,,,,WARNING,ACK_TIME,WARNING,15,,,,minutes,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
ACK-MAXTIME-MANAGER,AcknowledgmentRule,,,,CRITICAL,ACK_TIME,CRITICAL,5,,,,minutes,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
ACK-MAXTIME-SECURITY,AcknowledgmentRule,,,,WARNING,ACK_TIME,WARNING,20,,,,minutes,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
ACK-MAXTIME-SECURITY,AcknowledgmentRule,,,,CRITICAL,ACK_TIME,CRITICAL,5,,,,minutes,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ACCESS-01,AccessControlRule,,,,,LOG_EVENT,NONE,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ACCESS-02,EscalationRule,,,,UNAUTHORIZED_ACCESS,NOTIFY_SECURITY,NONE,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ACCESS-03,ProtocolRule,,,,,REQUIRE_ANNOTATION,NONE,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ACCESS-04,ChemicalSafetyRule,Chemical Storage,,,UNAUTHORIZED_ACCESS,ESCALATE_TO_SAFETY_OFFICER,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
