ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,actionType,metadata,nominal,nominalTolerance,subtype
RULE-ST03-03,StabilityRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,STUCK >10 consecutive samples,sensor failure - replace,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,> 0.20,schedule maintenance within 24 h,WARNING,0.20,,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,> 0.35,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_LINE_SPD,Speed,< 1.00 (without operator command),verify RULE-ST02-04 (CUR drift),CRITICAL,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,Temperature,<= 25.0,NOT exceed,,25.0,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,Temperature,> 28.0,automatic shutdown of all PLC nodes,CRITICAL,28.0,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-WRH01-01_WARN,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,Temperature,> 8.0,monitor batch quality,WARNING,8.0,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-WRH01-01_CRIT,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,Temperature,> 12.0,notify QC and quarantine batch,CRITICAL,12.0,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,Humidity,> 85.0,inspect door seals and activate dehumidifier,WARNING,85.0,,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,Temperature,between 10.0 and 20.0,remain,,20.0,,10.0,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-CHM01-01_CRIT,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,Temperature,> 25.0,activate emergency ventilation and notify safety officer,CRITICAL,25.0,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-CHM01-02_WARN,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,Humidity,> 45.0,activate desiccant system,WARNING,45.0,,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-CHM01-02_CRIT,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,Humidity,> 50.0,NOT exceed (safety risk),CRITICAL,50.0,,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-CHM01-03,SecurityRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_ACCESS,AccessControl,UNAUTHORIZED_ACCESS detected,escalate to security within 2 min,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-RND01-01,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,Temperature,between 18.0 and 26.0,remain for experimental validity,,26.0,,18.0,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-RND01-02_WARN,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,Humidity,> 65.0,activate dehumidifier,WARNING,65.0,,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-RND01-02_CRIT,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,Humidity,> 75.0,suspend sensitive experiments and inspect HVAC,CRITICAL,75.0,,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TMP,Temperature,> 26.0,check ventilation system,WARNING,26.0,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUM,Humidity,> 70.0,inspect drainage and activate ventilation,WARNING,70.0,,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,,Temperature < 15.0°C or > 30.0°C,Inspect and notify maintenance,CRITICAL,30.0,26.0,18.0,15.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,maintenance,,22.0,±0.4,
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,,Pressure < 3.0 bar or > 4.8 bar,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3.0,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,maintenance,,3.8,±0.05,
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,,Flow < 105.0 L/min or > 135.0 L/min,Inspect and notify maintenance,CRITICAL,135.0,128.0,112.0,105.0,L/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,maintenance,,120.0,±1.5,
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,,Temperature < 165.0°C or > 210.0°C,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210.0,195.0,175.0,165.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,emergencyStop,,185.0,±1.2,
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_PRS,,Pressure < 4.2 bar or > 6.2 bar,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,maintenance,,5.2,±0.08,
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,,Current < 9.5 A or > 15.0 A,E-STOP; inspect load; verify ST04-SPD,CRITICAL,15.0,13.5,11.0,9.5,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,emergencyStop,,12.4,±0.3,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_SPD,,Speed < 0.65 m/s or > 1.05 m/s,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,maintenance,,0.85,±0.01,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,,Tension < 1.5 N or > 3.0 N,Inspect and notify maintenance,CRITICAL,3.0,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,maintenance,,2.2,±0.05,
RULE-ST03-03,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,,Count < 100 pcs/min or > 140 pcs/min,E-STOP labelling; inspect label path,CRITICAL,140.0,130.0,110.0,100.0,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,emergencyStop,,120.0,±2.0,
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,,Vibration < 0.01 mm/s or > 0.35 mm/s,E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,emergencyStop,,0.12,±0.005,
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_CUR,,Current < 6.5 A or > 11.0 A,Inspect and notify maintenance,CRITICAL,11.0,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,maintenance,,8.7,±0.2,
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPD,,Speed < 0.85 m/s or > 1.6 m/s,Inspect and notify maintenance,CRITICAL,1.6,1.4,1.0,0.85,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,maintenance,,1.2,±0.02,
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,,Temperature < 16.0°C or > 28.0°C,Activate backup cooling; prepare controlled PLC,CRITICAL,28.0,25.0,18.0,16.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,systemRecovery,,21.0,±0.3,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_HUM,,Humidity < 25%RH or > 70%RH,Inspect and notify maintenance,CRITICAL,70.0,60.0,30.0,25.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,maintenance,,45.0,±1.0,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,,Temperature < -1.0°C or > 12.0°C,Activate backup refrigeration; notify,CRITICAL,12.0,8.0,0.5,-1.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,systemRecovery,,4.0,±0.5,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,,Humidity < 55%RH or > 90%RH,Inspect and notify maintenance,CRITICAL,90.0,85.0,60.0,55.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,maintenance,,75.0,±1.5,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,,Temperature < 5.0°C or > 25.0°C,Activate emergency ventilation; notify safety officer,CRITICAL,25.0,20.0,10.0,5.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,safety,,15.0,±0.3,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,,Humidity < 15%RH or > 60%RH,Activate desiccant system; inspect storage containers,CRITICAL,60.0,50.0,20.0,15.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,safety,,35.0,±1.0,
RULE-RND01-01,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,,Temperature < 15.0°C or > 30.0°C,Inspect and notify maintenance,CRITICAL,30.0,26.0,18.0,15.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,maintenance,,22.0,±0.2,
RULE-RND01-02,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,,Humidity < 25%RH or > 75%RH,Suspend experiments; inspect HVAC system,CRITICAL,75.0,65.0,35.0,25.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,safety,,50.0,±1.0,
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TMP,,Temperature < 14.0°C or > 30.0°C,Inspect and notify maintenance,CRITICAL,30.0,26.0,17.0,14.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,maintenance,,21.0,±0.4,
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUM,,Humidity < 25%RH or > 80%RH,Inspect and notify maintenance,CRITICAL,80.0,70.0,35.0,25.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,maintenance,,55.0,±1.5,
RULE-ANOMALY-01,AnomalyDetectionRule,,,,"Transient deviation >3s, <5min; reading >CRIT",Log as AnomalyEvent::Spike,WARNING,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,log,,,,Spike
RULE-ANOMALY-02,AnomalyDetectionRule,,,,Monotonic deviation >15min; slope >0.1 s/min for 5+ readings,Log as AnomalyEvent::Drift,WARNING,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,log,,,,Drift
RULE-ANOMALY-03,AnomalyDetectionRule,,,,Unchanged >10 consecutive readings; std(last 10) < 0.001×nominal,Log as AnomalyEvent::StuckSensor,WARNING,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,log,,,,StuckSensor
RULE-ANOMALY-04,AnomalyDetectionRule,,,,Sustained WARN violation >10min or >WARN for 20+ readings,Log as AnomalyEvent::OutOfRange,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,log,,,,OutOfRange
RULE-ANOMALY-05,AnomalyDetectionRule,,,,Causally linked to another station; onset within 90min of cause,Log as AnomalyEvent::Correlated,WARNING,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,log,,,,Correlated
MAINT-01,DriftRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIBRATION,DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,0.05,,,,mm/s,SOP_003_MaintenanceRules.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
MAINT-02,DriftRule,ST02_SEALING,ST02_SEALING_CUR,CURRENT,DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,1.0,,,,A,SOP_003_MaintenanceRules.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
MAINT-03,StateRule,ST03_LABELLING,ST03_LABELLING_TEN,TENSION_SENSOR,STUCK >10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
MAINT-04,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRESSURE,<3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,3.3,,bar,SOP_003_MaintenanceRules.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
MAINT-05,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TEMPERATURE,>25.0°C for >5 min,Activate secondary cooling,CRITICAL,25.0,,,,°C,SOP_003_MaintenanceRules.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
MAINT-06,DriftRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TEMPERATURE,DRIFT >2.0°C over 2 h,Inspect compressor; notify,QCRITICAL,2.0,,,,°C,SOP_003_MaintenanceRules.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
MAINT-07,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TEMPERATURE,>20.0°C for >10 min,Emergency ventilation; notify safety,CRITICAL,20.0,,,,°C,SOP_003_MaintenanceRules.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
MAINT-08,DriftRule,RND01_RDLAB,RND01_RDLAB_HUM,HUMIDITY,DRIFT >10.0%RH over 60 min,Activate dehumidifier; check HVAC,HIGH,10.0,,,,%RH,SOP_003_MaintenanceRules.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-CHM01-03,ThresholdRule,CHM01,CHM01_OCCUPANCY,occupancy_counter,occupancy > 4,CRITICAL alarm; require hazmat training verification,CRITICAL,4.0,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ACCESS-01,EventRule,PERSONNEL_ZONE,PERSONNEL_ZONE_ACCESS,access_control,unauthorized role detected,"log OccupancyEvent::UnauthorisedAccess with person_id, zone, and timestamp",WARNING,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ACCESS-02,NotificationRule,SECURITY_SYSTEM,SECURITY_ALARM,alarm_notification,unauthorized access detected,notify security personnel within 2 minutes,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ACCESS-03,DataValidationRule,KG_NODE,KG_NODE_AUTHORIZATION,authorization_flag,unauthorized access detected,set authorized=NO and reference RULE-ACCESS-03,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ACCESS-04,EscalationRule,CHM01,CHM01_ACCESS,access_control,unauthorized access detected,immediate escalation to Safety Officer,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-PROD-01-01,ThresholdRule,PROD01,PROD01_OCCUPANCY,occupancy_counter,occupancy > 10,WARNING alarm,WARNING,12.0,10.0,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-PROD-01-02,ThresholdRule,PROD01,PROD01_OCCUPANCY,occupancy_counter,occupancy > 12,CRITICAL alarm,CRITICAL,12.0,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-SRV-01-01,ThresholdRule,SRV01,SRV01_OCCUPANCY,occupancy_counter,occupancy > 2,CRITICAL alarm; require access badge verification,CRITICAL,2.0,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-SRV-01-02,AccessRule,SRV01,SRV01_ACCESS,access_control,access attempt without badge,deny access; log event,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-WRH-01-01,ThresholdRule,WRH01,WRH01_OCCUPANCY,occupancy_counter,occupancy > 3,WARNING alarm,WARNING,4.0,3.0,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-RDL-01-01,ThresholdRule,RDL01,RDL01_OCCUPANCY,occupancy_counter,occupancy > 5,WARNING alarm; precision experiments may be disturbed,WARNING,6.0,5.0,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ACK-01,AcknowledgmentRule,ALARM_SYSTEM,ALARM_ACKNOWLEDGMENT,alarm_acknowledgment,WARNING alarm triggered,acknowledge within [role-specific time],WARNING,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,"{'operator': 15, 'technician': 10, 'supervisor': 5, 'manager': 15, 'security': 20}",,,
RULE-ACK-02,AcknowledgmentRule,ALARM_SYSTEM,ALARM_ACKNOWLEDGMENT,alarm_acknowledgment,CRITICAL alarm triggered,acknowledge within [role-specific time],CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,"{'operator': 3, 'technician': 2, 'supervisor': 1, 'manager': 5, 'security': 5}",,,
RULE-ZONE-ROLE-01,AuthorizationRule,PROD01,PROD01_ACCESS,access_control,unauthorized role detected,deny access; log event,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,"{'allowedRoles': ['operator', 'technician', 'supervisor', 'manager', 'security']}",,,
RULE-ZONE-ROLE-02,AuthorizationRule,SRV01,SRV01_ACCESS,access_control,unauthorized role detected,deny access; log event,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,"{'allowedRoles': ['technician', 'supervisor', 'manager', 'security']}",,,
RULE-ZONE-ROLE-03,AuthorizationRule,CHM01,CHM01_ACCESS,access_control,unauthorized role detected,deny access; escalate to Safety Officer,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,"{'allowedRoles': ['technician', 'supervisor', 'manager', 'security']}",,,
