ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,critH1
RULE-ST04-01,THRESHOLD,ST04_PACKAGING,VIB,VIBRATION,VIB > 0.20 mm/s,Schedule Maintenance,WARNING,0.35,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-ST04-02,THRESHOLD,ST04_PACKAGING,VIB,VIBRATION,VIB > 0.35 mm/s,EMERGENCY_STOP,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-ST04-03,THRESHOLD,ST04_PACKAGING,SPD,SPEED,SPD < 1.00 m/s,VERIFY_RULE-ST02-04,MEDIUM,1.00,,,,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-SRV01-01,THRESHOLD,SRV01_SERVERROOM,TMP,TEMPERATURE,TMP <= 25°C,MONITOR,INFO,25,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-SRV01-02,THRESHOLD,SRV01_SERVERROOM,TMP,TEMPERATURE,TMP > 28°C,SHUTDOWN_ALL_PLC,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-WRH01-01,THRESHOLD,WRH01_WAREHOUSE,TMP,TEMPERATURE,TMP BETWEEN 0.5°C AND 8°C,MONITOR,INFO,8,,0.5,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-WRH01-02,THRESHOLD,WRH01_WAREHOUSE,HUM,HUMIDITY,HUM > 85%RH,INSPECT_SEALS,MEDIUM,12,85,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-CHM01-01,THRESHOLD,CHM01_CHEMICALSTORAGE,TMP,TEMPERATURE,TMP > 25°C,EMERGENCY_VENTILATION,CRITICAL,25,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-CHM01-02,THRESHOLD,CHM01_CHEMICALSTORAGE,HUM,HUMIDITY,HUM > 45%RH,ACTIVATE_DESICCANT,MEDIUM,50,45,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-CHM01-03,THRESHOLD,CHM01_CHEMICALSTORAGE,UNAUTHORIZED_ACCESS,ACCESS_CONTROL,UNAUTHORIZED_ACCESS,ESCALATE,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-RND01-01,THRESHOLD,RND01_RDLAB,TMP,TEMPERATURE,TMP BETWEEN 18°C AND 26°C,MONITOR,INFO,26,18,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-RND01-02,THRESHOLD,RND01_RDLAB,HUM,HUMIDITY,HUM > 65%RH,ACTIVATE_DEHUMIDIFIER,LOW,75,65,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-CAF01-01,THRESHOLD,CAF01_CAFETERIA,TMP,TEMPERATURE,TMP > 26°C,CHECK_VENTILATION,INFO,26,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-CAF01-02,THRESHOLD,CAF01_CAFETERIA,HUM,HUMIDITY,HUM > 70%RH,CHECK_DRAINAGE,INFO,70,,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
ST01_FILLING_TMP,ST01_FILLING,ST01_FILLING,TMP,Temperature,temperature reading,Inspect and notify maintenance,critical,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
ST01_FILLING_PRS,ST01_FILLING,ST01_FILLING,PRS,Pressure,pressure reading,Inspect and notify maintenance,critical,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
ST01_FILLING_FLW,ST01_FILLING,ST01_FILLING,FLW,Flow,flow rate,Inspect and notify maintenance,critical,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
ST02_SEALING_TMP,ST02_SEALING,ST02_SEALING,TMP,Temperature,temperature reading,E-STOP ST02/ST03/ST04; inspect element,critical,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
ST02_SEALING_PRS,ST02_SEALING,ST02_SEALING,PRS,Pressure,pressure reading,Inspect and notify maintenance,critical,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
ST02_SEALING_CUR,ST02_SEALING,ST02_SEALING,CUR,Current,current reading,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),critical,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
ST03_LABELLING_SPD,ST03_LABELLING,ST03_LABELLING,SPD,Speed,speed reading,Inspect and notify maintenance,critical,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
ST03_LABELLING_TEN,ST03_LABELLING,ST03_LABELLING,TEN,Tension,tension reading,Inspect and notify maintenance,critical,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
ST03_LABELLING_CNT,ST03_LABELLING,ST03_LABELLING,CNT,CountRate,count rate,E-STOP labelling; inspect label path,critical,140,130,110,100,pcs/m in,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
ST04_PACKAGING_VIB,ST04_PACKAGING,ST04_PACKAGING,VIB,Vibration,vibration reading,E-STOP; inspect main bearing,critical,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
ST04_PACKAGING_CUR,ST04_PACKAGING,ST04_PACKAGING,CUR,Current,current reading,Inspect and notify maintenance,critical,11,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
ST04_PACKAGING_SPD,ST04_PACKAGING,ST04_PACKAGING,SPD,Speed,speed reading,Inspect and notify maintenance,critical,1.6,1.4,1.0,0.85,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
SRV01_SERVERROOM_TMP,SRV01_SERVERROOM,SRV01_SERVERROOM,TMP,Temperature,temperature reading,Activate backup cooling; prepare controlled PLC shutdown,critical,28,25,18,16,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
SRV01_SERVERROOM_HUM,SRV01_SERVERROOM,SRV01_SERVERROOM,HUM,Humidity,humidity reading,Inspect and notify maintenance,critical,70,60,30,25,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
WRH01_WAREHOUSE_TMP,WRH01_WAREHOUSE,WRH01_WAREHOUSE,TMP,Temperature,temperature reading,Activate backup refrigeration; notify,critical,12,8,0.5,-1,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
WRH01_WAREHOUSE_HUM,WRH01_WAREHOUSE,WRH01_WAREHOUSE,HUM,Humidity,humidity reading,Inspect and notify maintenance,critical,90,85,60,55,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
CHM01_CHEMICALSTORAGE_TMP,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE,TMP,Temperature,temperature reading,Activate emergency ventilation; notify safety officer immediately,critical,25,20,10,5,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
CHM01_CHEMICALSTORAGE_HUM,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE,HUM,Humidity,humidity reading,Activate desiccant system; inspect storage containers for leaks,critical,60,50,20,15,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RND01_RDLAB_TMP,RND01_RDLAB,RND01_RDLAB,TMP,Temperature,temperature reading,Inspect and notify maintenance,critical,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RND01_RDLAB_HUM,RND01_RDLAB,RND01_RDLAB,HUM,Humidity,humidity reading,Suspend experiments; inspect HVAC system,critical,75,65,35,25,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
CAF01_CAFETERIA_TMP,CAF01_CAFETERIA,CAF01_CAFETERIA,TMP,Temperature,temperature reading,Inspect and notify maintenance,critical,30,26,17,14,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
CAF01_CAFETERIA_HUM,CAF01_CAFETERIA,CAF01_CAFETERIA,HUM,Humidity,humidity reading,Inspect and notify maintenance,critical,80,70,35,25,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
Occupancy-001,OccupancyThresholdRule,ProductionArea,Occupancy,Count,current > 10,WARN,WARNING,,10,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
Occupancy-002,OccupancyThresholdRule,ProductionArea,Occupancy,Count,current > 12,CRITICAL,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
Occupancy-003,OccupancyThresholdRule,ServerRoom,Occupancy,Count,current > 2,CRITICAL,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,2
Occupancy-004,OccupancyThresholdRule,GeneralWarehouse,Occupancy,Count,current > 3,WARN,WARNING,,3,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
Occupancy-005,OccupancyThresholdRule,ChemicalStorage,Occupancy,Count,current > 4,CRITICAL,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,4
Occupancy-006,OccupancyThresholdRule,RLD,Occupancy,Count,current > 5,WARN,WARNING,,5,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
