ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,causal_dependency,depends_on,pattern,primary_fault,resolution_steps,secondary_effect,station_1,station_2
RULE-RND01-03,ThresholdRule,RND01_RDLAB,HUM,Humidity,Above 75%RH,suspend sensitive experiments and inspect HVAC system,CRITICAL,0.75,,,,fraction,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,Above 26°C,check ventilation system,WARNING,26,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,Above 70%RH,inspect drainage and activate ventilation,WARNING,0.7,0.7,0.7,,fraction,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
MAINT-01,ThresholdRule,ST04_PACKAGING,VIB,VIB,VIB_DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,0.05,,,,mm/s,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
MAINT-02,ThresholdRule,ST02_SEALING,CUR,CUR,CUR_DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,1.0,,,,A,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
MAINT-03,ThresholdRule,ST03_LABELLING,TEN,TEN,TEN_STUCK >10 samples,Replace sensor,MEDIUM,10,,,,samples,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
MAINT-04,ThresholdRule,ST01_FILLING,PRS,PRS,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,3.3,,3.3,,bar,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
MAINT-05,ThresholdRule,SRV01_SERVERROOM,TMP,TMP,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,25,,,,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
MAINT-06,ThresholdRule,WRH01_WAREHOUSE,TMP,TMP,TMP_DRIFT >2°C over 2 h,Inspect compressor; notify QC,CRITICAL,2,,,,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
MAINT-07,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,TMP,TMP >20°C for >10 min,Emergency ventilation; notify safety officer,CRITICAL,20,,,,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
MAINT-08,ThresholdRule,RND01_RDLAB,HUM,HUM,HUM_DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC drain,HIGH,10,,,,%RH,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
PATTERN-1,CorrelatedFaultFaultPattern,,,,,,,,,,,,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,ST02_SEALING overload causes conveyor speed drop via electrical coupling.,ST02_CUR trend and ST04 speed control link.,,ST02_SEALING-CUR,"['Verify ST02-CUR trend.', 'Inspect sealing.', 'Reset ST04 speed setpoint.']",ST04_PACKAGING-SPD ↓,ST02_SEALING,ST04_PACKAGING
PATTERN-2,CorrelatedFaultDependencies,,,,,,,,,,,,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,Server Room overheating increases scan time → apparent stuck readings.,SRV01 temperature and SCADA scan cycle.,SRV01-TMP,SRV01-TMP >25°C,"['Reduce SRV01-TMP <25°C.', 'Verify PLC heartbeats.', 'Clear STUCK alarms.']",SCADA latency,,
PATTERN-3,CorrelatedFaultResolution,,,,,,,,,,,,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,Cold warehouse drift raises product quality risk.,WRH01 temperature and batch quality monitoring.,WRH01-TMP,WRH01-TMP DRIFT >2°C over 2 h,"['Restore WRH01-TMP <8°C.', 'Notify QC.', 'Place batch on HOLD in ERP.']",QC HOLD,,
RULE-CHM01-03,COMPLIANCE,Chemical Storage,maxPersons,occupancy,>= 4,TRIGGER_REPORTS,CRITICAL,4,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-ACCESS-02,ACTION,Security,detection,access,any,NOTIFY,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
