ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,desc
RULE-ST04-01,ThresholdRule,ST04,ST04_PACKAGING_VIB,VIB,>,schedule_maintenance,WARNING,0.35,0.20,0,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,"VIB > 0.20 mm/s is warning, schedule maintenance within 24 h"
RULE-ST04-02,ThresholdRule,ST04,ST04_PACKAGING_VIB,VIB,>,emergency_stop,CRITICAL,0.35,0.20,0,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,VIB > 0.35 mm/s is critical; emergency stop and inspect bearings
RULE-ST04-03,EventRule,ST04,ST04_PACKAGING_SPD,SPD,<,verify_rule_st02_04,,0,1.00,0,1.00,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,SPD drops below 1.00 m/s without command - verify rule ST02-04
RULE-SRV01-01,ThresholdRule,SRV01,SRV01_SERVER_TEMP,TEMP,not_exceed,monitor_temp,,25,0,0,0,C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,Temperature must not exceed 25°C
RULE-SRV01-02,ThresholdRule,SRV01,SRV01_SERVER_TEMP,TEMP,>,emergency_shutdown,CRITICAL,28,25,0,,C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,Temperature > 28°C triggers automatic controlled shutdown of PLC nodes
RULE-WRH01-01,ThresholdRule,WRH01,WRH01_WAREHOUSE_TEMP,TEMP,between,maintain_temp,,12,0,0.5,8,C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,Temperature must remain between 0.5°C and 8°C; critical above 12°C
RULE-WRH01-02,ThresholdRule,WRH01,WRH01_WAREHOUSE_HUM,HUM,>,inspect_doors_activate_dehumidifier,,85,85,0,0,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,Humidity above 85%RH triggers inspection and dehumidifier activation
RULE-CHM01-01,ThresholdRule,CHM01,CHM01_CHEMICAL_TEMP,TEMP,>,activate_ventilation_notify_safety_officer,CRITICAL,25,20,10,,C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,Temperature above 25°C triggers emergency ventilation and safety officer notification
RULE-CHM01-02,ThresholdRule,CHM01,CHM01_CHEMICAL_HUM,HUM,>,activate_desiccant,,50,45,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,Humidity >45%RH activates desiccant system; critical at 50%RH
RULE-CHM01-03,EventRule,CHM01,UNAUTHORIZED_ACCESS,ACCESS,detected,escalate,CRITICAL,0,0,0,,event,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,Unauthorized access must be escalated within 2 minutes
RULE-RND01-01,ThresholdRule,RND01,RND01_LAB_TEMP,TEMP,between,validate_experiment,,26,0,0,18,C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,Temperature must remain between 18°C and 26°C for experimental validity
RULE-RND01-02,ThresholdRule,RND01,RND01_LAB_HUM,HUM,>,activate_dehumidifier,,75,0,65,65,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,Humidity drift above 65%RH triggers dehumidifier; above 75%RH is critical
RULE-CAF01-01,ThresholdRule,CAF01,CAF01_CAFETERIA_TEMP,TEMP,>,check_ventilation,,26,0,0,0,C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,Temperature above 26°C checks ventilation system
RULE-CAF01-02,ThresholdRule,CAF01,CAF01_CAFETERIA_HUM,HUM,>,inspect_drainage_activate_ventilation,,70,70,0,0,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,Humidity above 70%RH inspects drainage and activates ventilation
ST01_FILLING_TMP,ThresholdRule,ST01,ST01_FILLING_TMP,TMP,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
ST01_FILLING_PR,ThresholdRule,ST01,ST01_FILLING_PR,PRS,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
ST01_FILLING_FL,ThresholdRule,ST01,ST01_FILLING_FL,FLW,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
ST02_SEALING_T,ThresholdRule,ST02,ST02_SEALING_T,TMP,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
ST02_SEALING_P,ThresholdRule,ST02,ST02_SEALING_P,PRS,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
ST02_SEALING_C,ThresholdRule,ST02,ST02_SEALING_C,CUR,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
ST03_LABELLING_S,ThresholdRule,ST03,ST03_LABELLING_S,SPD,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
ST03_LABELLING_T,ThresholdRule,ST03,ST03_LABELLING_T,TEN,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
ST03_LABELLING_C,ThresholdRule,ST03,ST03_LABELLING_C,CNT,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,E-STOP labelling; inspect label path,CRITICAL,140,130,110,100,pcs/m in,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
ST04_PACKAGING_V,ThresholdRule,ST04,ST04_PACKAGING_V,VIB,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
ST04_PACKAGING_C,ThresholdRule,ST04,ST04_PACKAGING_C,CUR,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,11,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
ST04_PACKAGING_S,ThresholdRule,ST04,ST04_PACKAGING_S,SPD,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,1.6,1.4,1,0.85,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
SRV01_SERVERROOM_T,ThresholdRule,SRV01,SRV01_SERVERROOM_T,TMP,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Activate backup cooling; prepare controlled PLC shutdown,CRITICAL,28,25,18,16,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
SRV01_SERVERROOM_H,ThresholdRule,SRV01,SRV01_SERVERROOM_H,HUM,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,70,60,30,25,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
WRH01_WAREHOUSE_T,ThresholdRule,WRH01,WRH01_WAREHOUSE_T,TMP,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Activate backup refrigeration; notify,CRITICAL,12,8,0.5,-1,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
WRH01_WAREHOUSE_H,ThresholdRule,WRH01,WRH01_WAREHOUSE_H,HUM,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,90,85,60,55,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
CHM01_CHEMICALSTORAGE_T,ThresholdRule,CHM01,CHM01_CHEMICALSTORAGE_T,TMP,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Activate emergency ventilation; notify safety officer immediately,CRITICAL,25,20,10,5,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
CHM01_CHEMICALSTORAGE_H,ThresholdRule,CHM01,CHM01_CHEMICALSTORAGE_H,HUM,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Activate desiccant system; inspect storage containers for leaks,CRITICAL,60,50,20,15,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
RND01_RDLAB_T,ThresholdRule,RND01,RND01_RDLAB_T,TMP,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
RND01_RDLAB_H,ThresholdRule,RND01,RND01_RDLAB_H,HUM,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Suspend experiments; inspect HVAC system,CRITICAL,75,65,35,25,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
CAF01_CAFETERIA_T,ThresholdRule,CAF01,CAF01_CAFETERIA_T,TMP,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,30,26,17,14,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
CAF01_CAFETERIA_H,ThresholdRule,CAF01,CAF01_CAFETERIA_H,HUM,CRIT_LO < WARN_LO < Nominal < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,80,70,35,25,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
MAINT-01,ThresholdRule,ST04_PACKAGING,VIB,VIB,DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,,,,,mm/s,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
MAINT-02,ThresholdRule,ST02_SEALING,CUR,CUR,DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,,,,,A,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
MAINT-03,EventDriven,ST03_LABELLING,TEN,TEN,STUCK >10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
MAINT-04,ThresholdRule,ST01_FILLING,PRS,PRS,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,,3.3,bar,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
MAINT-05,ThresholdRule,SRV01_SERVERROOM,TMP,TMP,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,25,,,,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
MAINT-06,ThresholdRule,WRH01_WAREHOUSE,TMP,TMP,DRIFT >2°C over 2 h,Inspect compressor; notify QC,CRITICAL,2,,,-2,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
MAINT-07,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,TMP,TMP >20°C for >10 min,Emergency ventilation; notify safety officer,CRITICAL,20,,,,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
MAINT-08,ThresholdRule,RND01_RDLAB,HUM,HUM,DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC drain,HIGH,10,,,-10,%RH,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
CT001,CorrelatedFault,ST02_SEALING,CUR,CUR,Trend influences ST04_PACKAGING speed,"1.Verify ST02-CUR trend.
2.Inspect sealing.
3.Reset ST04 speed setpoint.",HIGH,,,,,,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
CT002,CorrelatedFault,SRV01_SERVERROOM,TMP,TMP,Temp influences SCADA latency,"1.Reduce SRV01-TMP <25°C.
2.Verify PLC heartbeats.
3.Clear STUCK alarms.",MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
CT003,CorrelatedFault,WRH01_WAREHOUSE,TMP,TMP,Cold drift impacts QC hold,"1.Restore WRH01-TMP <8°C.
2.Notify QC.
3.Place batch on HOLD in ERP.",CRITICAL,,,,,,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
SOP-004-RULE-ACCESS-01,ThresholdRule,ENC07_AVIARY,ENC07_AVIARY_LUX,Lux,MONITORING_ONLY,LOG_EVENT,INFO,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
SOP-004-RULE-ACCESS-03,SecurityEvent,ENC07_AVIARY,ENC07_AVIARY_ENROLL,Enrollment,AUTHORIZED=NO,REJECT_ACCESS,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
SOP-004-RULE-ACCESS-04,EscalationRule,CHM01_CHEMSTORAGE,CHM01_CHEMSTORAGE_MOVEMENT,Movement,UNAUTHORIZED_ACCESS,ESCALATE_TO_SAFETY_OFFICER,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,
