ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,detection
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,remain between,N/A,,26,,18,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,MUST be maintained,,,,128,112,,L/min,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-CHM01-03,AccessRule,CHM01_CHEMICALSTORAGE,UNAUTHORIZED_ACCESS,AccessControl,,escalate within 2 minutes,,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,CUR increase >1.5 A above nominal sustained >5 min,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ANOMALY_DRIFT,AnomalyDetectionRule,,,,Slope > 0.1 s/min for 5+ readings,Trigger AnomalyEvent::Drift,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,Monotonic deviation >15 min
ANOMALY_STUCK,AnomalyDetectionRule,,,,reading std(last 10) < 0.001 × nominal,Trigger AnomalyEvent::StuckSensor,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,Unchanged >10 consecutive readings
ANOMALY_OUT_OF_RANGE,AnomalyDetectionRule,,,,Sustained WARN violation >10 min or >WARN for 20+ readings,Trigger AnomalyEvent::OutOfRange,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ANOMALY_CORRELATED,AnomalyDetectionRule,,,,Onset within 90 min of cause,Trigger AnomalyEvent::Correlated,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,Causally linked to another station
ST01_FILLING_TMP_CRIT_LO,ThresholdRule,ST01_FILLING,TMP,Temperature,≤,Inspect and notify maintenance,CRITICAL,,,,15,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST01_FILLING_TMP_WARN_LO,ThresholdRule,ST01_FILLING,TMP,Temperature,>,Inspect and notify maintenance,WARNING,,,18,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST01_FILLING_TMP_WARN_HI,ThresholdRule,ST01_FILLING,TMP,Temperature,≥,Inspect and notify maintenance,WARNING,,26,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST01_FILLING_TMP_CRIT_HI,ThresholdRule,ST01_FILLING,TMP,Temperature,>,Inspect and notify maintenance,CRITICAL,30,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST01_FILLING_PRS_CRIT_LO,ThresholdRule,ST01_FILLING,PRS,Pressure,≤,Inspect and notify maintenance,CRITICAL,,,,3,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST01_FILLING_PRS_WARN_LO,ThresholdRule,ST01_FILLING,PRS,Pressure,>,Inspect and notify maintenance,WARNING,,,3.3,,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST01_FILLING_PRS_WARN_HI,ThresholdRule,ST01_FILLING,PRS,Pressure,≥,Inspect and notify maintenance,WARNING,,4.2,,,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST01_FILLING_PRS_CRIT_HI,ThresholdRule,ST01_FILLING,PRS,Pressure,>,Inspect and notify maintenance,CRITICAL,4.8,,,,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST01_FILLING_FLW_CRIT_LO,ThresholdRule,ST01_FILLING,FLW,Flow,≤,Inspect and notify maintenance,CRITICAL,,,,105,L/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST01_FILLING_FLW_WARN_LO,ThresholdRule,ST01_FILLING,FLW,Flow,>,Inspect and notify maintenance,WARNING,,,112,,L/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST01_FILLING_FLW_WARN_HI,ThresholdRule,ST01_FILLING,FLW,Flow,≥,Inspect and notify maintenance,WARNING,,128,,,L/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST01_FILLING_FLW_CRIT_HI,ThresholdRule,ST01_FILLING,FLW,Flow,>,Inspect and notify maintenance,CRITICAL,135,,,,L/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST02_SEALING_TMP_CRIT_LO,ThresholdRule,ST02_SEALING,TMP,Temperature,≤,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,,,,165,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST02_SEALING_TMP_WARN_LO,ThresholdRule,ST02_SEALING,TMP,Temperature,>,E-STOP ST02/ST03/ST04; inspect element,WARNING,,,175,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST02_SEALING_TMP_WARN_HI,ThresholdRule,ST02_SEALING,TMP,Temperature,≥,E-STOP ST02/ST03/ST04; inspect element,WARNING,,195,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST02_SEALING_TMP_CRIT_HI,ThresholdRule,ST02_SEALING,TMP,Temperature,>,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST02_SEALING_PRS_CRIT_LO,ThresholdRule,ST02_SEALING,PRS,Pressure,≤,Inspect and notify maintenance,CRITICAL,,,,4.2,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST02_SEALING_PRS_WARN_LO,ThresholdRule,ST02_SEALING,PRS,Pressure,>,Inspect and notify maintenance,WARNING,,,4.6,,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST02_SEALING_PRS_WARN_HI,ThresholdRule,ST02_SEALING,PRS,Pressure,≥,Inspect and notify maintenance,WARNING,,5.7,,,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST02_SEALING_PRS_CRIT_HI,ThresholdRule,ST02_SEALING,PRS,Pressure,>,Inspect and notify maintenance,CRITICAL,6.2,,,,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST02_SEALING_CUR_CRIT_LO,ThresholdRule,ST02_SEALING,CUR,Current,≤,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,,,,9.5,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST02_SEALING_CUR_WARN_LO,ThresholdRule,ST02_SEALING,CUR,Current,>,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),WARNING,,,11,,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST02_SEALING_CUR_WARN_HI,ThresholdRule,ST02_SEALING,CUR,Current,≥,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),WARNING,,13.5,,,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST02_SEALING_CUR_CRIT_HI,ThresholdRule,ST02_SEALING,CUR,Current,>,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,,,,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST03_LABELLING_SPD_CRIT_LO,ThresholdRule,ST03_LABELLING,SPD,Speed,≤,Inspect and notify maintenance,CRITICAL,,,,0.65,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST03_LABELLING_SPD_WARN_LO,ThresholdRule,ST03_LABELLING,SPD,Speed,>,Inspect and notify maintenance,WARNING,,,0.75,,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST03_LABELLING_SPD_WARN_HI,ThresholdRule,ST03_LABELLING,SPD,Speed,≥,Inspect and notify maintenance,WARNING,,0.95,,,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST03_LABELLING_SPD_CRIT_HI,ThresholdRule,ST03_LABELLING,SPD,Speed,>,Inspect and notify maintenance,CRITICAL,1.05,,,,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST03_LABELLING_TEN_CRIT_LO,ThresholdRule,ST03_LABELLING,TEN,Tension,≤,Inspect and notify maintenance,CRITICAL,,,,1.5,N,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST03_LABELLING_TEN_WARN_LO,ThresholdRule,ST03_LABELLING,TEN,Tension,>,Inspect and notify maintenance,WARNING,,,1.8,,N,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST03_LABELLING_TEN_WARN_HI,ThresholdRule,ST03_LABELLING,TEN,Tension,≥,Inspect and notify maintenance,WARNING,,2.6,,,N,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST03_LABELLING_TEN_CRIT_HI,ThresholdRule,ST03_LABELLING,TEN,Tension,>,Inspect and notify maintenance,CRITICAL,3,,,,N,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST03_LABELLING_CNT_CRIT_LO,ThresholdRule,ST03_LABELLING,CNT,Count,≤,E-STOP labelling; inspect label path,CRITICAL,,,,100,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST03_LABELLING_CNT_WARN_LO,ThresholdRule,ST03_LABELLING,CNT,Count,>,E-STOP labelling; inspect label path,WARNING,,,110,,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST03_LABELLING_CNT_WARN_HI,ThresholdRule,ST03_LABELLING,CNT,Count,≥,E-STOP labelling; inspect label path,WARNING,,130,,,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST03_LABELLING_CNT_CRIT_HI,ThresholdRule,ST03_LABELLING,CNT,Count,>,E-STOP labelling; inspect label path,CRITICAL,140,,,,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST04_PACKAGING_VIB_CRIT_LO,ThresholdRule,ST04_PACKAGING,VIB,Vibration,≤,E-STOP; inspect main bearing,CRITICAL,,,,0.01,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST04_PACKAGING_VIB_WARN_LO,ThresholdRule,ST04_PACKAGING,VIB,Vibration,>,E-STOP; inspect main bearing,WARNING,,,0.02,,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST04_PACKAGING_VIB_WARN_HI,ThresholdRule,ST04_PACKAGING,VIB,Vibration,≥,E-STOP; inspect main bearing,WARNING,,0.2,,,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST04_PACKAGING_VIB_CRIT_HI,ThresholdRule,ST04_PACKAGING,VIB,Vibration,>,E-STOP; inspect main bearing,CRITICAL,0.35,,,,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST04_PACKAGING_CUR_CRIT_LO,ThresholdRule,ST04_PACKAGING,CUR,Current,≤,Inspect and notify maintenance,CRITICAL,,,,6.5,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST04_PACKAGING_CUR_WARN_LO,ThresholdRule,ST04_PACKAGING,CUR,Current,>,Inspect and notify maintenance,WARNING,,,7.5,,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST04_PACKAGING_CUR_WARN_HI,ThresholdRule,ST04_PACKAGING,CUR,Current,≥,Inspect and notify maintenance,WARNING,,9.8,,,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST04_PACKAGING_CUR_CRIT_HI,ThresholdRule,ST04_PACKAGING,CUR,Current,>,Inspect and notify maintenance,CRITICAL,11,,,,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST04_PACKAGING_SPD_CRIT_LO,ThresholdRule,ST04_PACKAGING,SPD,Speed,≤,Inspect and notify maintenance,CRITICAL,,,,0.85,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST04_PACKAGING_SPD_WARN_LO,ThresholdRule,ST04_PACKAGING,SPD,Speed,>,Inspect and notify maintenance,WARNING,,,1,,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST04_PACKAGING_SPD_WARN_HI,ThresholdRule,ST04_PACKAGING,SPD,Speed,≥,Inspect and notify maintenance,WARNING,,1.4,,,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
ST04_PACKAGING_SPD_CRIT_HI,ThresholdRule,ST04_PACKAGING,SPD,Speed,>,Inspect and notify maintenance,CRITICAL,1.6,,,,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
SRV01_SERVERROOM_TMP_CRIT_LO,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,≤,Activate backup cooling; prepare controlled PLC,CRITICAL,,,,16,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
SRV01_SERVERROOM_TMP_WARN_LO,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,>,Activate backup cooling; prepare controlled PLC,WARNING,,,18,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
SRV01_SERVERROOM_TMP_WARN_HI,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,≥,Activate backup cooling; prepare controlled PLC,WARNING,,25,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
SRV01_SERVERROOM_TMP_CRIT_HI,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,>,Activate backup cooling; prepare controlled PLC,CRITICAL,28,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
SRV01_SERVERROOM_HUM_CRIT_LO,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,≤,Inspect and notify maintenance,CRITICAL,,,,25,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
SRV01_SERVERROOM_HUM_WARN_LO,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,>,Inspect and notify maintenance,WARNING,,,30,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
SRV01_SERVERROOM_HUM_WARN_HI,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,≥,Inspect and notify maintenance,WARNING,,60,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
SRV01_SERVERROOM_HUM_CRIT_HI,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,>,Inspect and notify maintenance,CRITICAL,70,,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
WRH01_WAREHOUSE_TMP_CRIT_LO,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,≤,Activate backup refrigeration; notify,CRITICAL,,,,-1,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
WRH01_WAREHOUSE_TMP_WARN_LO,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,>,Activate backup refrigeration; notify,WARNING,,,0.5,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
WRH01_WAREHOUSE_TMP_WARN_HI,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,≥,Activate backup refrigeration; notify,WARNING,,8,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
WRH01_WAREHOUSE_TMP_CRIT_HI,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,>,Activate backup refrigeration; notify,CRITICAL,12,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
WRH01_WAREHOUSE_HUM_CRIT_LO,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,≤,Inspect and notify maintenance,CRITICAL,,,,55,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
WRH01_WAREHOUSE_HUM_WARN_LO,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,>,Inspect and notify maintenance,WARNING,,,60,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
WRH01_WAREHOUSE_HUM_WARN_HI,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,≥,Inspect and notify maintenance,WARNING,,85,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
WRH01_WAREHOUSE_HUM_CRIT_HI,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,>,Inspect and notify maintenance,CRITICAL,90,,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
CHM01_CHEMICALSTORAGE_TMP_CRIT_LO,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,≤,Activate emergency ventilation; notify safety officer,CRITICAL,,,,5,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
CHM01_CHEMICALSTORAGE_TMP_WARN_LO,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,>,Activate emergency ventilation; notify safety officer,WARNING,,,10,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
CHM01_CHEMICALSTORAGE_TMP_WARN_HI,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,≥,Activate emergency ventilation; notify safety officer,WARNING,,20,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
CHM01_CHEMICALSTORAGE_TMP_CRIT_HI,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,>,Activate emergency ventilation; notify safety officer,CRITICAL,25,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
CHM01_CHEMICALSTORAGE_HUM_CRIT_LO,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,≤,Activate desiccant system; inspect storage containers,CRITICAL,,,,15,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
