ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,critLoUnit,pattern,primaryFault,resolutionSteps,secondaryEffect
RULE-ST04-01,Parameter,ST04_PACKAGING,VIB,Vibration,VIB > 0.20 mm/s (WARNING) - schedule maintenance within 24 h,Schedule maintenance within 24 h,Warning,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-ST04-02,Parameter,ST04_PACKAGING,VIB,Vibration,VIB > 0.35 mm/s (CRITICAL) - emergency stop; inspect bearings,Emergency stop; inspect bearings,Critical,0.35,0.35,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-ST04-03,Parameter,ST04_PACKAGING,SPD,Speed,SPD drops below 1.00 m/s without operator command - verify RULE-ST02-04,Verify RULE-ST02-04,Warning,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-SRV01-01,Parameter,SRV01_SERVERROOM,TMP,Temperature,TMP MUST NOT exceed 25°C,Maintain below 25°C,Info,25,25,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-SRV01-02,Parameter,SRV01_SERVERROOM,TMP,Temperature,TMP > 28°C (CRITICAL) - automatic controlled shutdown of all PLC nodes,Automatic controlled shutdown of all PLC nodes,Critical,28,28,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-WRH01-01,Parameter,WRH01_WAREHOUSE,TMP,Temperature,TMP MUST remain between 0.5°C and 8°C. CRITICAL above 12°C - notify QC and quarantine batch,Notify QC and quarantine batch if above 12°C,Warning,12,12,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-WRH01-02,Parameter,WRH01_WAREHOUSE,HUM,Humidity,HUM above 85%RH - inspect door seals and activate dehumidifier,Inspect door seals and activate dehumidifier,Warning,,85,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-CHM01-01,Parameter,CHM01_CHEMICALSTORAGE,TMP,Temperature,TMP MUST remain between 10°C and 20°C. CRITICAL above 25°C - activate emergency ventilation and notify safety officer immediately,Activate emergency ventilation and notify safety officer,Critical,25,25,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-CHM01-02,Parameter,CHM01_CHEMICALSTORAGE,HUM,Humidity,HUM MUST NOT exceed 50%RH. Elevated humidity accelerates degradation... Activate desiccant system if HUM >45%RH,Activate desiccant system if HUM >45%RH,Warning,,45,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-CHM01-03,AccessControl,CHM01_CHEMICALSTORAGE,,,Only authorized personnel may enter; unauthorized access must be escalated within 2 minutes,Escalate access violation within 2 minutes,Critical,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-RND01-01,Parameter,RND01_RDLAB,TMP,Temperature,TMP MUST remain between 18°C and 26°C for experimental validity,Maintain within range,Info,,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-RND01-02,Parameter,RND01_RDLAB,HUM,Humidity,HUM drift above 65%RH - activate dehumidifier. Above 75%RH (CRITICAL) - suspend sensitive experiments and inspect HVAC system,Activate dehumidifier; if HUM >75%RH suspend experiments and inspect HVAC,Critical,75,75,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-CAF01-01,Parameter,CAF01_CAFETERIA,TMP,Temperature,TMP above 26°C - check ventilation system. Occupant comfort is the primary criterion,Check ventilation system,Warning,26,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-CAF01-02,Parameter,CAF01_CAFETERIA,HUM,Humidity,HUM above 70%RH - inspect drainage and activate ventilation,Inspect drainage and activate ventilation,Warning,,70,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST01_TMP,ThresholdRule,ST01,TMP,Temperature,SensorValue < 15.0,Inspect and notify maintenance,CRIT,,,,15,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,>,,,,
ST01_TMP_WARN,ThresholdRule,ST01,TMP,Temperature,SensorValue < 18.0,Inspect and notify maintenance,WARN,,,18,,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST01_TMP_NOMINAL,ThresholdRule,ST01,TMP,Temperature,SensorValue = 22.0,Normal operation,NOMINAL,,,,,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST01_TMP_WARN_HI,ThresholdRule,ST01,TMP,Temperature,SensorValue > 26.0,Inspect and notify maintenance,WARN,26,,,,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST01_TMP_CRIT_HI,ThresholdRule,ST01,TMP,Temperature,SensorValue > 30.0,Inspect and notify maintenance,CRIT,30,,,,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST01_PRS,ThresholdRule,ST01,PRS,Pressure,SensorValue < 3.0,Inspect and notify maintenance,CRIT,,,3.3,3,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST01_PRS_WARN,ThresholdRule,ST01,PRS,Pressure,SensorValue < 3.3,Inspect and notify maintenance,WARN,,,3.3,,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST01_PRS_NOMINAL,ThresholdRule,ST01,PRS,Pressure,SensorValue = 3.8,Normal operation,NOMINAL,,,,,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST01_PRS_WARN_HI,ThresholdRule,ST01,PRS,Pressure,SensorValue > 4.2,Inspect and notify maintenance,WARN,4.2,,,,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST01_PRS_CRIT_HI,ThresholdRule,ST01,PRS,Pressure,SensorValue > 4.8,Inspect and notify maintenance,CRIT,4.8,,,,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST01_FLW,ThresholdRule,ST01,FLW,Flow,SensorValue < 105,Inspect and notify maintenance,CRIT,,,112,105,L/min,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST01_FLW_WARN,ThresholdRule,ST01,FLW,Flow,SensorValue < 112,Inspect and notify maintenance,WARN,,,112,,L/min,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST01_FLW_NOMINAL,ThresholdRule,ST01,FLW,Flow,SensorValue = 120.0,Normal operation,NOMINAL,,,,,L/min,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST01_FLW_WARN_HI,ThresholdRule,ST01,FLW,Flow,SensorValue > 128,Inspect and notify maintenance,WARN,128,,,,L/min,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST01_FLW_CRIT_HI,ThresholdRule,ST01,FLW,Flow,SensorValue > 135,Inspect and notify maintenance,CRIT,135,,,,L/min,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST02_TMP,ThresholdRule,ST02,TMP,Temperature,SensorValue < 165,E-STOP ST02/ST03/ST04; inspect element,CRIT,,,175,165,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST02_TMP_WARN,ThresholdRule,ST02,TMP,Temperature,SensorValue < 175,E-STOP ST02/ST03/ST04; inspect element,WARN,,,175,,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST02_TMP_NOMINAL,ThresholdRule,ST02,TMP,Temperature,SensorValue = 185.0,Normal operation,NOMINAL,,,,,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST02_TMP_WARN_HI,ThresholdRule,ST02,TMP,Temperature,SensorValue > 195,E-STOP ST02/ST03/ST04; inspect element,WARN,195,,,,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST02_TMP_CRIT_HI,ThresholdRule,ST02,TMP,Temperature,SensorValue > 210,E-STOP ST02/ST03/ST04; inspect element,CRIT,210,,,,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST02_PRSS,ThresholdRule,ST02,PRS,Pressure,SensorValue < 4.2,Inspect and notify maintenance,CRIT,,,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST02_PRSS_WARN,ThresholdRule,ST02,PRS,Pressure,SensorValue < 4.6,Inspect and notify maintenance,WARN,,,4.6,,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST02_PRSS_NOMINAL,ThresholdRule,ST02,PRS,Pressure,SensorValue = 5.2,Normal operation,NOMINAL,,,,,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST02_PRSS_WARN_HI,ThresholdRule,ST02,PRS,Pressure,SensorValue > 5.7,Inspect and notify maintenance,WARN,5.7,,,,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST02_PRSS_CRIT_HI,ThresholdRule,ST02,PRS,Pressure,SensorValue > 6.2,Inspect and notify maintenance,CRIT,6.2,,,,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST02_CUR,ThresholdRule,ST02,CUR,Current,SensorValue > 15,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRIT,15,,,,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST02_CUR_WARN,ThresholdRule,ST02,CUR,Current,SensorValue > 13.5,Inspect and notify maintenance,WARN,13.5,,,,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST02_CUR_NOMINAL,ThresholdRule,ST02,CUR,Current,SensorValue = 12.4,Normal operation,NOMINAL,,,,,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST02_CUR_WARN_LO,ThresholdRule,ST02,CUR,Current,SensorValue < 11,Inspect and notify maintenance,WARN,,,11,,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST02_CUR_CRIT_LO,ThresholdRule,ST02,CUR,Current,SensorValue < 9.5,Inspect and notify maintenance,CRIT,,,9.5,,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST03_SPD,ThresholdRule,ST03,SPD,Speed,SensorValue < 0.65,Inspect and notify maintenance,CRIT,,,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST03_SPD_WARN,ThresholdRule,ST03,SPD,Speed,SensorValue < 0.75,Inspect and notify maintenance,WARN,,,0.75,,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST03_SPD_NOMINAL,ThresholdRule,ST03,SPD,Speed,SensorValue = 0.85,Normal operation,NOMINAL,,,,,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST03_SPD_WARN_HI,ThresholdRule,ST03,SPD,Speed,SensorValue > 0.95,Inspect and notify maintenance,WARN,0.95,,,,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST03_SPD_CRIT_HI,ThresholdRule,ST03,SPD,Speed,SensorValue > 1.05,Inspect and notify maintenance,CRIT,1.05,,,,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST03_TEN,ThresholdRule,ST03,TEN,Tension,SensorValue < 1.5,Inspect and notify maintenance,CRIT,,,1.8,1.5,N,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST03_TEN_WARN,ThresholdRule,ST03,TEN,Tension,SensorValue < 1.8,Inspect and notify maintenance,WARN,,,1.8,,N,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST03_TEN_NOMINAL,ThresholdRule,ST03,TEN,Tension,SensorValue = 2.2,Normal operation,NOMINAL,,,,,N,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST03_TEN_WARN_HI,ThresholdRule,ST03,TEN,Tension,SensorValue > 2.6,Inspect and notify maintenance,WARN,2.6,,,,N,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST03_TEN_CRIT_HI,ThresholdRule,ST03,TEN,Tension,SensorValue > 3,Inspect and notify maintenance,CRIT,3,,,,N,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST03_CNT,ThresholdRule,ST03,CNT,CountRate,SensorValue < 100,E-STOP labelling; inspect label path,CRIT,,,110,100,pcs/m in,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST03_CNT_WARN,ThresholdRule,ST03,CNT,CountRate,SensorValue < 110,Inspect and notify maintenance,WARN,,,110,,pcs/m in,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST03_CNT_NOMINAL,ThresholdRule,ST03,CNT,CountRate,SensorValue = 120.0,Normal operation,NOMINAL,,,,,pcs/m in,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST03_CNT_WARN_HI,ThresholdRule,ST03,CNT,CountRate,SensorValue > 130,Inspect and notify maintenance,WARN,130,,,,pcs/m in,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST03_CNT_CRIT_HI,ThresholdRule,ST03,CNT,CountRate,SensorValue > 140,Inspect and notify maintenance,CRIT,140,,,,pcs/m in,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST04_VIB,ThresholdRule,ST04,VIB,Vibration,SensorValue < 0.01,E-STOP; inspect main bearing,CRIT,,,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST04_VIB_WARN,ThresholdRule,ST04,VIB,Vibration,SensorValue < 0.02,E-STOP; inspect main bearing,WARN,,,0.02,,mm/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST04_VIB_NOMINAL,ThresholdRule,ST04,VIB,Vibration,SensorValue = 0.12,Normal operation,NOMINAL,,,,,mm/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST04_VIB_WARN_HI,ThresholdRule,ST04,VIB,Vibration,SensorValue > 0.2,Inspect and notify maintenance,WARN,0.2,,,,mm/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST04_VIB_CRIT_HI,ThresholdRule,ST04,VIB,Vibration,SensorValue > 0.35,Inspect and notify maintenance,CRIT,0.35,,,,mm/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST04_CUR,ThresholdRule,ST04,CUR,Current,SensorValue < 6.5,Inspect and notify maintenance,CRIT,,,7.5,6.5,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST04_CUR_WARN,ThresholdRule,ST04,CUR,Current,SensorValue < 7.5,Inspect and notify maintenance,WARN,,,7.5,,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST04_CUR_NOMINAL,ThresholdRule,ST04,CUR,Current,SensorValue = 8.7,Normal operation,NOMINAL,,,,,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST04_CUR_WARN_HI,ThresholdRule,ST04,CUR,Current,SensorValue > 9.8,Inspect and notify maintenance,WARN,9.8,,,,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST04_CUR_CRIT_HI,ThresholdRule,ST04,CUR,Current,SensorValue > 11,Inspect and notify maintenance,CRIT,11,,,,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST04_SPD,ThresholdRule,ST04,SPD,Speed,SensorValue < 0.85,Inspect and notify maintenance,CRIT,,,1,0.85,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST04_SPD_WARN,ThresholdRule,ST04,SPD,Speed,SensorValue < 1,Inspect and notify maintenance,WARN,,,1,,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
ST04_SPD_NOMINAL,ThresholdRule,ST04,SPD,Speed,SensorValue = 1.2,Normal operation,NOMINAL,,,,,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST04_SPD_WARN_HI,ThresholdRule,ST04,SPD,Speed,SensorValue > 1.4,Inspect and notify maintenance,WARN,1.4,,,,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
ST04_SPD_CRIT_HI,ThresholdRule,ST04,SPD,Speed,SensorValue > 1.6,Inspect and notify maintenance,CRIT,1.6,,,,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
SRV01_TMP,ThresholdRule,SRV01,TMP,Temperature,SensorValue < 16,Activate backup cooling; prepare controlled PLC shutdown,CRIT,,,18,16,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
SRV01_TMP_WARN,ThresholdRule,SRV01,TMP,Temperature,SensorValue < 18,Activate backup cooling; prepare controlled PLC shutdown,WARN,,,18,,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,<,,,,
SRV01_TMP_NOMINAL,ThresholdRule,SRV01,TMP,Temperature,SensorValue = 21.0,Normal operation,NOMINAL,,,,,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
SRV01_TMP_WARN_HI,ThresholdRule,SRV01,TMP,Temperature,SensorValue > 25,Activate backup cooling; prepare controlled PLC shutdown,WARN,25,,,,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
SRV01_TMP_CRIT_HI,ThresholdRule,SRV01,TMP,Temperature,SensorValue > 28,Activate backup cooling; prepare controlled PLC shutdown,CRIT,28,,,,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
