ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,run_id,model_name,paradigm,level,text_truncated,llm_turns
RULE-SRV01-01,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_TMP,TMP,TMP MUST NOT exceed 25°C.,,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-SRV01-02,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_TMP,TMP,TMP > 28°C (CRITICAL),automatic controlled shutdown of all PLC nodes.,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-WRH01-01a,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_TMP,TMP,TMP MUST remain between 0.5°C and 8°C,Activate backup refrigeration; notify QC,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-WRH01-01b,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_TMP,TMP,TMP CRITICAL above 12°C,Notify QC and quarantine batch,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-WRH01-02,OperationalRule,ST04_PACKAGING,,,HUM above 85%RH,inspect door seals and activate dehumidifier.,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-CHM01-01a,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_TMP,TMP,TMP MUST remain between 10°C and 20°C,Activate emergency ventilation and notify safety officer,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-CHM01-01b,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_TMP,TMP,TMP CRITICAL above 25°C,Activate emergency ventilation; notify safety officer immediately,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-CHM01-02a,OperationalRule,ST04_PACKAGING,,,HUM MUST NOT exceed 50%RH,Activate desiccant system if HUM >45%RH,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-CHM01-02b,OperationalRule,ST04_PACKAGING,,,HUM above 45%RH,Activate desiccant system; inspect storage containers,WARNING,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-CHM01-03,AccessRule,Chemical Storage,,,Only personnel with hazmat training (technician/supervisor/manager role) are authorised to enter Chemical Storage. UNAUTHORIZED_ACCESS must be escalated within 2 minutes.,,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-RND01-01,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_TMP,TMP,TMP MUST remain between 18°C and 26°C for experimental validity.,,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-RND01-02a,OperationalRule,ST04_PACKAGING,,,HUM drift above 65%RH,Activate dehumidifier,WARNING,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-RND01-02b,OperationalRule,ST04_PACKAGING,,,HUM above 75%RH (CRITICAL),Suspend sensitive experiments and inspect HVAC system,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-CAF01-01,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_TMP,TMP,TMP above 26°C,check ventilation system. Occupant comfort is the primary criterion.,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-CAF01-02,OperationalRule,ST04_PACKAGING,,,HUM above 70%RH,inspect drainage and activate ventilation.,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-THR-ST01-TMP-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP threshold data for ST01_FILLING,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-THR-ST01-PRS-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS threshold data for ST01_FILLING,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-THR-ST01-FLW-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW threshold data for ST01_FILLING,Inspect and notify maintenance,CRITICAL,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-THR-ST02-TMP-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP threshold data for ST02_SEALING,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-THR-ST02-PRS-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_PRS,PRS,PRS threshold data for ST02_SEALING,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-THR-ST02-CUR-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR threshold data for ST02_SEALING,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-THR-ST03-SPD-CRIT,ThresholdRule,ST03_LABELLING,ST03_LABELLING_SPD,SPD,SPD threshold data for ST03_LABELLING,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-THR-ST03-TEN-CRIT,ThresholdRule,ST03_LABELLING,,TEN,TEN threshold data for ST03_LABELLING,Inspect and notify maintenance,CRITICAL,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-THR-ST04-VIB-CRIT,ThresholdRule,ST04_PACKAGING,,VIB,VIB threshold data for ST04_PACKAGING,E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-THR-ST04-CUR-CRIT,ThresholdRule,ST04_PACKAGING,,CUR,CUR threshold data for ST04_PACKAGING,Inspect and notify maintenance,CRITICAL,11,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-THR-ST04-SPD-CRIT,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,SPD threshold data for ST04_PACKAGING,Inspect and notify maintenance,CRITICAL,1.6,1.4,1,0.85,m/s,SOP_002_AlarmThresholds.txt,baseline_b0,deterministic,baseline,0,False,0
MAINT-01,MaintenanceRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,,,,,,SOP_003_MaintenanceRules.txt,baseline_b0,deterministic,baseline,0,False,0
MAINT-02,MaintenanceRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,,,,,,SOP_003_MaintenanceRules.txt,baseline_b0,deterministic,baseline,0,False,0
MAINT-03,MaintenanceRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN STUCK >10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,baseline_b0,deterministic,baseline,0,False,0
MAINT-04,MaintenanceRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-CORR-01,MaintenanceRule,ST02_SEALING,ST02_SEALING_CUR,CUR,Correlated fault: ST02_SEALING-CUR › → ST04_PACKAGING- SPD ↓,1.Verify ST02-CUR trend. 2.Inspect sealing 3.Reset ST04 speed setpoint.,HIGH,,,,,,SOP_003_MaintenanceRules.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-OCC-PROD,AccessRule,Production Area,,,Maximum occupancy: WARNING above 10; CRITICAL above 12,Enforce occupancy limits,CRITICAL,,,,,persons,SOP_004_PersonnelZoneAccess.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-OCC-SRV,AccessRule,Server Room,,,Maximum occupancy: CRITICAL above 2; access badge required,Enforce occupancy limits,CRITICAL,,,,,persons,SOP_004_PersonnelZoneAccess.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-OCC-WRH,AccessRule,General Warehouse,,,Maximum occupancy: WARNING above 3,Enforce occupancy limits,WARNING,,,,,persons,SOP_004_PersonnelZoneAccess.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-OCC-CHM,AccessRule,Chemical Storage,,,Maximum occupancy: CRITICAL above 4; hazmat training required - see RULE-CHM01-03,Enforce occupancy limits,CRITICAL,,,,,persons,SOP_004_PersonnelZoneAccess.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-OCC-CAFETERIA,AccessRule,Cafeteria,,,Maximum occupancy: Monitoring only - occupant comfort,Enforce occupancy limits,MANDATORY,,,,,persons,SOP_004_PersonnelZoneAccess.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ACCESS-01,AccessRule,,,,"Any entry by an unauthorised role MUST be logged as OccupancyEvent::UnauthorisedAccess with person_id, zone, and timestamp.","Log event, notify security",MANDATORY,,,,,,SOP_004_PersonnelZoneAccess.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ACCESS-02,AccessRule,,,,Security personnel MUST be notified within 2 minutes of detection.,"Log event, notify security",MANDATORY,,,,,,SOP_004_PersonnelZoneAccess.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ACCESS-03,AccessRule,,,,The KG node MUST include authorized=NO and a reference to this rule.,"Log event, notify security",MANDATORY,,,,,,SOP_004_PersonnelZoneAccess.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ACCESS-04,AccessRule,,,,Chemical Storage has zero-tolerance policy. Any UNAUTHORIZED_ACCESS triggers immediate escalation to the Safety Officer regardless of role.,Immediate escalation to Safety Officer,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,baseline_b0,deterministic,baseline,0,False,0
