ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,correlatedEffect
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,vibration,>,emergency stop; inspect bearings,critical,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-ST04-03,ConditionRule,ST04_PACKAGING,SPD,speed,<,verify RULE-ST02-04,warning,,,1.00,1.00,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,temperature,<=,maintain,warning,25,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,temperature,>,automatic controlled shutdown of all PLC nodes,critical,28,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,temperature,between,remain,warning,12,,,0.5,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,humidity,>,inspect door seals and activate dehumidifier,warning,,85,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,temperature,between,activate emergency ventilation and notify safety officer immediately,critical,25,,,10,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,humidity,>,activate desiccant system if HUM >45%RH,warning,,45,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-CHM01-03,ConditionRule,CHM01_CHEMICALSTORAGE,UNAUTHORIZED_ACCESS,access,>,escalate within 2 minutes,critical,1,,,,event,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,temperature,between,maintain,warning,26,,,18,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,humidity,>,activate dehumidifier,warning,75,,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,temperature,>,check ventilation system,warning,26,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,humidity,>,inspect drainage and activate ventilation,warning,70,,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
ST01_FILLING_TMP,ThresholdRule,ST01,TMP,Temperature,criteria,Inspect and notify maintenance,Crit,30,,,15,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
ST01_FILLING_PRS,ThresholdRule,ST01,PRS,Pressure,criteria,Inspect and notify maintenance,Crit,4.8,,,3,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
ST01_FILLING_FLW,ThresholdRule,ST01,FLW,Flow,criteria,Inspect and notify maintenance,Crit,135,,,105,L/min,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
ST02_SEALING_TMP,ThresholdRule,ST02,TMP,Temperature,criteria,E-STOP ST02/ST03/ST04; inspect element,Crit,210,,,165,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
ST02_SEALING_PRS,ThresholdRule,ST02,PRS,Pressure,criteria,Inspect and notify maintenance,Crit,6.2,,,4.2,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
ST02_SEALING_CUR,ThresholdRule,ST02,CUR,Current,criteria,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),Crit,15,,,9.5,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
ST03_LABELLING_SPD,ThresholdRule,ST03,SPD,Speed,criteria,Inspect and notify maintenance,Crit,1.05,,,0.65,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
ST03_LABELLING_TEN,ThresholdRule,ST03,TEN,Force,criteria,Inspect and notify maintenance,Crit,3,,,1.5,N,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
ST03_LABELLING_CNT,ThresholdRule,ST03,CNT,Count,criteria,E-STOP labelling; inspect label path,Crit,140,,,100,pcs/m in,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
ST04_PACKAGING_VIB,ThresholdRule,ST04,VIB,Vibration,criteria,E-STOP; inspect main bearing,Crit,0.35,,,0.01,mm/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
ST04_PACKAGING_CUR,ThresholdRule,ST04,CUR,Current,criteria,Inspect and notify maintenance,Crit,11,,,6.5,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
ST04_PACKAGING_SPD,ThresholdRule,ST04,SPD,Speed,criteria,Inspect and notify maintenance,Crit,1.6,,,0.85,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
SRV01_SERVERROOM_TMP,ThresholdRule,SRV01,TMP,Temperature,criteria,Activate backup cooling; prepare controlled PLC shutdown,Crit,28,,,16,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
MAINT-01,ThresholdRule,ST04_PACKAGING,VIB,VIB DRIFT,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,0.05,0.05,,,mm/s,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
MAINT-02,ThresholdRule,ST02_SEALING,CUR,CUR DRIFT,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,1.0,1.0,,,A,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
MAINT-03,EventRule,ST03_LABELLING,TEN,STUCK,TEN STUCK >10 samples,Replace sensor,MEDIUM,10,,,,,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
MAINT-04,ThresholdRule,ST01_FILLING,PRS,PRS,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,3.3,3.3,bar,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
MAINT-05,ThresholdRule,SRV01_SERVERROOM,TMP,TMP,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,25,,,,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
MAINT-06,ThresholdRule,WRH01_WAREHOUSE,TMP,TMP DRIFT,TMP DRIFT >2°C over 2 h,Inspect compressor; notify QC,CRITICAL,2,2,,,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
MAINT-07,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,TMP,TMP >20°C for >10 min,Emergency ventilation; notify safety officer,CRITICAL,20,,,,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
MAINT-08,ThresholdRule,RND01_RDLAB,HUM,HUM DRIFT,HUM DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC drain,HIGH,10,10,,,%RH,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
Pattern-1,CorrelatedFaultRule,ST02_SEALING,CUR,ST02_SEALING-CUR,Sealing motor overload,1.Verify ST02-CUR trend. 2.Inspect sealing 3.Reset ST04 speed setpoint.,HIGH,,,,,,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,Conveyor speed drop via electrical coupling
Pattern-2,CorrelatedFaultRule,SRV01_SERVERROOM,TMP,SRV01-TMP,Server Room overheating,1.Reduce SRV01-TMP <25°C. 2.Verify PLC heartbeats. 3.Clear STUCK alarms.,MEDIUM,,,25,25,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,Increased scan time → apparent STUCK readings
Pattern-3,CorrelatedFaultRule,WRH01_WAREHOUSE,TMP,WRH01-TMP,Cold warehouse drift,1.Restore WRH01-TMP <8°C. 2.Notify QC. 3.Place batch on HOLD in ERP.,CRITICAL,,,8,8,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,Product quality risk
RULE-ACCESS-01,OccupancyEvent,ALL,OccupancyEvent.UnauthorisedAccess,event,TRUE,Log as UnauthorizedAccess,,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-ACCESS-02,Notification,Security Control Room,OccupancyEvent.UnauthorisedAccess,event,Event.type == 'UnauthorisedAccess',Notify Security Personnel,,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-ACCESS-03,KG_Policy,TubeDB,kg_property.authorized,boolean,False,Add authorized=NO,,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-CHM01-03,ChemicalStorage,ChemicalStorage,OccupancyEvent.UnauthorisedAccess,event,TRUE,Immediate escalation to Safety Officer,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
