ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,definition,detectionCriterion,ontologyClass,sensorFrom,sensorTo,stationFrom,stationTo,type
RULE-ST04_PACKAGING,CorrelationRule,ST04_PACKAGING,ST04_PACKAGING_SPD,Speed,"If the Speed (SPD) drops below 1.00 m/s without operator command, verify RULE-ST02-04.",,,,,,,m/s,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,Temperature,"The Temperature (TMP) MUST NOT exceed 25°C. If it does, trigger an automatic controlled shutdown of all PLC nodes.",Automatic controlled shutdown of all PLC nodes if TMP > 25°C.,,25,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,Temperature,"If the Temperature (TMP) exceeds 28°C, trigger an automatic controlled shutdown of all PLC nodes.",Automatic controlled shutdown of all PLC nodes if TMP > 28°C.,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,Temperature,"The Temperature (TMP) MUST remain between 0.5°C and 8°C. If it exceeds 12°C, notify Quality Control and quarantine the batch.",Notify QC and quarantine batch if TMP > 12°C.,,12,8,0.5,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,RelativeHumidity,"If the Relative Humidity (HUM) exceeds 85%, inspect door seals and activate dehumidifier.",Inspect door seals and activate dehumidifier if HUM > 85%.,,85,,,,%RH,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,Temperature,"The Temperature (TMP) MUST remain between 10°C and 20°C. If it exceeds 25°C, activate emergency ventilation and notify the safety officer immediately.",Activate emergency ventilation and notify safety officer if TMP > 25°C.,,25,20,10,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,RelativeHumidity,The Relative Humidity (HUM) MUST NOT exceed 50%. Elevated humidity accelerates degradation of hygroscopic reagents. Activate desiccant system if HUM >45%RH.,Activate desiccant system if HUM >45%RH.,,50,,,,%RH,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-CHM01-03,AuthorizationRule,CHM01_CHEMICALSTORAGE,,,Only personnel with hazmat training (technician/supervisor/manager role) are authorized to enter Chemical Storage. Unauthorized access must be escalated within 2 minutes.,Escalate unauthorized access within 2 minutes.,,,,,,,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-RND01-01,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,Temperature,"The Temperature (TMP) MUST remain between 18°C and 26°C for experimental validity. If it drifts above 65%RH, activate dehumidifier.",Activate dehumidifier if TMP > 65%RH.,,26,65,18,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-RND01-02,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,RelativeHumidity,HUM drift above 65%RH - activate dehumidifier. Above 75%RH (CRITICAL) - suspend sensitive experiments and inspect HVAC system.,Activate dehumidifier if HUM > 65%. Suspend sensitive experiments and inspect HVAC system if HUM > 75%.,,75,65,,,%RH,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
ST01_FILLING_TMP,ThresholdRule,ST01_FILLING,TMP,Temperature,CRIT_LO,Inspect and notify maintenance,CRITICAL,30.0,,15.0,15.0,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
ST01_FILLING_PRS,ThresholdRule,ST01_FILLING,PRS,Pressure,CRIT_LO,Inspect and notify maintenance,CRITICAL,4.8,,3.3,3.0,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
ST01_FILLING_FLW,ThresholdRule,ST01_FILLING,FLW,Flow,CRIT_LO,Inspect and notify maintenance,CRITICAL,135.0,,105.0,120.0,L/min,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
ST02_SEALING_TMP,ThresholdRule,ST02_SEALING,TMP,Temperature,CRIT_LO,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210.0,,175.0,165.0,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
ST02_SEALING_PRS,ThresholdRule,ST02_SEALING,PRS,Pressure,CRIT_LO,Inspect and notify maintenance,CRITICAL,6.2,,4.2,4.2,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
ST02_SEALING_CUR,ThresholdRule,ST02_SEALING,CUR,Current,CRIT_LO,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15.0,,9.5,9.5,A,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
ST03_LABELLING_SPD,ThresholdRule,ST03_LABELLING,SPD,Speed,CRIT_LO,Inspect and notify maintenance,CRITICAL,1.05,,0.85,0.65,m/s,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
ST03_LABELLING_TEN,ThresholdRule,ST03_LABELLING,TEN,Force,CRIT_LO,Inspect and notify maintenance,CRITICAL,3.0,,1.5,1.5,N,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
ST03_LABELLING_CNT,ThresholdRule,ST03_LABELLING,CNT,Count,CRIT_LO,E-STOP labelling; inspect label path,CRITICAL,140.0,,100.0,100.0,pcs/min,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
ST04_PACKAGING_VIB,ThresholdRule,ST04_PACKAGING,VIB,Vibration,CRIT_LO,E-STOP; inspect main bearing,CRITICAL,0.35,,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
ST04_PACKAGING_CUR,ThresholdRule,ST04_PACKAGING,CUR,Current,CRIT_LO,Inspect and notify maintenance,CRITICAL,11.0,,6.5,6.5,A,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
ST04_PACKAGING_SPD,ThresholdRule,ST04_PACKAGING,SPD,Speed,CRIT_LO,Inspect and notify maintenance,CRITICAL,1.6,,0.85,0.85,m/s,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
SRV01_SERVERROOM_TMP,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,CRIT_LO,Activate backup cooling; prepare controlled PLC,CRITICAL,28.0,,16.0,16.0,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
SRV01_SERVERROOM_HUM,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,25.0,25.0,%RH,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
WRH01_WAREHOUSE_TMP,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,CRIT_LO,Activate backup refrigeration; notify,CRITICAL,12.0,,-1.0,-1.0,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
WRH01_WAREHOUSE_HUM,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,55.0,55.0,%RH,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
CHM01_CHEMICALSTORAGE_TMP,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,CRIT_LO,Activatemergency ventilation; notify safety officer,CRITICAL,25.0,,5.0,5.0,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
CHM01_CHEMICALSTORAGE_HUM,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,CRIT_LO,Activate desiccant system; inspect storage containers,CRITICAL,60.0,,15.0,15.0,%RH,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RND01_RDLAB_TMP,ThresholdRule,RND01_RDLAB,TMP,Temperature,CRIT_LO,Inspect and notify maintenance,CRITICAL,30.0,,15.0,15.0,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RND01_RDLAB_HUM,ThresholdRule,RND01_RDLAB,HUM,Humidity,CRIT_LO,Suspend experiments; inspect HVAC system,CRITICAL,75.0,,25.0,25.0,%RH,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
CAF01_CAFETERIA_TMP,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,CRIT_LO,Inspect and notify maintenance,CRITICAL,30.0,,14.0,14.0,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
CAF01_CAFETERIA_HUM,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,CRIT_LO,Inspect and notify maintenance,CRITICAL,80.0,,25.0,25.0,%RH,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
ST02_SEALING_CUR_ST04_SPD,CrossStationDependencyRule,,,,CRIT_HI,Inspect ST04-SPD; verify RULE-ST02-04,MAJOR,15.0,,,,A,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,CUR,SPD,ST02_SEALING,ST04_PACKAGING,
RULE-MAINTENANCE-01,MaintenanceRule,,,,NOMINAL,Inspect and notify maintenance,REGULAR,,,,,,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ACCESS-01,AccessRule,,,,CRIT_LO,Activate access control,URGENT,,,,,,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ANOMALY-SPIKE,AnomalyRule,,,,,,,,,,,,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,"Transient deviation >3 s , <5 min Single | reading >CRIT",reading > CRIT,AnomalyEvent::Spike,,,,,SPIKE
RULE-ANOMALY-DRIFT,AnomalyRule,,,,,,,,,,,,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,Monotonic deviation >15 min | Slope >0.1 s /min for 5+ readings,Slope > 0.1 s/min for 5+ readings,AnomalyEvent::Drift,,,,,DRIFT
RULE-ZONE-01,ZoneOccupancyRule,ST01_FILLING,STATION_ROLE_PRESENCE,PresenceSensor,count > 2,"LOG OccupancyEvent::CriticalOvercrowding with person_ids, zone, and timestamp",CRITICAL,2,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ZONE-02,ZoneOccupancyRule,ST01_FILLING,STATION_ROLE_PRESENCE,PresenceSensor,count > 1 AND count <= 2,"LOG OccupancyEvent::WarningOvercrowding with person_ids, zone, and timestamp",WARNING,2,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ZONE-03,ZoneOccupancyRule,ST02_SEALING,STATION_ROLE_PRESENCE,PresenceSensor,count > 1,"LOG OccupancyEvent::CriticalOvercrowding with person_ids, zone, and timestamp",CRITICAL,1,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ZONE-04,ZoneOccupancyRule,ST03_LABELLING,STATION_ROLE_PRESENCE,PresenceSensor,count > 1,"LOG OccupancyEvent::CriticalOvercrowding with person_ids, zone, and timestamp",CRITICAL,1,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ZONE-05,ZoneOccupancyRule,ST04_PACKAGING,STATION_ROLE_PRESENCE,PresenceSensor,count > 1,"LOG OccupancyEvent::CriticalOvercrowding with person_ids, zone, and timestamp",CRITICAL,1,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ZONE-06,ZoneOccupancyRule,SRV01_SERVERROOM,STATION_ROLE_PRESENCE,PresenceSensor,count > 2,"LOG OccupancyEvent::CriticalOvercrowding with person_ids, zone, and timestamp",CRITICAL,2,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ZONE-07,ZoneOccupancyRule,WRH01_WAREHOUSE,STATION_ROLE_PRESENCE,PresenceSensor,count > 4,"LOG OccupancyEvent::WarningOvercrowding with person_ids, zone, and timestamp",WARNING,4,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ZONE-08,ZoneOccupancyRule,CHM01_CHEMICALSTORAGE,STATION_ROLE_PRESENCE,PresenceSensor,count > 4,"LOG OccupancyEvent::CriticalOvercrowding with person_ids, zone, and timestamp",CRITICAL,4,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ZONE-09,ZoneOccupancyRule,RND01_RDLAB,STATION_ROLE_PRESENCE,PresenceSensor,count > 6,"LOG OccupancyEvent::WarningOvercrowding with person_ids, zone, and timestamp",WARNING,6,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ZONE-10,ZoneOccupancyRule,CAF01_CAFETERIA,STATION_ROLE_PRESENCE,PresenceSensor,,Monitoring only - occupant comfort,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ACCESS-03,UnauthorizedAccessRule,KG_NODE,STATION_AUTHORIZATION,AuthorizationSensor,authorization = NO,Include authorized=NO and a reference to this rule,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ACCESS-04,UnauthorizedAccessRule,CHM01_CHEMICALSTORAGE,STATION_ROLE_PRESENCE,PresenceSensor,unauthorised_access detected,ESCALATE to Safety Officer regardless of role,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
