ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,primaryFault,resolution,secondaryEffect
SRV01-TMP › → SCADA latency › Server Room overheating,CorrelatedFaultResolution,,,,,,,,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,SRV01-TMP,Increased scan time → apparent STUCK readings 1.Reduce SRV01-TMP <25°C. 2.Verify PLC heartbeats. 3.Clear S,latency › Server Room overheating
WRH01-TMP › → QC HOLD Cold warehouse drift,CorrelatedFaultResolution,,,,,,,,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,WRH01-TMP,1.Restore WRH01-TMP <8°C. 2.Notify QC. 3.Place batch on HOLD,QC HOLD
RULE-ZONE-01,ZoneAccess,Production Area,OccupancySensor,Counting,count > 12,Send Warning and Critical Alerts,CRITICAL,12,10,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ZONE-02,ZoneAccess,Server Room,OccupancySensor,Counting,count > 2,Send Critical Alert and Require Access Badge,CRITICAL,2,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ZONE-03,ZoneAccess,General Warehouse,OccupancySensor,Counting,count > 4,Send Warning Alert,WARNING,,3,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ZONE-04,ZoneAccess,Main Entrance,OccupancySensor,Counting,,Monitor Occupancy Only,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ZONE-05,ZoneAccess,Chemical Storage,OccupancySensor,Counting,count > 4,"Send Critical Alert, Require Hazmat Training, and Escalate to Safety Officer",CRITICAL,4,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ZONE-06,ZoneAccess,R&D Lab,OccupancySensor,Counting,count > 5,Send Warning Alert and Warn of Potential Experiment Disturbance,WARNING,,5,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ZONE-07,ZoneAccess,Cafeteria,OccupancySensor,Counting,,Monitor Occupancy Only - for occupant comfort,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ACCESS-01,UnauthorizedAccess,,AccessControlSystem,Authorization,unauthorized_access,"Log as OccupancyEvent::UnauthorisedAccess with person_id, zone, and timestamp",,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ACCESS-02,UnauthorizedAccess,,SecuritySystem,Detection,unauthorized_access,Notify Security Personnel within 2 minutes,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ACCESS-03,UnauthorizedAccess,,KG Node,DataLogging,unauthorized_access,Include authorized=NO and a reference to this rule,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ACCESS-04,UnauthorizedAccess,Chemical Storage,AccessControlSystem,Authorization,unauthorized_access,Escalate to Safety Officer regardless of role,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
