ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,primaryFault,resolution,secondaryEffect
RULE-ST04-03,CorrelationRule,ST04_PACKAGING,SPD,Speed,SPD drops below 1.00 m/s without operator command - verify RULE-ST02-04.,,,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,MUST NOT exceed,,,25,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,TMP >,automatic controlled shutdown of all PLC nodes.,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,MUST remain between,,,8,,0.5,12,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,HUM above,inspect door seals and activate dehumidifier.,,85,,,,%RH,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,MUST remain between,,,20,,10,25-.,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,MUST NOT exceed,Activate desiccant system if HUM >45%RH.,,50,,,,%RH,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-CHM01-03,AuthorizationRule,CHM01_CHEMICALSTORAGE,,,Only personnel with hazmat training (technician/supervisor/manager role) are authorised to enter Chemical Storage. UNAUTHORIZED_ACCESS must be escalated within 2 minutes.,,,,,,,,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,MUST remain between,,,26,,18,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,Humidity,HUM drift above,activate dehumidifier. Above 75%RH (CRITICAL) - suspend sensitive experiments and inspect HVAC system.,,75,65,,,%RH,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,above,check ventilation system. Occupant comfort is the primary criterion.,,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,above,inspect drainage and activate ventilation.,,70,,,,%RH,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
ST01_FILLING_TMP,ThresholdRule,Production Line A,TMP,,CRIT_LO,Inspect and notify maintenance,CRITICAL,30,,18,15,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
ST01_FILLING_PRS,ThresholdRule,Production Line A,PRS,,CRIT_LO,Inspect and notify maintenance,CRITICAL,4.8,,3,3,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
ST01_FILLING_FLW,ThresholdRule,Production Line A,FLW,,CRIT_LO,Inspect and notify maintenance,CRITICAL,135,,105,105,L/min,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
ST02_SEALING_TMP,ThresholdRule,Production Line A,TMP,,CRIT_LO,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,,165,165,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
ST02_SEALING_PRS,ThresholdRule,Production Line A,PRS,,CRIT_LO,Inspect and notify maintenance,CRITICAL,6.2,,4.2,4.2,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
ST02_SEALING_CUR,ThresholdRule,Production Line A,CUR,,CRIT_LO,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,,9.5,9.5,A,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
ST03_LABELLING_SPD,ThresholdRule,Production Line A,SPD,,CRIT_LO,Inspect and notify maintenance,CRITICAL,1.05,,0.65,0.65,m/s,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
ST03_LABELLING_TEN,ThresholdRule,Production Line A,TEN,,CRIT_LO,Inspect and notify maintenance,CRITICAL,3,,1.5,1.5,N,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
ST03_LABELLING_CNT,ThresholdRule,Production Line A,CNT,,CRIT_LO,E-STOP labelling; inspect label path,CRITICAL,140,,100,100,pcs/min,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
ST04_PACKAGING_VIB,ThresholdRule,Production Line A,VIB,,CRIT_LO,E-STOP; inspect main bearing,CRITICAL,0.35,,0.01,0.01,mm/s,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
ST04_PACKAGING_CUR,ThresholdRule,Production Line A,CUR,,CRIT_LO,Inspect and notify maintenance,CRITICAL,11,,6.5,6.5,A,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
ST04_PACKAGING_SPD,ThresholdRule,Production Line A,SPD,,CRIT_LO,Inspect and notify maintenance,CRITICAL,1.6,,0.85,0.85,m/s,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
SRV01_SERVERROOM_TMP,ThresholdRule,Server Room,TMP,,CRIT_LO,Activate backup cooling; prepare controlled PLC,CRITICAL,28,,16,16,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
SRV01_SERVERROOM_HUM,ThresholdRule,Server Room,HUM,,CRIT_LO,Inspect and notify maintenance,CRITICAL,80,,25,25,%RH,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
WRH01_WAREHOUSE_TMP,ThresholdRule,Warehouse,TMP,,CRIT_LO,Activate backup refrigeration; notify,CRITICAL,12,,-1,-1,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
WRH01_WAREHOUSE_HUM,ThresholdRule,Warehouse,HUM,,CRIT_LO,Inspect and notify maintenance,CRITICAL,90,,55,55,%RH,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
CHM01_CHEMICALSTORAGE_TMP,ThresholdRule,Chemical Storage,TMP,,CRIT_LO,Activatemergency ventilation; notify safety officer,CRITICAL,25,,5,5,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
CHM01_CHEMICALSTORAGE_HUM,ThresholdRule,Chemical Storage,HUM,,CRIT_LO,Activate desiccant system; inspect storage containers,CRITICAL,60,,15,15,%RH,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RND01_RDLAB_TMP,ThresholdRule,Research Lab,TMP,,CRIT_LO,Inspect and notify maintenance,CRITICAL,30,,15,15,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RND01_RDLAB_HUM,ThresholdRule,Research Lab,HUM,,CRIT_LO,Suspend experiments; inspect HVAC system,CRITICAL,75,,25,25,%RH,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
CAF01_CAFETERIA_TMP,ThresholdRule,Cafeteria,TMP,,CRIT_LO,Inspect and notify maintenance,CRITICAL,30,,14,14,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
CAF01_CAFETERIA_HUM,ThresholdRule,Cafeteria,HUM,,CRIT_LO,Inspect and notify maintenance,CRITICAL,80,,25,25,%RH,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
MAINT-01,ThresholdRule,ST04_PACKAGING,VIB,,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing HIGH,HIGH,0.05,,,,mm/s,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
MAINT-02,ThresholdRule,ST02_SEALING,CUR,,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,1.0,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
MAINT-03,ThresholdRule,ST03_LABELLING,TEN,,TEN STUCK >10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
MAINT-04,ThresholdRule,ST01_FILLING,PRS,,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,3.3,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
MAINT-05,ThresholdRule,SRV01_SERVERROOM,TMP,,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,25,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
MAINT-06,ThresholdRule,WRH01_WAREHOUSE,TMP,,TMP DRIFT >2°C over 2 h,Inspect compressor; notify,QCRITICAL,2,,2,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
MAINT-07,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,,TMP >20°C for >10 min,Emergency ventilation; notify CRITICAL,CRITICAL,20,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
MAINT-08,ThresholdRule,RND01_RDLAB,HUM,,HUM DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC HIGH,HIGH,10,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
ST02_SEALING-CUR › → ST04_PACKAGING-SPD ↓ Sealing motor overload,CorrelatedFaultResolution,,,,,,,,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,ST02_SEALING-CUR,via electrical coupling 1.Verify ST02-CUR trend. 2.Inspect sealing jaw. 3.Reset ST04,ST04_PACKAGING-SPD ↓
SRV01-TMP › → SCADA latency › Server Room overheating,CorrelatedFaultResolution,,,,,,,,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,SRV01-TMP,Increased scan time → apparent STUCK readings 1.Reduce SRV01-TMP <25°C. 2.Verify PLC heartbeats. 3.Clear S,latency › Server Room overheating
WRH01-TMP › → QC HOLD Cold warehouse drift,CorrelatedFaultResolution,,,,,,,,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,WRH01-TMP,1.Restore WRH01-TMP <8°C. 2.Notify QC. 3.Place batch on HOLD,QC HOLD
RULE-ACCESS-01,Unauthorized Access Rule,,OccupancyEvent::UnauthorisedAccess,,Any entry by an unauthorised role,"log as OccupancyEvent::UnauthorisedAccess with person_id, zone, and timestamp",,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-ACCESS-02,Unauthorized Access Rule,,Security Notification,,Security personnel MUST be notified within 2 minutes of detection,,,,2,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-ACCESS-03,Unauthorized Access Rule,KG node,authorized,,The KG node MUST include authorized=NO and a reference to this rule,,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-ACCESS-04,Unauthorized Access Rule,Chemical Storage,UNAUTHORIZED_ACCESS,,Chemical Storage has zero-tolerance policy. Any UNAUTHORIZED_ACCESS triggers immediate escalation to the Safety Officer regardless of role,,immediate escalation to the Safety Officer,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
,Maximum Occupancy Rule,Production Area,Occupancy,,Max Persons = 12,WARNING above 10; CRITICAL above 12,"WARNING, CRITICAL",12,10,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
,Maximum Occupancy Rule,Server Room,Occupancy,,Max Persons = 2,CRITICAL above 2; access badge required,CRITICAL,2,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
,Maximum Occupancy Rule,General Warehouse,Occupancy,,Max Persons = 4,WARNING above 3,WARNING,,3,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
,Maximum Occupancy Rule,Main Entrance,Occupancy,,Max Persons = 8,Monitoring only,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
,Maximum Occupancy Rule,Chemical Storage,Occupancy,,Max Persons = 4,CRITICAL above 4; hazmatraining required - see RULE-CHM01-03,CRITICAL,4,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
,Maximum Occupancy Rule,R&D Lab,Occupancy,,Max Persons = 6,WARNING above 5; precision experiments may be disturbed,WARNING,,5,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
,Maximum Occupancy Rule,Cafeteria,Occupancy,,Max Persons = 20,Monitoring only - occupant comfort,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
,Maximum Acknowledgment Time Rule,operator,Acknowledgement,,Max Ack - WARNING (min) = 15,,,15,,,,min,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
,Maximum Acknowledgment Time Rule,technician,Acknowledgement,,Max Ack - WARNING (min) = 10,,,10,,,,min,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
,Maximum Acknowledgment Time Rule,supervisor,Acknowledgement,,Max Ack - WARNING (min) = 5,,,5,,,,min,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
,Maximum Acknowledgment Time Rule,manager,Acknowledgement,,Max Ack - CRITICAL (min) = 15,,,15,,,,min,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
,Maximum Acknowledgment Time Rule,security,Acknowledgement,,Max Ack - CRITICAL (min) = 20,,,20,,,,min,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
