run_id,base_exp_id,model,paradigm,run_n,level,reasoning_native,total_rules,sop_files,errors,duration_sec,avg_rule_sec,avg_llm_turns,temperature,prompt_tokens,completion_tokens,total_tokens,tokens_per_rule,truncated_calls
nemotron-3-nano-30b_graph_informed_ctexts_s42_run4,nemotron-3-nano-30b_graph_informed,nemotron-3-nano:30b,graph_informed,4,0,False,53,4,0,66.97,1.2635,1.0,0,5684,6949,12633,238.4,0
nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,nemotron-3-nano-30b_graph_informed,nemotron-3-nano:30b,graph_informed,5,0,False,60,4,0,84.99,1.4165,1.0,0,5684,8842,14526,242.1,0
nemotron-3-nano-30b_cot_basic_ctexts_s42_run1,nemotron-3-nano-30b_cot_basic,nemotron-3-nano:30b,cot_basic,1,1,False,69,4,0,63.81,0.9249,1.0,0,5184,8892,14076,204.0,0
nemotron-3-nano-30b_cot_basic_ctexts_s42_run2,nemotron-3-nano-30b_cot_basic,nemotron-3-nano:30b,cot_basic,2,1,False,59,4,0,80.56,1.3654,1.0,0,5184,8031,13215,224.0,0
nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,nemotron-3-nano-30b_cot_basic,nemotron-3-nano:30b,cot_basic,3,1,False,51,4,0,41.59,0.8154,1.0,0,5184,6431,11615,227.7,0
nemotron-3-nano-30b_cot_basic_ctexts_s42_run4,nemotron-3-nano-30b_cot_basic,nemotron-3-nano:30b,cot_basic,4,1,False,67,4,0,63.7,0.9508,1.0,0,5184,8486,13670,204.0,0
nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,nemotron-3-nano-30b_cot_basic,nemotron-3-nano:30b,cot_basic,5,1,False,64,4,0,87.11,1.3611,1.0,0,5184,8551,13735,214.6,0
nemotron-3-nano-30b_cot_structured_ctexts_s42_run1,nemotron-3-nano-30b_cot_structured,nemotron-3-nano:30b,cot_structured,1,1,False,65,4,0,66.86,1.0287,1.0,0,5452,8664,14116,217.2,0
nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,nemotron-3-nano-30b_cot_structured,nemotron-3-nano:30b,cot_structured,2,1,False,62,4,0,67.48,1.0883,1.0,0,5452,7759,13211,213.1,0
nemotron-3-nano-30b_cot_structured_ctexts_s42_run3,nemotron-3-nano-30b_cot_structured,nemotron-3-nano:30b,cot_structured,3,1,False,162,4,0,140.98,0.8703,1.0,0,5452,20677,26129,161.3,0
nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,nemotron-3-nano-30b_cot_structured,nemotron-3-nano:30b,cot_structured,4,1,False,68,4,0,63.79,0.9381,1.0,0,5452,8327,13779,202.6,0
nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,nemotron-3-nano-30b_cot_structured,nemotron-3-nano:30b,cot_structured,5,1,False,35,4,0,39.93,1.1409,1.0,0,5452,4737,10189,291.1,0
nemotron-3-nano-30b_pre_act_ctexts_s42_run1,nemotron-3-nano-30b_pre_act,nemotron-3-nano:30b,pre_act,1,1,False,154,4,0,196.5,1.276,1.0,0,5280,20919,26199,170.1,0
nemotron-3-nano-30b_pre_act_ctexts_s42_run2,nemotron-3-nano-30b_pre_act,nemotron-3-nano:30b,pre_act,2,1,False,81,4,0,81.91,1.0113,1.0,0,5280,11112,16392,202.4,0
nemotron-3-nano-30b_pre_act_ctexts_s42_run3,nemotron-3-nano-30b_pre_act,nemotron-3-nano:30b,pre_act,3,1,False,137,4,0,135.06,0.9858,1.0,0,5280,17782,23062,168.3,0
nemotron-3-nano-30b_pre_act_ctexts_s42_run4,nemotron-3-nano-30b_pre_act,nemotron-3-nano:30b,pre_act,4,1,False,65,4,0,98.32,1.5126,1.0,0,5280,9222,14502,223.1,0
nemotron-3-nano-30b_pre_act_ctexts_s42_run5,nemotron-3-nano-30b_pre_act,nemotron-3-nano:30b,pre_act,5,1,False,52,4,0,78.31,1.506,1.0,0,5280,7729,13009,250.2,0
nemotron-3-nano-30b_self_consistency_ctexts_s42_run1,nemotron-3-nano-30b_self_consistency,nemotron-3-nano:30b,self_consistency,1,2,False,63,4,0,243.84,3.8705,3.0,0.3,15396,27409,42805,679.4,0
nemotron-3-nano-30b_self_consistency_ctexts_s42_run2,nemotron-3-nano-30b_self_consistency,nemotron-3-nano:30b,self_consistency,2,2,False,64,4,0,160.84,2.5131,3.0,0.3,15396,26745,42141,658.5,0
nemotron-3-nano-30b_self_consistency_ctexts_s42_run3,nemotron-3-nano-30b_self_consistency,nemotron-3-nano:30b,self_consistency,3,2,False,55,4,0,199.18,3.6215,3.0,0.3,15396,25842,41238,749.8,0
nemotron-3-nano-30b_self_consistency_ctexts_s42_run4,nemotron-3-nano-30b_self_consistency,nemotron-3-nano:30b,self_consistency,4,2,False,58,4,0,160.96,2.7752,3.0,0.3,15396,23206,38602,665.6,0
nemotron-3-nano-30b_self_consistency_ctexts_s42_run5,nemotron-3-nano-30b_self_consistency,nemotron-3-nano:30b,self_consistency,5,2,False,62,4,0,193.33,3.1183,3.0,0.3,15396,25757,41153,663.8,0
nemotron-3-nano-30b_reflexion_ctexts_s42_run1,nemotron-3-nano-30b_reflexion,nemotron-3-nano:30b,reflexion,1,2,False,76,4,0,258.0,3.3947,2.0,0,48833,33977,82810,1089.6,0
nemotron-3-nano-30b_reflexion_ctexts_s42_run2,nemotron-3-nano-30b_reflexion,nemotron-3-nano:30b,reflexion,2,2,False,59,4,0,112.58,1.9082,2.0,0,27090,15913,43003,728.9,0
nemotron-3-nano-30b_reflexion_ctexts_s42_run3,nemotron-3-nano-30b_reflexion,nemotron-3-nano:30b,reflexion,3,2,False,65,4,0,127.26,1.9579,2.0,0,27670,17354,45024,692.7,0
nemotron-3-nano-30b_reflexion_ctexts_s42_run4,nemotron-3-nano-30b_reflexion,nemotron-3-nano:30b,reflexion,4,2,False,131,4,0,193.64,1.4782,2.0,0,28902,26287,55189,421.3,0
nemotron-3-nano-30b_reflexion_ctexts_s42_run5,nemotron-3-nano-30b_reflexion,nemotron-3-nano:30b,reflexion,5,2,False,64,4,0,131.19,2.0499,2.0,0,23036,14568,37604,587.6,0
nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run1,nemotron-3-nano-30b_reflexion_guided,nemotron-3-nano:30b,reflexion_guided,1,2,False,61,4,0,227.84,3.7352,3.0,0,41628,23521,65149,1068.0,0
nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,nemotron-3-nano-30b_reflexion_guided,nemotron-3-nano:30b,reflexion_guided,2,2,False,75,4,0,218.44,2.9125,3.0,0,47873,29866,77739,1036.5,0
nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,nemotron-3-nano-30b_reflexion_guided,nemotron-3-nano:30b,reflexion_guided,3,2,False,70,4,0,162.45,2.3208,3.0,0,43957,26611,70568,1008.1,0
nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run4,nemotron-3-nano-30b_reflexion_guided,nemotron-3-nano:30b,reflexion_guided,4,2,False,62,4,0,173.87,2.8044,3.0,0,42371,24412,66783,1077.1,0
nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run5,nemotron-3-nano-30b_reflexion_guided,nemotron-3-nano:30b,reflexion_guided,5,2,False,70,4,0,216.32,3.0902,3.0,0,38085,23988,62073,886.8,0
gemma4-31b_naive_ctexts_s42_run1,gemma4-31b_naive,gemma4:31b,naive,1,0,False,67,4,0,135.96,2.0292,1.0,0,4990,9281,14271,213.0,0
gemma4-31b_naive_ctexts_s42_run2,gemma4-31b_naive,gemma4:31b,naive,2,0,False,67,4,0,110.53,1.6498,1.0,0,4990,9307,14297,213.4,0
gemma4-31b_naive_ctexts_s42_run3,gemma4-31b_naive,gemma4:31b,naive,3,0,False,62,4,0,82.82,1.3357,1.0,0,4990,8683,13673,220.5,0
gemma4-31b_naive_ctexts_s42_run4,gemma4-31b_naive,gemma4:31b,naive,4,0,False,68,4,0,95.19,1.3999,1.0,0,4990,9475,14465,212.7,0
gemma4-31b_naive_ctexts_s42_run5,gemma4-31b_naive,gemma4:31b,naive,5,0,False,67,4,0,114.58,1.7101,1.0,0,4990,9495,14485,216.2,0
gemma4-31b_few_shot_static_ctexts_s42_run1,gemma4-31b_few_shot_static,gemma4:31b,few_shot_static,1,0,False,62,4,0,180.56,2.9123,1.0,0,6346,9570,15916,256.7,0
gemma4-31b_few_shot_static_ctexts_s42_run2,gemma4-31b_few_shot_static,gemma4:31b,few_shot_static,2,0,False,62,4,0,123.13,1.986,1.0,0,6346,8622,14968,241.4,0
gemma4-31b_few_shot_static_ctexts_s42_run3,gemma4-31b_few_shot_static,gemma4:31b,few_shot_static,3,0,False,62,4,0,88.45,1.4267,1.0,0,6346,9343,15689,253.0,0
gemma4-31b_few_shot_static_ctexts_s42_run4,gemma4-31b_few_shot_static,gemma4:31b,few_shot_static,4,0,False,63,4,0,81.71,1.2969,1.0,0,6346,8738,15084,239.4,0
gemma4-31b_few_shot_static_ctexts_s42_run5,gemma4-31b_few_shot_static,gemma4:31b,few_shot_static,5,0,False,62,4,0,75.61,1.2195,1.0,0,6346,7827,14173,228.6,0
gemma4-31b_graph_informed_ctexts_s42_run1,gemma4-31b_graph_informed,gemma4:31b,graph_informed,1,0,False,62,4,0,98.25,1.5846,1.0,0,5534,9571,15105,243.6,0
gemma4-31b_graph_informed_ctexts_s42_run2,gemma4-31b_graph_informed,gemma4:31b,graph_informed,2,0,False,62,4,0,116.72,1.8826,1.0,0,5534,9272,14806,238.8,0
gemma4-31b_graph_informed_ctexts_s42_run3,gemma4-31b_graph_informed,gemma4:31b,graph_informed,3,0,False,62,4,0,57.75,0.9314,1.0,0,5534,9419,14953,241.2,0
gemma4-31b_graph_informed_ctexts_s42_run4,gemma4-31b_graph_informed,gemma4:31b,graph_informed,4,0,False,62,4,0,94.91,1.5308,1.0,0,5534,9290,14824,239.1,0
gemma4-31b_graph_informed_ctexts_s42_run5,gemma4-31b_graph_informed,gemma4:31b,graph_informed,5,0,False,62,4,0,1285.41,20.7325,1.0,0,5534,9447,14981,241.6,0
gemma4-31b_cot_basic_ctexts_s42_run1,gemma4-31b_cot_basic,gemma4:31b,cot_basic,1,1,False,71,4,0,125.02,1.7608,1.0,0,5042,10928,15970,224.9,0
gemma4-31b_cot_basic_ctexts_s42_run2,gemma4-31b_cot_basic,gemma4:31b,cot_basic,2,1,False,70,4,0,182.15,2.6022,1.0,0,5042,11049,16091,229.9,0
gemma4-31b_cot_basic_ctexts_s42_run3,gemma4-31b_cot_basic,gemma4:31b,cot_basic,3,1,False,70,4,0,316.13,4.5162,1.0,0,5042,11391,16433,234.8,0
gemma4-31b_cot_basic_ctexts_s42_run4,gemma4-31b_cot_basic,gemma4:31b,cot_basic,4,1,False,69,4,0,88.47,1.2821,1.0,0,5042,10852,15894,230.3,0
gemma4-31b_cot_basic_ctexts_s42_run5,gemma4-31b_cot_basic,gemma4:31b,cot_basic,5,1,False,72,4,0,193.47,2.6871,1.0,0,5042,11605,16647,231.2,0
gemma4-31b_cot_structured_ctexts_s42_run1,gemma4-31b_cot_structured,gemma4:31b,cot_structured,1,1,False,62,4,0,128.99,2.0805,1.0,0,5322,10242,15564,251.0,0
gemma4-31b_cot_structured_ctexts_s42_run2,gemma4-31b_cot_structured,gemma4:31b,cot_structured,2,1,False,65,4,0,203.55,3.1315,1.0,0,5322,10642,15964,245.6,0
gemma4-31b_cot_structured_ctexts_s42_run3,gemma4-31b_cot_structured,gemma4:31b,cot_structured,3,1,False,66,4,0,168.37,2.5511,1.0,0,5322,10915,16237,246.0,0
gemma4-31b_cot_structured_ctexts_s42_run4,gemma4-31b_cot_structured,gemma4:31b,cot_structured,4,1,False,62,4,0,102.91,1.6598,1.0,0,5322,10017,15339,247.4,0
gemma4-31b_cot_structured_ctexts_s42_run5,gemma4-31b_cot_structured,gemma4:31b,cot_structured,5,1,False,63,4,0,212.43,3.3719,1.0,0,5322,10078,15400,244.4,0
gemma4-31b_pre_act_ctexts_s42_run1,gemma4-31b_pre_act,gemma4:31b,pre_act,1,1,False,71,4,0,164.85,2.3218,1.0,0,5138,10265,15403,216.9,0
gemma4-31b_pre_act_ctexts_s42_run2,gemma4-31b_pre_act,gemma4:31b,pre_act,2,1,False,71,4,0,157.51,2.2184,1.0,0,5138,10254,15392,216.8,0
gemma4-31b_pre_act_ctexts_s42_run3,gemma4-31b_pre_act,gemma4:31b,pre_act,3,1,False,71,4,0,108.69,1.5309,1.0,0,5138,10284,15422,217.2,0
gemma4-31b_pre_act_ctexts_s42_run4,gemma4-31b_pre_act,gemma4:31b,pre_act,4,1,False,70,4,0,288.43,4.1204,1.0,0,5138,10029,15167,216.7,0
gemma4-31b_pre_act_ctexts_s42_run5,gemma4-31b_pre_act,gemma4:31b,pre_act,5,1,False,70,4,0,83.79,1.197,1.0,0,5138,9988,15126,216.1,0
gemma4-31b_self_consistency_ctexts_s42_run1,gemma4-31b_self_consistency,gemma4:31b,self_consistency,1,2,False,63,4,0,305.96,4.8565,3.0,0.3,14970,26205,41175,653.6,0
gemma4-31b_self_consistency_ctexts_s42_run2,gemma4-31b_self_consistency,gemma4:31b,self_consistency,2,2,False,63,4,0,280.51,4.4525,3.0,0.3,14970,26749,41719,662.2,0
gemma4-31b_self_consistency_ctexts_s42_run3,gemma4-31b_self_consistency,gemma4:31b,self_consistency,3,2,False,63,4,0,380.72,6.0432,3.0,0.3,14970,26518,41488,658.5,0
gemma4-31b_self_consistency_ctexts_s42_run4,gemma4-31b_self_consistency,gemma4:31b,self_consistency,4,2,False,63,4,0,273.09,4.3348,3.0,0.3,14970,27057,42027,667.1,0
gemma4-31b_self_consistency_ctexts_s42_run5,gemma4-31b_self_consistency,gemma4:31b,self_consistency,5,2,False,63,4,0,325.27,5.163,3.0,0.3,14970,25668,40638,645.0,0
gemma4-31b_reflexion_ctexts_s42_run1,gemma4-31b_reflexion,gemma4:31b,reflexion,1,2,False,80,4,0,351.28,4.391,2.0,0,29646,20744,50390,629.9,0
gemma4-31b_reflexion_ctexts_s42_run2,gemma4-31b_reflexion,gemma4:31b,reflexion,2,2,False,75,4,0,315.98,4.213,2.0,0,30106,20606,50712,676.2,0
gemma4-31b_reflexion_ctexts_s42_run3,gemma4-31b_reflexion,gemma4:31b,reflexion,3,2,False,75,4,0,197.13,2.6283,2.0,0,29944,20446,50390,671.9,0
gemma4-31b_reflexion_ctexts_s42_run4,gemma4-31b_reflexion,gemma4:31b,reflexion,4,2,False,80,4,0,182.08,2.2759,2.0,0,29934,21147,51081,638.5,0
gemma4-31b_reflexion_ctexts_s42_run5,gemma4-31b_reflexion,gemma4:31b,reflexion,5,2,False,76,4,0,266.2,3.5027,2.0,0,29930,20592,50522,664.8,0
gemma4-31b_reflexion_guided_ctexts_s42_run1,gemma4-31b_reflexion_guided,gemma4:31b,reflexion_guided,1,2,False,81,4,0,325.43,4.0176,3.0,0,48515,33022,81537,1006.6,0
gemma4-31b_reflexion_guided_ctexts_s42_run2,gemma4-31b_reflexion_guided,gemma4:31b,reflexion_guided,2,2,False,75,4,0,381.9,5.092,3.0,0,47017,30712,77729,1036.4,0
gemma4-31b_reflexion_guided_ctexts_s42_run3,gemma4-31b_reflexion_guided,gemma4:31b,reflexion_guided,3,2,False,76,4,0,372.57,4.9022,3.0,0,48208,32099,80307,1056.7,0
gemma4-31b_reflexion_guided_ctexts_s42_run4,gemma4-31b_reflexion_guided,gemma4:31b,reflexion_guided,4,2,False,81,4,0,308.46,3.8081,3.0,0,47925,32480,80405,992.7,0
gemma4-31b_reflexion_guided_ctexts_s42_run5,gemma4-31b_reflexion_guided,gemma4:31b,reflexion_guided,5,2,False,81,4,0,533.07,6.5811,3.0,0,49568,34037,83605,1032.2,0
nemotron-3-nano-30b_react_abox_ctexts_s42_run1,nemotron-3-nano-30b_react_abox,nemotron-3-nano:30b,react_abox,1,3,False,47,4,0,109.25,2.3245,2.0,0,15957,7668,23625,502.7,0
nemotron-3-nano-30b_react_abox_ctexts_s42_run2,nemotron-3-nano-30b_react_abox,nemotron-3-nano:30b,react_abox,2,3,False,57,4,0,94.6,1.6597,2.0,0,15204,8889,24093,422.7,0
nemotron-3-nano-30b_react_abox_ctexts_s42_run3,nemotron-3-nano-30b_react_abox,nemotron-3-nano:30b,react_abox,3,3,False,57,4,0,85.93,1.5076,2.0,0,14043,8492,22535,395.4,0
nemotron-3-nano-30b_react_abox_ctexts_s42_run4,nemotron-3-nano-30b_react_abox,nemotron-3-nano:30b,react_abox,4,3,False,55,4,0,170.71,3.1038,2.0,0,37084,16289,53373,970.4,0
nemotron-3-nano-30b_react_abox_ctexts_s42_run5,nemotron-3-nano-30b_react_abox,nemotron-3-nano:30b,react_abox,5,3,False,33,4,0,87.79,2.6603,2.0,0,19897,7591,27488,833.0,0
gemma4-31b_react_abox_ctexts_s42_run1,gemma4-31b_react_abox,gemma4:31b,react_abox,1,3,False,48,4,0,126.32,2.6317,2.0,0,14894,7750,22644,471.8,0
gemma4-31b_react_abox_ctexts_s42_run2,gemma4-31b_react_abox,gemma4:31b,react_abox,2,3,False,62,4,0,138.27,2.2302,2.0,0,14925,9982,24907,401.7,0
gemma4-31b_react_abox_ctexts_s42_run3,gemma4-31b_react_abox,gemma4:31b,react_abox,3,3,False,62,4,0,172.42,2.781,2.0,0,14894,9987,24881,401.3,0
gemma4-31b_react_abox_ctexts_s42_run4,gemma4-31b_react_abox,gemma4:31b,react_abox,4,3,False,62,4,0,123.26,1.9881,2.0,0,14894,9997,24891,401.5,0
gemma4-31b_react_abox_ctexts_s42_run5,gemma4-31b_react_abox,gemma4:31b,react_abox,5,3,False,62,4,0,196.41,3.168,2.0,0,14900,9932,24832,400.5,0
gemma4-31b_naive_cexternal_test_desalination_s42_run1,gemma4-31b_naive,gemma4:31b,naive,1,0,False,9,1,0,7.76,0.8628,1.0,0,1759,1254,3013,334.8,0
gemma4-31b_naive_cexternal_test_desalination_s42_run2,gemma4-31b_naive,gemma4:31b,naive,2,0,False,9,1,0,4.7,0.5222,1.0,0,1759,1241,3000,333.3,0
gemma4-31b_naive_cexternal_test_desalination_s42_run3,gemma4-31b_naive,gemma4:31b,naive,3,0,False,9,1,0,3.99,0.4433,1.0,0,1759,1240,2999,333.2,0
gemma4-31b_naive_cexternal_test_desalination_s42_run4,gemma4-31b_naive,gemma4:31b,naive,4,0,False,9,1,0,7.96,0.8849,1.0,0,1759,1233,2992,332.4,0
gemma4-31b_naive_cexternal_test_desalination_s42_run5,gemma4-31b_naive,gemma4:31b,naive,5,0,False,9,1,0,5.18,0.5754,1.0,0,1759,1241,3000,333.3,0
gemma4-31b_few_shot_static_cexternal_test_desalination_s42_run1,gemma4-31b_few_shot_static,gemma4:31b,few_shot_static,1,0,False,10,1,0,4.65,0.4647,1.0,0,2098,1460,3558,355.8,0
gemma4-31b_few_shot_static_cexternal_test_desalination_s42_run2,gemma4-31b_few_shot_static,gemma4:31b,few_shot_static,2,0,False,10,1,0,4.5,0.4499,1.0,0,2098,1468,3566,356.6,0
gemma4-31b_few_shot_static_cexternal_test_desalination_s42_run3,gemma4-31b_few_shot_static,gemma4:31b,few_shot_static,3,0,False,10,1,0,4.33,0.4327,1.0,0,2098,1467,3565,356.5,0
gemma4-31b_few_shot_static_cexternal_test_desalination_s42_run4,gemma4-31b_few_shot_static,gemma4:31b,few_shot_static,4,0,False,10,1,0,7.17,0.7166,1.0,0,2098,1461,3559,355.9,0
gemma4-31b_few_shot_static_cexternal_test_desalination_s42_run5,gemma4-31b_few_shot_static,gemma4:31b,few_shot_static,5,0,False,10,1,0,4.5,0.4504,1.0,0,2098,1467,3565,356.5,0
gemma4-31b_graph_informed_cexternal_test_desalination_s42_run1,gemma4-31b_graph_informed,gemma4:31b,graph_informed,1,0,False,9,1,0,3.68,0.4093,1.0,0,1895,1264,3159,351.0,0
gemma4-31b_graph_informed_cexternal_test_desalination_s42_run2,gemma4-31b_graph_informed,gemma4:31b,graph_informed,2,0,False,9,1,0,3.68,0.4091,1.0,0,1895,1264,3159,351.0,0
gemma4-31b_graph_informed_cexternal_test_desalination_s42_run3,gemma4-31b_graph_informed,gemma4:31b,graph_informed,3,0,False,9,1,0,3.69,0.4095,1.0,0,1895,1264,3159,351.0,0
gemma4-31b_graph_informed_cexternal_test_desalination_s42_run4,gemma4-31b_graph_informed,gemma4:31b,graph_informed,4,0,False,9,1,0,3.79,0.4207,1.0,0,1895,1264,3159,351.0,0
gemma4-31b_graph_informed_cexternal_test_desalination_s42_run5,gemma4-31b_graph_informed,gemma4:31b,graph_informed,5,0,False,9,1,0,4.56,0.5068,1.0,0,1895,1269,3164,351.6,0
gemma4-31b_cot_basic_cexternal_test_desalination_s42_run1,gemma4-31b_cot_basic,gemma4:31b,cot_basic,1,1,False,9,1,0,4.34,0.4824,1.0,0,1772,1247,3019,335.4,0
gemma4-31b_cot_basic_cexternal_test_desalination_s42_run2,gemma4-31b_cot_basic,gemma4:31b,cot_basic,2,1,False,9,1,0,4.4,0.4888,1.0,0,1772,1266,3038,337.6,0
gemma4-31b_cot_basic_cexternal_test_desalination_s42_run3,gemma4-31b_cot_basic,gemma4:31b,cot_basic,3,1,False,9,1,0,4.09,0.455,1.0,0,1772,1264,3036,337.3,0
gemma4-31b_cot_basic_cexternal_test_desalination_s42_run4,gemma4-31b_cot_basic,gemma4:31b,cot_basic,4,1,False,9,1,0,4.4,0.489,1.0,0,1772,1251,3023,335.9,0
gemma4-31b_cot_basic_cexternal_test_desalination_s42_run5,gemma4-31b_cot_basic,gemma4:31b,cot_basic,5,1,False,9,1,0,4.5,0.5001,1.0,0,1772,1264,3036,337.3,0
gemma4-31b_cot_structured_cexternal_test_desalination_s42_run1,gemma4-31b_cot_structured,gemma4:31b,cot_structured,1,1,False,9,1,0,7.77,0.8639,1.0,0,1842,1700,3542,393.6,0
gemma4-31b_cot_structured_cexternal_test_desalination_s42_run2,gemma4-31b_cot_structured,gemma4:31b,cot_structured,2,1,False,9,1,0,7.06,0.7848,1.0,0,1842,1709,3551,394.6,0
gemma4-31b_cot_structured_cexternal_test_desalination_s42_run3,gemma4-31b_cot_structured,gemma4:31b,cot_structured,3,1,False,9,1,0,8.39,0.9324,1.0,0,1842,1737,3579,397.7,0
gemma4-31b_cot_structured_cexternal_test_desalination_s42_run4,gemma4-31b_cot_structured,gemma4:31b,cot_structured,4,1,False,9,1,0,7.47,0.8298,1.0,0,1842,1725,3567,396.3,0
gemma4-31b_cot_structured_cexternal_test_desalination_s42_run5,gemma4-31b_cot_structured,gemma4:31b,cot_structured,5,1,False,9,1,0,9.28,1.0313,1.0,0,1842,1709,3551,394.6,0
gemma4-31b_pre_act_cexternal_test_desalination_s42_run1,gemma4-31b_pre_act,gemma4:31b,pre_act,1,1,False,9,1,0,8.19,0.9104,1.0,0,1796,1323,3119,346.6,0
gemma4-31b_pre_act_cexternal_test_desalination_s42_run2,gemma4-31b_pre_act,gemma4:31b,pre_act,2,1,False,9,1,0,6.69,0.7429,1.0,0,1796,1376,3172,352.4,0
gemma4-31b_pre_act_cexternal_test_desalination_s42_run3,gemma4-31b_pre_act,gemma4:31b,pre_act,3,1,False,9,1,0,4.61,0.5118,1.0,0,1796,1356,3152,350.2,0
gemma4-31b_pre_act_cexternal_test_desalination_s42_run4,gemma4-31b_pre_act,gemma4:31b,pre_act,4,1,False,9,1,0,5.73,0.637,1.0,0,1796,1352,3148,349.8,0
gemma4-31b_pre_act_cexternal_test_desalination_s42_run5,gemma4-31b_pre_act,gemma4:31b,pre_act,5,1,False,9,1,0,4.46,0.4961,1.0,0,1796,1329,3125,347.2,0
gemma4-31b_self_consistency_cexternal_test_desalination_s42_run1,gemma4-31b_self_consistency,gemma4:31b,self_consistency,1,2,False,9,1,0,15.0,1.6662,3.0,0.3,5277,3710,8987,998.6,0
gemma4-31b_self_consistency_cexternal_test_desalination_s42_run2,gemma4-31b_self_consistency,gemma4:31b,self_consistency,2,2,False,9,1,0,17.2,1.9113,3.0,0.3,5277,3726,9003,1000.3,0
gemma4-31b_self_consistency_cexternal_test_desalination_s42_run3,gemma4-31b_self_consistency,gemma4:31b,self_consistency,3,2,False,9,1,0,12.23,1.3589,3.0,0.3,5277,3733,9010,1001.1,0
gemma4-31b_self_consistency_cexternal_test_desalination_s42_run4,gemma4-31b_self_consistency,gemma4:31b,self_consistency,4,2,False,9,1,0,12.75,1.4171,3.0,0.3,5277,3738,9015,1001.7,0
gemma4-31b_self_consistency_cexternal_test_desalination_s42_run5,gemma4-31b_self_consistency,gemma4:31b,self_consistency,5,2,False,9,1,0,13.49,1.4989,3.0,0.3,5277,3733,9010,1001.1,0
gemma4-31b_reflexion_cexternal_test_desalination_s42_run1,gemma4-31b_reflexion,gemma4:31b,reflexion,1,2,False,10,1,0,8.88,0.8882,2.0,0,6694,2832,9526,952.6,0
